,INCHIKEY,31
0,AACRWZVDRSTLKY-UHFFFAOYSA-N,-1.0
1,AACUKVXTFOXDGE-UHFFFAOYSA-N,-1.0
2,AADCDMQTJNYOSS-LBPRGKRZSA-N,1.0
3,AADORYZVGJDNSZ-UHFFFAOYSA-N,-1.0
4,AAEVYOVXGOFMJO-UHFFFAOYSA-N,-1.0
5,AAGGUCRASUJPPN-UHFFFAOYSA-N,-1.0
6,AAHUMVOTCJGEFN-UHFFFAOYSA-N,-1.0
7,AAHZIIKQJCMENQ-UHFFFAOYSA-N,-1.0
8,AAISUDVSXFOHOW-LFIBNONCSA-N,-1.0
9,AAJIOFUVLXKEJB-UHFFFAOYSA-N,-1.0
10,AAKUGLDBNILBQK-UHFFFAOYSA-N,-1.0
11,AALCHAKPJXCSQC-UHFFFAOYSA-N,-1.0
12,AALPWUGBAOXTOC-UHFFFAOYSA-N,-1.0
13,AAORACFZMYMFCG-UHFFFAOYSA-N,-1.0
14,AAORDTZDTMACMK-UHFFFAOYSA-N,-1.0
15,AAOVKJBEBIDNHE-UHFFFAOYSA-N,-1.0
16,AAPHNFJLVIIBFG-ZROIWOOFSA-N,-1.0
17,AAPWYRYSSYTARU-UHFFFAOYSA-N,-1.0
18,AAQJAJYYYBNGNE-UHFFFAOYSA-N,-1.0
19,AAROASKGPHUWKQ-UHFFFAOYSA-N,-1.0
20,AASCFXUFOVMIDS-UHFFFAOYSA-N,-1.0
21,AASLYBMLLLNNCD-UHFFFAOYSA-N,-1.0
22,AATPPZVLYNXMFT-UHFFFAOYSA-N,-1.0
23,AAUWIESHYVTZBJ-UHFFFAOYSA-N,-1.0
24,AAXJCMUPNOBCPU-UHFFFAOYSA-N,-1.0
25,AAXMQQXWRPGRCS-UHFFFAOYSA-N,-1.0
26,AAYBTXIBUFVFKT-UHFFFAOYSA-N,-1.0
27,AAYTXOPXLXAKHP-UHFFFAOYSA-N,-1.0
28,ABBQHFLHBVNVMX-UHFFFAOYSA-N,-1.0
29,ABBTYIZLBREAAO-UHFFFAOYSA-N,-1.0
30,ABDLIIONBBQBGV-UHFFFAOYSA-N,-1.0
31,ABFGKTKVMVRAGW-UHFFFAOYSA-N,-1.0
32,ABIJROWADOHEER-UHFFFAOYSA-N,-1.0
33,ABMYNZIMQPLIFB-UHFFFAOYSA-N,-1.0
34,ABOHGGKWMDDIIV-UHFFFAOYSA-N,-1.0
35,ABQRHGHOVQWKHE-UHFFFAOYSA-N,-1.0
36,ABYQWJAEJVXQBO-UHFFFAOYSA-N,-1.0
37,ABYXKGBQBLVBCB-UHFFFAOYSA-N,-1.0
38,ACABFUSMARNGNL-UHFFFAOYSA-N,-1.0
39,ACBAKVVEGJKNPL-UHFFFAOYSA-N,-1.0
40,ACCCNIRLLPIOTR-UHFFFAOYSA-N,-1.0
41,ACCPBDSGHDRJJU-UHFFFAOYSA-N,-1.0
42,ACFCHHALVAZPES-UHFFFAOYSA-N,-1.0
43,ACGZYGOJROGDBQ-UHFFFAOYSA-N,-1.0
44,ACHPSLMZBQZZJK-UHFFFAOYSA-N,-1.0
45,ACHZMBMZCATIQR-UHFFFAOYSA-N,0.0
46,ACIMRXKJKQGBGL-UHFFFAOYSA-N,0.0
47,ACKHFLCJMXQPFM-UHFFFAOYSA-N,-1.0
48,ACLJMBVYCCDWSD-UHFFFAOYSA-N,-1.0
49,ACNHBCIZLNNLRS-UBGQALKQSA-N,-1.0
50,ACNWFEJEHMZZTJ-UHFFFAOYSA-N,-1.0
51,ACTRZKFUNCFTJE-UHFFFAOYSA-N,-1.0
52,ACUPQPGUHKDMKN-UHFFFAOYSA-N,-1.0
