,Task,AUC
0,100_277,0.6786111111111112
1,100_278,0.7900793650793652
2,104_289,0.5294871794871795
3,104_291,0.5721153846153847
4,104_295,0.4285714285714286
5,104_297,0.625
6,104_299,0.709375
7,104_300,0.6755952380952381
8,104_319,0.7142857142857142
9,104_323,0.9388888888888889
10,104_325,0.6611111111111111
11,104_326,0.7261904761904763
12,104_334,0.8571428571428571
13,105_339,0.7058333333333333
14,105_341,0.5710576923076923
15,105_352,0.6611111111111111
16,105_355,0.6758241758241759
17,105_360,0.5505050505050506
18,105_361,0.8122100122100123
19,105_362,0.5738095238095238
20,105_369,0.5791666666666667
21,105_374,0.6083333333333334
22,105_375,0.5322344322344322
23,105_377,1.0
24,105_378,0.6043831168831169
25,105_382,0.6003174603174604
26,105_385,0.4798280423280423
27,105_391,0.7946428571428571
28,106_392,0.2980769230769231
29,108_394,0.48928571428571427
30,109_395,0.6242559523809523
31,10_19,0.42857142857142855
32,10_20,0.4278846153846154
33,110_396,0.375
34,110_397,0.6768715659340659
35,110_398,0.5504588677576294
36,110_399,0.4248685498655922
37,110_400,0.3736215538847118
38,110_401,0.5351949564772146
39,111_402,0.8145370370370371
40,112_406,0.5
41,113_407,0.84375
42,114_408,0.625
43,115_409,0.6666666666666666
44,116_411,0.4317258064516129
45,116_412,0.48440656565656565
46,116_413,0.31473214285714285
47,116_414,0.2857142857142857
48,116_415,0.5166666666666667
49,116_416,0.6431818181818182
50,116_420,0.4909313725490196
51,116_421,0.4398148148148148
52,116_424,0.4089506172839506
53,116_425,0.5120614035087719
54,116_426,0.3236299081035923
55,116_427,0.604534278913175
56,117_429,0.6983333333333334
57,117_430,0.6665256892230577
58,118_432,0.7308239962651728
59,118_434,0.5047619047619047
60,11_21,0.5
61,11_22,0.8611111111111112
62,12_23,0.8048809523809524
63,133_474,0.875
64,134_476,1.0
65,134_477,0.6666666666666667
66,135_479,0.8333333333333334
67,13_24,0.6925
68,143_495,0.6487698412698413
69,145_497,0.5486111111111112
70,14_25,0.8110073260073261
71,153_510,0.7
72,154_511,0.7777777777777778
73,15_26,0.6968954248366014
74,160_519,0.48214285714285715
75,167_538,0.6910984848484848
76,167_539,0.6910984848484848
77,168_541,0.6319444444444444
78,168_542,0.43297847985347987
79,168_543,0.5368589743589745
80,169_544,0.7405128205128205
81,169_545,0.6957983193277311
82,169_548,0.6154761904761905
83,169_549,0.7194186507936509
84,16_27,0.7679778554778555
85,170_550,0.555952380952381
86,170_551,0.5379464285714286
87,174_555,0.7597222222222223
88,175_559,0.625
89,175_561,0.625
90,177_585,0.4496760806157794
91,178_591,0.6555555555555556
92,178_684,0.6240682352400013
93,179_659,0.3906910500247814
94,17_28,1.0
95,180_686,0.556738392497398
96,181_599,0.3111111111111111
97,181_600,0.08333333333333337
98,183_604,0.5973544639175182
99,184_606,0.7431374992853996
100,185_665,0.529799197775561
101,185_666,0.6880144422498153
102,185_667,0.8744292237442922
103,186_668,0.6213580447507147
104,186_669,0.7261282862650108
105,187_618,0.6531587022556753
106,187_619,0.5701220380496697
107,18_29,0.9397321428571428
108,190_628,0.5724909385292228
109,190_629,0.510302489798191
110,190_674,0.4740070303208099
111,191_630,0.45611231816804293
112,191_631,0.4258102676340906
113,191_675,0.45078640676567655
114,192_635,0.7444444444444445
115,193_723,0.6706565759919624
116,194_639,0.5074816139829633
117,194_678,0.4664492549387026
118,195_642,0.569327092021113
119,196_644,0.5302000268027198
120,197_645,0.5452864844448544
121,197_646,0.5072054124739171
122,197_647,0.42538461538461536
123,197_648,0.6053113553113553
124,197_649,0.5185502381138992
125,197_650,0.5144081855127436
126,197_651,0.6879941591099984
127,198_682,0.6744736750966907
128,199_657,0.4171196794089811
129,19_30,0.7213541666666667
130,1_1,0.8809523809523809
131,200_658,0.6458333333333333
132,201_660,0.7957901467669675
133,202_661,0.8323518387821757
134,203_662,0.5046196423901665
135,204_663,0.553276747743341
136,205_664,0.5712933045941995
137,206_670,0.5896981690648941
138,206_671,0.45415796094258354
139,207_672,0.49703347722858693
140,208_673,0.625801389586892
141,209_676,0.4248718754985329
142,210_677,0.5941136667389344
143,212_680,0.33986656897054096
144,213_681,0.5647899864350892
145,214_683,0.47701066582698975
146,215_685,0.7737342948527302
147,216_687,0.3875463646809117
148,217_688,0.5161974758014061
149,217_689,0.5717870138865665
150,219_691,0.5403919553483236
151,21_32,0.16666666666666663
152,220_692,0.5477953466606811
153,221_693,0.5833262463717077
154,223_695,0.40572101118209697
155,224_696,0.5272234637191252
156,225_697,0.6484228928804505
157,227_699,0.47740289194085045
158,228_700,0.5463181033509643
159,229_701,0.5710324557727503
160,230_702,0.5391673283724849
161,231_703,0.566375758035622
162,232_704,0.6645938604245769
163,232_705,0.5589234494341035
164,233_706,0.5287900319159411
165,234_707,0.530474449580342
166,235_708,0.6018618059191484
167,236_709,0.6459945644219696
168,237_710,0.5632422820281601
169,237_711,0.42661675467424887
170,238_712,0.5282612623105966
171,239_713,0.5003250348776005
172,23_34,0.47916666666666663
173,240_714,0.5872820790060583
174,241_715,0.5696858150381554
175,242_716,0.4871821246986653
176,243_717,0.5246118077092421
177,244_718,0.4286596634577308
178,245_719,0.4981775528501
179,246_720,0.5697198986350067
180,247_721,0.49247586072068045
181,248_722,0.5485267220098317
182,249_724,0.5024455763210488
183,24_35,0.5535353535353534
184,250_725,0.6890091280799439
185,250_726,0.6822405907466548
186,251_727,0.6014365135682835
187,253_729,0.5498194105596094
188,254_730,0.8744277173265189
189,257_735,0.5523953241775756
190,258_736,0.42429238800064545
191,259_737,0.6143307928322683
192,25_36,0.5340909090909091
193,260_738,0.5188076552995654
194,261_739,0.5699242265757763
195,262_740,0.6504429139518046
196,263_741,0.49746614954265844
197,264_742,0.5817045731720065
198,265_743,0.5420479164991663
199,266_744,0.5088470588186382
200,267_745,0.5845276997903499
201,268_746,0.5432402454036067
202,269_747,0.5051463825609805
203,26_37,1.0
204,270_748,0.532698098853513
205,271_749,0.5373685421525266
206,272_750,0.4129107074690098
207,273_751,0.4974238810233631
208,274_752,0.5360277850148545
209,275_753,0.8800034511095978
210,275_754,0.4967316381919856
211,276_755,0.5489842921039619
212,277_756,0.6662661016059138
213,278_757,0.4817564373382873
214,279_758,0.45835652631452684
215,27_38,0.5677272727272727
216,27_39,0.5596420940170941
217,27_40,0.3666666666666667
218,280_759,0.5993825197860471
219,281_760,0.5287784641418884
220,283_762,0.5609300091937409
221,29_43,0.6538461538461539
222,37_69,0.7291666666666667
223,37_70,0.53125
224,37_74,0.5357142857142857
225,37_77,0.875
226,3_3,0.6791666666666667
227,40_95,0.5509259259259259
228,40_96,0.3680555555555556
229,42_103,0.25
230,42_104,0.0
231,44_106,0.0
232,46_120,0.9444444444444444
233,49_149,0.16666666666666669
234,50_154,
235,53_178,0.31875
236,54_179,0.3888888888888889
237,54_182,0.4166666666666667
238,5_5,0.5521514161220044
239,6_7,0.4
240,70_211,0.5793650793650794
241,71_212,0.5767857142857143
242,71_213,0.35555555555555557
243,76_230,1.0
244,78_237,0.0
245,7_10,0.888888888888889
246,7_11,0.7013888888888888
247,80_239,0.6128787878787878
248,81_241,0.4444444444444444
249,82_242,0.6858778379772962
250,82_243,0.5535714285714286
251,83_244,0.9772727272727272
252,83_245,0.625
253,84_246,0.625
254,85_247,0.715625
255,85_248,0.8645833333333334
256,86_249,0.6064814814814815
257,86_250,0.4444444444444444
258,88_252,0.45
259,88_254,0.4971230158730158
260,89_255,0.41269841269841273
261,8_12,0.7083333333333333
262,8_13,0.8888888888888888
263,90_256,0.5355148005148006
264,91_257,0.8303571428571428
265,92_258,0.7011904761904761
266,93_259,0.4749896019013666
267,9_14,0.0
268,9_17,0.7142857142857143
269,9_18,0.45
