Assay,Accuracy,Balanced Accuracy,Recall,Precision,Threshold,AUC,TP,FP,TN,FN
1_1,0.98,0.5,0.0,0.0,-50.46875,0.8061224489795918,0,0,98,2
1_1,0.97,0.49489795918367346,0.0,0.0,-49.46875,0.8061224489795918,0,1,97,2
1_1,0.97,0.49489795918367346,0.0,0.0,-48.46875,0.8061224489795918,0,1,97,2
1_1,0.97,0.49489795918367346,0.0,0.0,-47.46875,0.8061224489795918,0,1,97,2
1_1,0.97,0.49489795918367346,0.0,0.0,-46.46875,0.8061224489795918,0,1,97,2
1_1,0.97,0.49489795918367346,0.0,0.0,-45.46875,0.8061224489795918,0,1,97,2
1_1,0.97,0.49489795918367346,0.0,0.0,-44.46875,0.8061224489795918,0,1,97,2
1_1,0.97,0.49489795918367346,0.0,0.0,-43.46875,0.8061224489795918,0,1,97,2
1_1,0.97,0.49489795918367346,0.0,0.0,-42.46875,0.8061224489795918,0,1,97,2
1_1,0.97,0.49489795918367346,0.0,0.0,-41.46875,0.8061224489795918,0,1,97,2
1_1,0.97,0.49489795918367346,0.0,0.0,-40.46875,0.8061224489795918,0,1,97,2
1_1,0.96,0.4897959183673469,0.0,0.0,-39.46875,0.8061224489795918,0,2,96,2
1_1,0.95,0.4846938775510204,0.0,0.0,-38.46875,0.8061224489795918,0,3,95,2
1_1,0.95,0.4846938775510204,0.0,0.0,-37.46875,0.8061224489795918,0,3,95,2
1_1,0.94,0.47959183673469385,0.0,0.0,-36.46875,0.8061224489795918,0,4,94,2
1_1,0.93,0.4744897959183674,0.0,0.0,-35.46875,0.8061224489795918,0,5,93,2
1_1,0.9,0.45918367346938777,0.0,0.0,-34.46875,0.8061224489795918,0,8,90,2
1_1,0.88,0.4489795918367347,0.0,0.0,-33.46875,0.8061224489795918,0,10,88,2
1_1,0.88,0.4489795918367347,0.0,0.0,-32.46875,0.8061224489795918,0,10,88,2
1_1,0.88,0.4489795918367347,0.0,0.0,-31.46875,0.8061224489795918,0,10,88,2
1_1,0.87,0.44387755102040816,0.0,0.0,-30.46875,0.8061224489795918,0,11,87,2
1_1,0.87,0.44387755102040816,0.0,0.0,-29.46875,0.8061224489795918,0,11,87,2
1_1,0.87,0.44387755102040816,0.0,0.0,-28.46875,0.8061224489795918,0,11,87,2
1_1,0.87,0.44387755102040816,0.0,0.0,-27.46875,0.8061224489795918,0,11,87,2
1_1,0.85,0.4336734693877551,0.0,0.0,-26.46875,0.8061224489795918,0,13,85,2
1_1,0.84,0.42857142857142855,0.0,0.0,-25.46875,0.8061224489795918,0,14,84,2
1_1,0.83,0.42346938775510207,0.0,0.0,-24.46875,0.8061224489795918,0,15,83,2
1_1,0.83,0.42346938775510207,0.0,0.0,-23.46875,0.8061224489795918,0,15,83,2
1_1,0.83,0.42346938775510207,0.0,0.0,-22.46875,0.8061224489795918,0,15,83,2
1_1,0.83,0.42346938775510207,0.0,0.0,-21.46875,0.8061224489795918,0,15,83,2
1_1,0.83,0.6683673469387755,0.5,0.058823529411764705,-20.46875,0.8061224489795918,1,16,82,1
1_1,0.83,0.6683673469387755,0.5,0.058823529411764705,-19.46875,0.8061224489795918,1,16,82,1
1_1,0.8,0.653061224489796,0.5,0.05,-18.46875,0.8061224489795918,1,19,79,1
1_1,0.79,0.6479591836734694,0.5,0.047619047619047616,-17.46875,0.8061224489795918,1,20,78,1
1_1,0.78,0.6428571428571428,0.5,0.045454545454545456,-16.46875,0.8061224489795918,1,21,77,1
1_1,0.78,0.8877551020408163,1.0,0.08333333333333333,-15.46875,0.8061224489795918,2,22,76,0
1_1,0.78,0.8877551020408163,1.0,0.08333333333333333,-14.46875,0.8061224489795918,2,22,76,0
1_1,0.75,0.8724489795918368,1.0,0.07407407407407407,-13.46875,0.8061224489795918,2,25,73,0
1_1,0.75,0.8724489795918368,1.0,0.07407407407407407,-12.46875,0.8061224489795918,2,25,73,0
1_1,0.74,0.8673469387755102,1.0,0.07142857142857142,-11.46875,0.8061224489795918,2,26,72,0
1_1,0.72,0.8571428571428572,1.0,0.06666666666666667,-10.46875,0.8061224489795918,2,28,70,0
1_1,0.71,0.8520408163265306,1.0,0.06451612903225806,-9.46875,0.8061224489795918,2,29,69,0
1_1,0.69,0.8418367346938775,1.0,0.06060606060606061,-8.46875,0.8061224489795918,2,31,67,0
1_1,0.69,0.8418367346938775,1.0,0.06060606060606061,-7.46875,0.8061224489795918,2,31,67,0
1_1,0.69,0.8418367346938775,1.0,0.06060606060606061,-6.46875,0.8061224489795918,2,31,67,0
1_1,0.68,0.8367346938775511,1.0,0.058823529411764705,-5.46875,0.8061224489795918,2,32,66,0
1_1,0.65,0.8214285714285714,1.0,0.05405405405405406,-4.46875,0.8061224489795918,2,35,63,0
1_1,0.62,0.8061224489795918,1.0,0.05,-3.46875,0.8061224489795918,2,38,60,0
1_1,0.56,0.7755102040816326,1.0,0.043478260869565216,-2.46875,0.8061224489795918,2,44,54,0
1_1,0.51,0.75,1.0,0.0392156862745098,-1.46875,0.8061224489795918,2,49,49,0
1_1,0.44,0.7142857142857143,1.0,0.034482758620689655,-0.46875,0.8061224489795918,2,56,42,0
1_1,0.38,0.6836734693877551,1.0,0.03125,0.53125,0.8061224489795918,2,62,36,0
1_1,0.33,0.6581632653061225,1.0,0.028985507246376812,1.53125,0.8061224489795918,2,67,31,0
1_1,0.27,0.6275510204081632,1.0,0.02666666666666667,2.53125,0.8061224489795918,2,73,25,0
1_1,0.2,0.5918367346938775,1.0,0.024390243902439025,3.53125,0.8061224489795918,2,80,18,0
1_1,0.13,0.5561224489795918,1.0,0.02247191011235955,4.53125,0.8061224489795918,2,87,11,0
1_1,0.08,0.5306122448979592,1.0,0.02127659574468085,5.53125,0.8061224489795918,2,92,6,0
1_1,0.05,0.5153061224489796,1.0,0.020618556701030927,6.53125,0.8061224489795918,2,95,3,0
1_1,0.03,0.5051020408163265,1.0,0.020202020202020204,7.53125,0.8061224489795918,2,97,1,0
1_1,0.03,0.5051020408163265,1.0,0.020202020202020204,8.53125,0.8061224489795918,2,97,1,0
1_1,0.02,0.5,1.0,0.02,9.53125,0.8061224489795918,2,98,0,0
1_1,0.02,0.5,1.0,0.02,10.53125,0.8061224489795918,2,98,0,0
1_1,0.02,0.5,1.0,0.02,11.53125,0.8086734693877551,2,98,0,0
1_1,0.02,0.5,1.0,0.02,12.53125,0.8086734693877551,2,98,0,0
1_1,0.02,0.5,1.0,0.02,13.53125,0.8086734693877551,2,98,0,0
1_1,0.02,0.5,1.0,0.02,14.53125,0.8086734693877551,2,98,0,0
1_1,0.02,0.5,1.0,0.02,15.53125,0.8086734693877551,2,98,0,0
1_1,0.02,0.5,1.0,0.02,16.53125,0.846938775510204,2,98,0,0
1_1,0.02,0.5,1.0,0.02,17.53125,0.8443877551020408,2,98,0,0
1_1,0.02,0.5,1.0,0.02,18.53125,0.8392857142857142,2,98,0,0
1_1,0.02,0.5,1.0,0.02,19.53125,0.8367346938775511,2,98,0,0
1_1,0.02,0.5,1.0,0.02,20.53125,0.8367346938775511,2,98,0,0
1_1,0.02,0.5,1.0,0.02,21.53125,0.8877551020408163,2,98,0,0
1_1,0.02,0.5,1.0,0.02,22.53125,0.8877551020408163,2,98,0,0
10_19,0.974025974025974,0.5,0.0,0.0,-50.46875,0.7666666666666666,0,0,75,2
10_19,0.961038961038961,0.49333333333333335,0.0,0.0,-49.46875,0.7666666666666666,0,1,74,2
10_19,0.961038961038961,0.49333333333333335,0.0,0.0,-48.46875,0.7666666666666666,0,1,74,2
10_19,0.961038961038961,0.49333333333333335,0.0,0.0,-47.46875,0.7666666666666666,0,1,74,2
10_19,0.961038961038961,0.49333333333333335,0.0,0.0,-46.46875,0.7666666666666666,0,1,74,2
10_19,0.961038961038961,0.49333333333333335,0.0,0.0,-45.46875,0.7666666666666666,0,1,74,2
10_19,0.961038961038961,0.49333333333333335,0.0,0.0,-44.46875,0.7666666666666666,0,1,74,2
10_19,0.961038961038961,0.49333333333333335,0.0,0.0,-43.46875,0.7666666666666666,0,1,74,2
10_19,0.961038961038961,0.49333333333333335,0.0,0.0,-42.46875,0.7666666666666666,0,1,74,2
10_19,0.961038961038961,0.49333333333333335,0.0,0.0,-41.46875,0.7666666666666666,0,1,74,2
10_19,0.961038961038961,0.49333333333333335,0.0,0.0,-40.46875,0.7666666666666666,0,1,74,2
10_19,0.948051948051948,0.4866666666666667,0.0,0.0,-39.46875,0.7666666666666666,0,2,73,2
10_19,0.935064935064935,0.48,0.0,0.0,-38.46875,0.7666666666666666,0,3,72,2
10_19,0.935064935064935,0.48,0.0,0.0,-37.46875,0.7666666666666666,0,3,72,2
10_19,0.922077922077922,0.47333333333333333,0.0,0.0,-36.46875,0.7666666666666666,0,4,71,2
10_19,0.9090909090909091,0.4666666666666667,0.0,0.0,-35.46875,0.7666666666666666,0,5,70,2
