Task,AUC,Balanced Accuracy,Precision,Recall
737826,0.44444720338261584,0.463179999432447,0.30869565217391304,0.8129770992366412
737824_1,0.47558655675332917,0.4875995208905799,0.40027322404371585,0.8567251461988304
1495405,0.609472770276339,0.5211969701505943,0.3362573099415205,0.905511811023622
737825,0.5342875400278579,0.5138966670974597,0.36431784107946025,0.8741007194244604
752594,0.7326610919822921,0.549038093676559,0.47109826589595377,0.9532163742690059
600886,0.5548696844993142,0.5246913580246914,0.4144144144144144,0.8518518518518519
752347,0.5726145721446474,0.5063999283924095,0.7024221453287197,0.8903508771929824
809095,0.6117788461538463,0.49793956043956045,0.4803921568627451,0.9423076923076923
845173,0.8081062149770759,0.5747898624554254,0.4620253164556962,0.9668874172185431
845196,0.3431061313414254,0.41605975723622785,0.6242038216560509,0.7686274509803922
752496,0.573049001814882,0.49243799153055046,0.5,0.8620689655172413
752509,0.6630613362541072,0.5435377875136912,0.3684210526315789,0.9545454545454546
954338,0.49748644522819396,0.47691740801179133,0.5934718100890207,0.8264462809917356
737400,0.5307732316227463,0.4852635228848821,0.3448275862068966,0.8928571428571429
737053,0.4112399643175736,0.48015165031222123,0.5977011494252874,0.8813559322033898
736947,0.5750371178824617,0.5252008298673588,0.6595208070617906,0.8587848932676518
845206,0.5407470288624788,0.5919354838709677,0.44525547445255476,0.9838709677419355
688267,0.43166977611940294,0.4979011194029851,0.32222222222222224,0.90625
