Assay,ResNet,DenseNet,GapNet,M-CNN,MIL-Net,SC-CNN,FNN,
CHEMBL1040691,0.685,0.615,0.415,0.468,0.442,0.664,0.672,
CHEMBL1614544,0.869,0.907,0.798,0.842,0.805,0.854,0.729,
CHEMBL1613914,0.704,0.657,0.818,0.820,0.683,0.890,0.500,
CHEMBL1613836,0.684,0.593,0.632,0.651,0.717,0.742,0.731,
CHEMBL1613838,0.771,0.684,0.552,0.427,0.526,0.741,0.721,
CHEMBL1613842,0.626,0.556,0.752,0.876,0.825,0.589,0.677,
CHEMBL1614361,0.894,0.944,0.704,0.656,0.387,0.933,0.732,
CHEMBL1614364,0.655,0.583,0.905,0.838,0.974,0.621,0.504,
CHEMBL1614421,0.860,0.864,0.960,0.965,0.681,0.910,0.621,
CHEMBL1614441,0.713,0.763,0.781,0.562,0.645,0.782,0.684,
CHEMBL1614458,0.837,0.903,0.911,0.902,0.656,0.883,0.729,
CHEMBL1614459,0.591,0.567,0.541,0.578,0.702,0.494,0.666,
CHEMBL1614174,0.912,0.825,0.870,0.898,0.811,0.803,0.844,
CHEMBL1614234,0.336,0.000,0.983,0.968,0.819,0.359,1.000,
CHEMBL1614236,0.778,0.396,0.597,0.558,0.634,0.625,0.741,
CHEMBL1614250,0.894,0.981,0.917,0.748,0.679,0.947,0.446,
CHEMBL1614257,0.730,0.778,0.607,0.730,0.626,0.873,0.635,
CHEMBL1614530,0.571,0.549,0.674,0.593,0.672,0.642,0.521,
CHEMBL1614342,0.808,0.968,0.883,0.907,0.877,0.925,0.428,
CHEMBL1614087,0.635,0.751,0.662,0.665,0.796,0.789,0.694,
CHEMBL1614146,0.684,0.593,0.675,0.691,0.739,0.761,0.720,
CHEMBL1614079,0.603,0.909,0.540,1.000,0.940,0.769,0.774,
CHEMBL1040691,0.621,0.620,0.739,0.628,0.720,0.653,0.789,
CHEMBL1040692,0.976,0.872,0.789,0.777,0.744,0.909,0.669,
CHEMBL1614544,0.987,0.871,0.870,0.843,0.817,0.691,0.791,
CHEMBL1613842,0.709,0.667,0.725,0.892,0.895,0.724,0.443,
CHEMBL1614459,0.617,0.595,0.543,0.595,0.708,0.475,0.616,
CHEMBL1614087,0.704,0.921,0.888,0.833,0.630,0.772,0.815,
CHEMBL1614544,0.943,0.862,0.849,0.797,0.756,0.705,0.679,
CHEMBL1613842,0.805,0.620,0.591,0.739,0.791,0.788,0.500,
CHEMBL1741321,0.713,0.704,0.671,0.654,0.677,0.681,0.539,
CHEMBL1741325,0.828,0.840,0.707,0.695,0.698,0.819,0.668,
CHEMBL1741322,0.601,0.675,0.614,0.625,0.622,0.647,0.577,
CHEMBL1741323,0.790,0.800,0.730,0.695,0.680,0.773,0.662,
CHEMBL1741324,0.658,0.747,0.682,0.611,0.611,0.675,0.600,
CHEMBL1794324,0.730,0.778,0.667,0.659,0.538,0.612,0.573,
CHEMBL1794349,0.802,0.710,0.747,0.784,0.756,0.706,0.650,
CHEMBL1963972,0.967,1.000,0.877,0.733,0.693,0.971,0.667,
CHEMBL3214992,0.976,1.000,1.000,0.500,1.000,0.354,1.000,
CHEMBL3215227,0.830,0.844,0.843,0.859,0.989,0.899,0.781,
CHEMBL3561973,0.957,1.000,0.816,0.366,0.525,0.925,0.928,
CHEMBL3562135,0.903,0.941,0.966,0.846,0.861,0.842,0.774,
CHEMBL3562136,0.796,0.795,0.858,0.730,0.708,0.782,0.691,
CHEMBL3562146,0.789,0.799,0.887,0.750,0.753,0.729,0.693,
CHEMBL1737865,0.577,0.706,0.781,0.847,0.852,0.696,0.688,
CHEMBL1738513,0.891,0.982,0.954,0.919,0.920,0.971,0.896,
CHEMBL1738500,0.992,1.000,0.956,0.841,0.702,0.917,0.765,
CHEMBL1613884,0.500,0.500,0.842,0.648,0.240,0.500,0.500,
CHEMBL1613820,0.932,0.968,0.819,0.815,0.920,0.800,0.865,
CHEMBL1613794,1.000,0.819,0.716,0.635,0.597,1.000,0.800,
CHEMBL1963988,0.444,0.731,0.641,0.753,0.811,0.645,0.820,
CHEMBL1963976,0.987,1.000,0.999,1.000,0.997,1.000,0.986,
CHEMBL1963981,1.000,0.980,0.993,0.997,0.984,0.989,0.989,
CHEMBL1963985,0.992,0.953,0.954,0.973,0.967,0.987,0.997,
CHEMBL1963989,0.986,0.974,0.975,0.980,0.982,0.984,0.984,
CHEMBL1963990,1.000,0.986,0.976,0.979,0.982,0.996,0.998,
CHEMBL1963991,1.000,0.995,0.964,0.973,0.983,0.994,0.998,
CHEMBL1963994,0.934,0.910,0.998,1.000,0.994,0.925,0.955,
CHEMBL1964017,1.000,0.970,1.000,1.000,0.992,0.987,0.988,
CHEMBL1964018,0.970,0.956,0.969,0.983,0.982,0.958,0.964,
CHEMBL1964021,0.993,0.997,0.987,0.991,0.984,0.994,0.981,
CHEMBL1964025,0.991,0.982,0.971,0.979,0.983,0.982,0.985,
CHEMBL1964030,0.990,0.979,0.941,0.923,0.921,0.984,0.955,
CHEMBL1964034,0.999,0.984,0.990,0.983,0.993,0.993,0.997,
CHEMBL1964037,0.988,0.950,0.976,0.984,0.983,0.983,0.997,
CHEMBL1964040,0.972,0.956,0.946,0.972,0.966,0.963,0.986,
CHEMBL1964043,1.000,0.981,0.991,0.996,0.984,0.986,0.990,
CHEMBL1964045,0.988,0.986,1.000,0.999,0.999,0.997,0.979,
CHEMBL1964047,1.000,0.991,0.956,0.967,0.966,0.998,0.963,
CHEMBL1964048,0.999,0.989,0.967,0.973,0.966,0.998,0.959,
CHEMBL1964059,1.000,0.998,0.957,0.985,0.965,0.989,0.989,
CHEMBL1964062,1.000,1.000,0.987,0.971,0.966,1.000,0.918,
CHEMBL1964063,0.998,1.000,1.000,1.000,0.995,0.984,0.992,
CHEMBL1964065,0.993,0.978,0.962,0.964,0.955,0.985,0.917,
CHEMBL1964066,0.950,0.927,0.811,0.943,0.922,0.971,0.962,
CHEMBL1964072,1.000,0.996,0.959,0.969,0.966,0.998,0.964,
CHEMBL1964075,0.916,0.919,0.961,0.991,0.981,0.929,0.943,
CHEMBL1964077,1.000,1.000,0.968,0.985,0.968,0.989,0.967,
CHEMBL1964085,0.987,0.989,0.979,0.989,0.989,0.982,0.983,
CHEMBL1964086,1.000,1.000,1.000,0.993,0.989,1.000,0.979,
CHEMBL1964087,0.983,0.944,0.991,0.997,0.982,0.966,0.971,
CHEMBL1964088,1.000,1.000,0.987,0.996,0.994,1.000,0.966,
CHEMBL1964091,1.000,0.995,0.981,0.985,0.975,1.000,0.998,
CHEMBL1964092,0.993,0.996,0.991,0.991,0.984,0.995,0.961,
CHEMBL1964099,1.000,1.000,0.983,0.979,0.990,0.989,0.976,
CHEMBL1963844,1.000,1.000,0.989,0.995,0.994,0.996,0.973,
CHEMBL1963854,1.000,0.978,0.978,0.983,0.967,0.994,0.944,
CHEMBL1963860,1.000,1.000,0.991,0.994,0.982,0.987,0.976,
CHEMBL1963866,0.966,0.932,0.867,0.878,0.899,0.931,0.958,
CHEMBL1963868,0.993,0.986,0.982,0.986,0.967,0.979,0.946,
CHEMBL1963874,1.000,0.976,0.992,0.988,0.966,0.981,0.963,
CHEMBL1963876,1.000,0.984,0.991,0.995,0.983,0.988,0.990,
CHEMBL1963880,0.982,0.933,0.961,0.991,0.968,0.969,0.975,
CHEMBL1963882,0.943,0.912,0.959,0.964,0.964,0.926,0.965,
CHEMBL1963885,1.000,0.995,0.960,0.978,0.965,0.986,0.991,
CHEMBL1963887,1.000,1.000,0.997,0.979,0.963,1.000,0.917,
CHEMBL1963889,1.000,1.000,0.989,0.977,0.974,1.000,0.966,
CHEMBL1963895,0.974,0.949,0.987,0.997,0.983,0.965,0.980,
CHEMBL1963900,0.983,0.916,0.500,0.500,0.500,0.966,0.970,
CHEMBL1963901,1.000,0.986,0.971,0.986,0.966,0.993,0.947,
CHEMBL1963903,1.000,1.000,0.977,0.989,0.972,0.987,0.973,
CHEMBL1963911,0.980,0.966,0.948,0.987,0.982,0.980,0.933,
CHEMBL1963921,0.988,1.000,0.982,0.987,0.979,1.000,0.979,
CHEMBL1963922,1.000,0.998,0.963,0.982,0.967,0.989,0.974,
CHEMBL1963929,0.979,0.946,0.971,0.982,0.983,0.980,0.998,
CHEMBL1963945,1.000,0.976,1.000,1.000,0.995,0.982,0.972,
CHEMBL1963953,1.000,0.989,0.963,0.982,0.966,0.988,0.967,
CHEMBL1963960,0.991,0.957,0.993,0.998,0.985,0.968,0.979,
CHEMBL1963961,0.967,0.927,0.968,0.968,0.959,0.968,0.973,
CHEMBL1963963,1.000,1.000,0.993,0.986,0.966,1.000,0.917,
CHEMBL1964004,0.999,0.995,0.992,0.995,0.981,0.986,0.993,
CHEMBL1964006,0.994,0.971,0.967,0.986,0.965,0.978,0.988,
CHEMBL1964007,0.999,0.999,0.944,0.970,0.962,0.989,0.993,
CHEMBL1964009,0.998,0.992,0.977,0.998,0.982,0.985,0.974,
CHEMBL1964012,0.999,0.988,0.983,0.990,0.983,0.990,0.969,
CHEMBL1738183,1.000,1.000,0.624,0.778,0.865,0.889,0.500,
CHEMBL1738239,0.461,0.465,0.496,0.875,0.760,0.454,0.678,
