Fold,Task,AUC
1,1,0.634920634920635
1,2,0.29591836734693877
1,4,0.3076923076923077
1,5,0.5666666666666667
1,6,0.40217391304347827
1,7,0.6666666666666667
1,8,0.3888888888888889
1,9,0.5428571428571428
1,10,0.5
1,11,0.4545454545454546
1,12,0.6786858974358974
1,13,0.53125
1,14,0.5714285714285714
1,15,0.5277777777777778
1,16,0.9375
1,17,0.17045454545454541
1,18,0.6428571428571428
1,19,0.6190476190476191
1,20,0.4772727272727273
1,21,0.3076923076923077
1,22,0.4
1,23,0.6722689075630253
1,24,0.6029411764705883
1,25,0.85
1,26,0.56
1,27,0.7276190476190476
1,28,0.40384615384615385
1,29,0.85
1,30,0.1923076923076923
1,31,0.5693479938271606
1,32,0.45425531914893613
1,33,0.4526679841897233
1,34,0.49275704613446697
1,35,0.4869268662372111
1,36,0.5692307692307692
1,37,0.6468253968253969
1,38,0.6875
1,39,0.8333333333333334
1,40,0.8571428571428572
1,41,0.6666666666666667
1,42,0.6666666666666666
1,43,0.6916363636363636
1,44,0.6561355311355311
1,45,0.6190476190476191
1,46,0.7777777777777778
1,47,0.6373626373626373
1,49,0.6499999999999999
1,50,0.5769230769230769
1,51,0.5714285714285714
1,52,0.9230769230769231
1,53,0.9836956521739131
1,54,0.9645390070921986
1,55,0.9822695035460993
1,56,0.9744680851063829
1,57,0.9733333333333333
1,58,0.9262820512820513
1,59,0.9821428571428571
1,60,0.9434523809523809
1,61,0.9047619047619048
1,62,0.8976744186046512
1,63,0.9119318181818182
1,64,0.9720930232558139
1,65,0.9733333333333333
1,66,0.9523809523809523
1,67,0.9728260869565217
1,68,0.926829268292683
1,69,0.9440993788819876
1,70,0.9440993788819876
1,71,0.9744897959183674
1,72,0.8909090909090909
1,73,0.991869918699187
1,74,0.8717948717948718
1,75,0.9680851063829787
1,76,0.9249999999999999
1,77,0.9079365079365079
1,78,0.8851851851851851
1,79,0.9090909090909091
1,80,0.875
1,81,0.9130434782608696
1,82,0.9232954545454545
1,83,0.9733333333333334
1,84,0.9591836734693877
1,85,0.8935185185185185
1,86,0.9148936170212767
1,87,0.9326241134751774
1,88,0.9090909090909091
1,89,0.9488636363636364
1,90,0.9079365079365079
1,91,0.9119318181818182
1,92,0.9739583333333334
1,93,0.9322916666666667
1,94,0.9020270270270271
1,95,0.9817073170731708
1,96,0.8909090909090909
1,97,0.9722222222222222
1,98,0.9111111111111111
1,99,0.925
1,100,0.9311594202898551
1,101,0.8896103896103896
1,102,0.731060606060606
1,103,0.9230769230769231
1,104,0.8900709219858156
1,105,0.975
1,106,0.811965811965812
1,107,0.9166666666666666
1,108,0.9444444444444444
1,109,0.9259259259259258
1,110,0.8909090909090909
1,111,1.0
1,112,0.9288888888888889
1,113,0.9929078014184397
1,114,0.9107142857142858
1,115,0.9166666666666666
1,116,0.0
1,117,0.16666666666666666
1,118,0.5
1,119,0.6142857142857143
1,120,0.0
1,121,0.75
1,123,1.0
1,124,0.49999999999999994
1,125,0.13541666666666666
1,126,0.4333333333333334
1,127,0.10714285714285714
1,128,0.25
1,129,0.30000000000000004
1,130,0.6
1,131,0.3939393939393939
1,132,0.9285714285714286
1,133,0.5666666666666667
1,134,0.9166666666666667
1,135,1.0
1,136,0.5
1,137,0.5
1,138,0.8125
1,139,0.65
1,140,0.5
1,141,0.5
1,142,0.6333333333333333
1,143,0.30000000000000004
1,144,0.5
1,145,0.9166666666666667
1,146,0.9166666666666667
1,147,0.5419871794871794
1,148,0.4519230769230769
1,149,0.375
1,150,0.48611111111111105
1,151,0.14285714285714285
1,152,0.6214285714285714
1,153,1.0
1,154,0.3303571428571429
1,155,0.5013429459994345
1,156,0.86
1,157,0.5030890369473047
1,158,0.466765873015873
1,159,0.5531281032770606
1,160,0.7
1,161,0.5647405562474055
1,162,0.5883160956690368
1,163,0.509464142895228
1,164,0.07894736842105265
1,165,0.579187925170068
1,166,0.6111111111111112
1,167,0.7479338842975206
1,168,0.7379737609329446
1,169,0.8055555555555556
1,170,0.8333333333333334
1,171,0.5804084778420039
1,172,0.7455357142857143
1,173,0.5357142857142857
1,174,0.5366666666666666
1,175,0.0
1,176,0.6503598740440846
1,177,0.5361842105263158
1,178,0.49623842592592593
1,179,0.3884615384615384
1,180,0.6026190476190476
1,181,0.5
1,182,0.7232791421653406
1,183,0.8342490842490843
1,184,0.5656017369727048
1,185,0.42105263157894735
1,186,0.21566358024691357
1,187,0.3665659617321249
1,188,0.0
1,189,0.62
1,190,0.75
1,191,0.5990990990990992
1,192,0.6315028901734103
1,193,0.43256464011180995
1,194,0.3294573643410852
1,195,0.6222222222222222
1,196,0.8444444444444444
1,197,0.6640625
1,198,0.6577932098765432
1,199,0.5563636363636364
1,200,0.6666666666666667
1,201,0.4226190476190476
1,202,0.7474916387959866
1,203,0.5121606334841629
1,204,0.38611111111111107
1,205,0.6299589603283173
1,206,0.9
1,207,0.2
1,208,0.7500000000000001
1,209,0.653880710484484
2,1,0.4693877551020408
2,2,0.30526315789473685
2,3,0.49122807017543857
2,4,0.13076923076923078
2,5,0.6333333333333333
2,6,0.2666666666666667
2,7,0.3333333333333333
2,8,0.625
2,9,0.43478260869565216
2,10,0.5333333333333333
2,11,0.40234375
2,12,0.4395604395604396
2,13,0.3076923076923077
2,14,0.6
2,15,0.6153846153846153
2,16,0.04545454545454547
2,17,0.4875
2,18,0.4609375
2,19,0.47619047619047616
2,20,0.6411764705882352
2,21,0.13076923076923078
2,22,0.25
2,23,0.5714285714285714
2,24,0.5785714285714285
2,25,0.34920634920634924
2,26,0.3125
2,27,0.538888888888889
2,28,0.35
2,29,0.22727272727272724
2,30,0.3125
2,31,0.5392716103554189
2,32,0.4400956937799043
2,33,0.4576822916666667
2,34,0.3725443972968725
2,35,0.42852748154224773
2,36,0.6260869565217391
2,37,0.5238095238095237
2,38,0.7115384615384616
2,39,1.0
2,40,0.75
2,41,0.9
2,42,0.7788461538461539
2,43,0.6465946843853821
2,44,0.7456521739130435
2,45,0.4444444444444444
2,46,0.6428571428571428
2,47,0.5666666666666667
2,48,0.6
2,49,0.782051282051282
2,50,0.5555555555555556
2,51,0.6363636363636364
2,52,0.6140350877192983
2,53,0.9382716049382716
2,54,0.9199999999999999
2,55,0.9305555555555556
2,56,0.9305555555555556
2,57,0.9305555555555556
2,58,0.9242424242424242
2,59,0.8999999999999999
2,60,0.9333333333333333
2,61,0.7652173913043478
2,62,0.9444444444444444
2,63,0.5499999999999999
2,64,0.9166666666666667
2,65,0.9333333333333333
2,66,0.9199999999999999
2,67,0.9382716049382716
2,68,0.8947368421052632
2,69,0.9199999999999999
2,70,0.9199999999999999
2,71,0.9199999999999999
2,72,0.875
2,73,0.8947368421052632
2,74,0.8550724637681161
2,75,0.9259259259259259
2,76,0.9199999999999999
2,77,0.9285714285714286
2,78,0.9230769230769231
2,79,0.9466666666666667
2,80,0.888888888888889
2,81,0.9444444444444444
2,82,0.9333333333333333
2,83,0.9615384615384616
2,84,0.7652173913043478
2,85,0.8235294117647058
2,86,0.9333333333333333
2,87,0.9230769230769231
2,88,0.9242424242424242
2,89,0.7692307692307692
2,90,0.9230769230769231
2,91,0.9375
2,92,0.9358974358974359
2,93,0.962962962962963
2,94,0.8833333333333333
2,95,0.8771929824561404
2,96,0.8636363636363635
2,97,0.8333333333333334
2,98,0.9358974358974359
2,100,0.9199999999999999
2,101,0.9230769230769231
2,102,0.9166666666666667
2,103,0.6666666666666666
2,104,0.9230769230769231
2,105,0.9487179487179487
2,106,0.9444444444444444
2,107,0.9375
2,108,0.9382716049382716
2,109,0.6900000000000001
2,110,0.875
2,111,0.9242424242424243
2,112,0.9166666666666667
2,113,0.8846153846153846
2,114,0.9305555555555556
2,115,0.9375
2,116,0.8
2,117,0.31818181818181823
2,119,0.5357142857142857
2,120,0.8
2,121,0.0
2,122,0.9
2,123,0.22222222222222224
2,124,0.5
2,125,0.0
2,126,0.2
2,127,0.3666666666666667
2,128,0.0
2,129,0.4375
2,130,0.34285714285714286
2,131,0.5
2,133,1.0
2,134,0.6666666666666667
2,135,0.41666666666666663
2,136,0.4444444444444444
2,137,0.8
2,138,0.95
2,139,0.8
2,140,0.5
2,141,0.5
2,142,0.7407407407407407
2,143,0.8
2,144,0.7777777777777779
2,145,0.6666666666666667
2,146,0.6666666666666667
2,147,0.521680216802168
2,148,0.7
2,150,0.5903361344537814
2,151,0.75
2,152,0.475
2,153,0.4666666666666667
2,154,0.4928774928774929
2,155,0.5236800861984523
2,156,0.6785714285714286
2,157,0.49677864703175334
2,158,0.5521541950113379
2,159,0.5810457516339869
2,160,0.5555555555555556
2,161,0.582542194092827
2,162,0.49248964088397784
2,163,0.48520739630184906
2,164,0.6153846153846154
2,165,0.6135681135681137
2,166,0.22083333333333335
2,167,0.5892857142857143
2,168,0.6421312826146662
2,169,0.6630434782608696
2,170,0.7714285714285715
2,171,0.5507705627705628
2,172,0.6808943089430894
2,173,0.4444444444444444
2,174,0.65625
2,175,0.4571428571428572
2,176,0.6174848317705459
2,177,0.8712121212121212
2,178,0.4780645161290323
2,179,0.3728070175438597
2,180,0.5705199115044248
2,181,0.5
2,182,0.7074967765702708
2,183,0.7237982663514578
2,184,0.5062252964426878
2,185,0.5
2,186,0.31038461538461537
2,187,0.4802052785923754
2,188,0.5
2,189,0.7333333333333333
2,190,0.625
2,191,0.7888127853881278
2,192,0.4583333333333333
2,193,0.516072676450035
2,194,0.7180232558139535
2,195,0.24
2,196,0.7226890756302522
2,197,0.16666666666666663
2,198,0.39939024390243905
2,199,0.6387096774193548
2,200,0.3333333333333333
2,201,0.44859038142620233
2,202,0.7067669172932332
2,203,0.3397860417727967
2,204,0.3157894736842105
2,205,0.6221174004192872
2,206,0.36363636363636365
2,207,0.75
2,208,0.6008403361344538
2,209,0.5264227642276423
3,1,0.27976190476190477
3,2,0.27272727272727276
3,3,0.296875
3,4,0.3846153846153846
3,5,0.4666666666666667
3,6,0.4555555555555556
3,7,0.09999999999999998
3,8,0.7
3,9,0.42361111111111105
3,10,0.3333333333333333
3,11,0.3
3,12,0.43832236842105265
3,13,0.0
3,14,0.888888888888889
3,15,0.5238095238095237
3,16,0.16666666666666666
3,17,0.425
3,18,0.459375
3,19,0.6785714285714285
3,20,0.37826086956521743
3,21,0.3846153846153846
3,22,0.5
3,23,0.6862745098039216
3,24,0.8636363636363636
3,25,0.25
3,26,0.3
3,27,0.49837662337662336
3,28,0.4933333333333333
3,29,0.25
3,30,0.4285714285714286
3,31,0.590927624872579
3,32,0.4133708272859216
3,33,0.5589444083928186
3,34,0.5194192377495463
3,35,0.6193003144654089
3,36,0.15789473684210525
3,37,0.6018518518518519
3,38,0.6607142857142857
3,39,1.0
3,40,0.6
3,41,0.7391304347826086
3,42,0.675
3,43,0.6639928698752229
3,44,0.6545189504373178
3,45,0.6888888888888889
3,46,0.5833333333333333
3,47,0.7272727272727272
3,49,0.6666666666666666
3,50,0.8
3,51,0.9428571428571428
3,52,0.9578947368421052
3,53,0.9655172413793104
3,54,0.9785714285714286
3,55,1.0
3,56,1.0
3,57,1.0
3,58,0.8181818181818182
3,59,0.9583333333333334
3,60,0.9285714285714286
3,61,0.9691358024691358
3,62,0.984
3,63,0.923076923076923
3,64,1.0
3,65,0.9733333333333334
3,66,0.9230769230769231
3,67,0.962962962962963
3,68,0.9722222222222222
3,69,1.0
3,70,1.0
3,71,0.9666666666666667
3,72,1.0
3,73,0.9565217391304348
3,74,0.928
3,75,0.962962962962963
3,76,1.0
3,77,0.9
3,78,0.9655172413793104
3,79,0.9851851851851852
3,80,1.0
3,81,0.962962962962963
3,82,1.0
3,83,1.0
3,84,0.9652777777777778
3,85,0.9523809523809523
3,86,0.9642857142857143
3,87,0.9655172413793104
3,88,0.962962962962963
3,89,0.7777777777777778
3,90,0.9482758620689655
3,91,0.9375
3,92,0.9666666666666667
3,93,0.9642857142857143
3,94,0.8636363636363636
3,95,0.9583333333333334
3,96,1.0
3,97,1.0
3,98,0.9615384615384616
3,99,0.9239130434782609
3,100,0.9666666666666667
3,101,0.962962962962963
3,102,0.9615384615384616
3,103,0.9619047619047619
3,104,0.9666666666666667
3,105,0.9876543209876543
3,106,0.9583333333333334
3,107,0.9655172413793104
3,108,0.9423076923076923
3,109,0.9257142857142857
3,110,1.0
3,111,0.9666666666666667
3,112,0.9375
3,113,0.9666666666666667
3,114,0.9545454545454546
3,115,0.9375
3,116,0.888888888888889
3,117,0.8205128205128205
3,118,0.75
3,119,0.6
3,120,0.888888888888889
3,121,0.20833333333333331
3,122,0.380952380952381
3,123,0.625
3,124,0.40625
3,125,0.2666666666666667
3,126,0.29166666666666663
3,127,0.25
3,128,0.5
3,129,0.3888888888888889
3,130,0.1785714285714286
3,131,0.0
3,132,0.5
3,133,0.625
3,134,0.888888888888889
3,136,0.6666666666666667
3,137,0.5
3,138,0.888888888888889
3,139,0.85
3,140,0.55
3,141,0.7333333333333333
3,142,0.8
3,143,0.5555555555555556
3,144,0.5333333333333333
3,145,0.888888888888889
3,146,0.888888888888889
3,147,0.5927975326560233
3,148,0.6
3,149,1.0
3,150,0.6296296296296297
3,151,0.5833333333333333
3,152,0.5666666666666667
3,153,0.7
3,154,0.4545454545454546
3,155,0.5643695296720208
3,156,0.811965811965812
3,157,0.5248957850856877
3,158,0.6754115226337448
3,159,0.6428571428571428
3,160,0.6666666666666667
3,161,0.5331341407983744
3,162,0.4469178082191781
