Assay,ResNet,DenseNet,GapNet,M-CNN,MIL-Net,SC-CNN,FNN
CHEMBL1040691,0.382,0.354,0.4,0.344,0.336,0.39,0.546
CHEMBL1614544,0.714,0.687,0.679,0.722,0.725,0.616,0.606
CHEMBL1613914,0.544,0.534,0.511,0.547,0.508,0.565,0.402
CHEMBL1613836,0.492,0.466,0.448,0.461,0.503,0.401,0.511
CHEMBL1613838,0.436,0.496,0.434,0.48,0.552,0.491,0.578
CHEMBL1613842,0.591,0.508,0.513,0.592,0.604,0.516,0.585
CHEMBL1614361,0.59,0.673,0.692,0.642,0.476,0.628,0.383
CHEMBL1614364,0.69,0.467,0.376,0.377,0.638,0.557,0.548
CHEMBL1614421,0.656,0.666,0.72,0.628,0.577,0.689,0.388
CHEMBL1614441,0.541,0.497,0.567,0.445,0.508,0.451,0.574
CHEMBL1614458,0.709,0.723,0.697,0.776,0.647,0.693,0.477
CHEMBL1614459,0.486,0.426,0.467,0.506,0.59,0.468,0.553
CHEMBL1614174,0.598,0.594,0.664,0.607,0.548,0.533,0.491
CHEMBL1614234,0.441,0.374,0.437,0.44,0.4,0.394,0.697
CHEMBL1614236,0.45,0.37,0.427,0.346,0.541,0.434,0.642
CHEMBL1614250,0.719,0.827,0.774,0.53,0.601,0.699,0.301
CHEMBL1614257,0.486,0.449,0.439,0.406,0.424,0.478,0.488
CHEMBL1614530,0.475,0.436,0.416,0.436,0.48,0.454,0.507
CHEMBL1614342,0.561,0.711,0.665,0.605,0.689,0.655,0.326
CHEMBL1614087,0.51,0.473,0.496,0.501,0.581,0.508,0.551
CHEMBL1614146,0.49,0.466,0.462,0.477,0.514,0.4,0.508
CHEMBL1614079,0.616,0.727,0.557,0.695,0.541,0.555,0.575
CHEMBL1040691,0.469,0.51,0.392,0.409,0.488,0.474,0.579
CHEMBL1040692,0.59,0.599,0.585,0.567,0.524,0.489,0.596
CHEMBL1614544,0.785,0.732,0.78,0.717,0.679,0.628,0.423
CHEMBL1613842,0.541,0.451,0.467,0.617,0.613,0.542,0.27
CHEMBL1614459,0.461,0.385,0.364,0.452,0.516,0.384,0.451
CHEMBL1614087,0.409,0.467,0.506,0.434,0.505,0.458,0.521
CHEMBL1614544,0.683,0.637,0.719,0.645,0.596,0.618,0.404
CHEMBL1613842,0.496,0.299,0.437,0.462,0.567,0.463,0.271
CHEMBL1741321,0.633,0.654,0.648,0.607,0.596,0.608,0.53
CHEMBL1741325,0.721,0.746,0.734,0.688,0.708,0.715,0.588
CHEMBL1741322,0.547,0.586,0.583,0.563,0.587,0.568,0.547
CHEMBL1741323,0.707,0.72,0.737,0.681,0.681,0.698,0.597
CHEMBL1741324,0.616,0.653,0.649,0.572,0.591,0.597,0.545
CHEMBL1794324,0.461,0.6,0.551,0.519,0.525,0.553,0.612
CHEMBL1794349,0.589,0.554,0.549,0.588,0.573,0.54,0.599
CHEMBL1963972,0.779,0.793,0.721,0.368,0.374,0.617,0.392
CHEMBL3214992,0.902,0.966,0.898,0.466,0.64,0.309,0.771
CHEMBL3215227,0.579,0.612,0.672,0.657,0.681,0.534,0.336
CHEMBL3561973,0.868,0.856,0.836,0.594,0.543,0.772,0.661
