,Task,Fold,Cel_counter_model
0,1,2.0,0.6739130434782609
1,10,2.0,0.5368421052631579
2,100,2.0,0.5104166666666666
3,101,2.0,0.3145161290322581
4,102,2.0,0.4222222222222222
5,103,2.0,0.46376811594202894
6,104,2.0,0.26315789473684215
7,105,2.0,0.39166666666666666
8,106,2.0,0.5
9,107,2.0,0.3655913978494624
10,108,2.0,0.47916666666666663
11,109,2.0,0.4684684684684684
12,11,2.0,0.71875
13,110,2.0,0.7777777777777778
14,111,2.0,0.5714285714285714
15,112,2.0,0.3709677419354839
16,113,2.0,0.640625
17,114,2.0,0.45161290322580644
18,115,2.0,0.40789473684210525
19,116,2.0,0.6666666666666667
20,117,2.0,0.5888888888888889
21,118,2.0,0.28571428571428575
22,119,2.0,0.16666666666666669
23,12,2.0,0.4683257918552036
24,120,2.0,0.6041666666666667
25,121,2.0,0.6666666666666667
26,122,2.0,0.41666666666666663
27,123,2.0,0.4166666666666667
28,124,2.0,0.3787878787878788
29,125,2.0,0.5
30,126,2.0,0.6
31,127,2.0,0.5480769230769231
32,128,2.0,0.5
33,129,2.0,0.5
34,13,2.0,0.5625
35,130,2.0,0.09999999999999998
36,131,2.0,0.44999999999999996
37,132,2.0,0.875
38,133,2.0,0.27999999999999997
39,134,2.0,0.6
40,135,2.0,0.5
41,136,2.0,0.33333333333333337
42,137,2.0,0.75
43,138,2.0,0.5
44,139,2.0,0.5
45,14,2.0,0.5714285714285714
46,140,2.0,0.4444444444444445
47,141,2.0,0.3333333333333333
48,142,2.0,0.6388888888888888
49,143,2.0,0.5
50,144,2.0,0.11111111111111112
51,145,2.0,0.6
52,146,2.0,0.19999999999999996
53,147,2.0,0.4732142857142857
54,148,2.0,0.65
55,149,2.0,0.5
56,15,2.0,0.575
57,150,2.0,0.3833333333333333
58,151,2.0,0.20721925133689842
59,152,2.0,0.4722222222222222
60,153,2.0,0.65
61,154,2.0,0.5452976704055219
62,155,2.0,0.4907575757575757
63,156,2.0,0.5892857142857143
64,157,2.0,0.4563390573620753
65,158,2.0,0.39609644087256024
66,159,2.0,0.6282926829268292
67,16,2.0,0.55
68,160,2.0,0.5
69,161,2.0,0.47422755361686664
70,162,2.0,0.5616391184573002
71,163,2.0,0.5120669965740389
72,164,2.0,0.6666666666666666
73,165,2.0,0.49401860877270715
74,166,2.0,0.5125000000000001
75,167,2.0,0.5098039215686274
76,168,2.0,0.5187376725838264
77,169,2.0,0.5789473684210527
78,17,2.0,0.5740740740740741
79,170,2.0,0.4285714285714286
80,171,2.0,0.4752838667627183
81,172,2.0,0.5007422068283028
82,173,2.0,0.725
83,174,2.0,0.6
84,175,2.0,0.6785714285714286
85,176,2.0,0.6767676767676767
86,177,2.0,0.6173913043478261
87,178,2.0,0.47185741088180105
88,179,2.0,0.34545454545454546
89,18,2.0,0.5054945054945055
90,180,2.0,0.500801282051282
91,181,2.0,0.27777777777777785
92,182,2.0,0.6107444077741108
93,183,2.0,0.5923344947735192
94,184,2.0,0.4137123745819398
95,185,2.0,0.6071428571428572
96,186,2.0,0.5416666666666666
97,187,2.0,0.6424778761061947
98,188,2.0,0.7777777777777778
99,189,2.0,0.5695187165775402
100,19,2.0,0.4444444444444444
101,190,2.0,0.5555555555555556
102,191,2.0,0.6412255879263404
103,192,2.0,0.6003683241252302
104,193,2.0,0.4222408026755852
105,194,2.0,0.5818181818181818
106,195,2.0,0.5
107,196,2.0,0.5394736842105263
108,197,2.0,0.5612244897959183
109,198,2.0,0.33052631578947367
110,199,2.0,0.5583333333333333
111,2,2.0,0.6851851851851851
112,20,2.0,0.7023809523809523
113,200,2.0,0.75
114,201,2.0,0.5877976190476191
115,202,2.0,0.5034965034965035
116,203,2.0,0.5902777777777778
117,204,2.0,0.5980861244019139
118,205,2.0,0.5559440559440559
119,206,2.0,0.5166666666666666
120,207,2.0,0.3333333333333333
121,208,2.0,0.546875
122,209,2.0,0.5176294073518379
123,21,2.0,0.42708333333333337
124,22,2.0,0.4642857142857143
125,23,2.0,0.4632352941176471
126,24,2.0,0.531578947368421
127,25,2.0,0.6140350877192983
128,26,2.0,0.4909090909090909
129,27,2.0,0.48412698412698413
130,28,2.0,0.7999999999999999
131,29,2.0,0.3913043478260869
132,3,2.0,0.3026315789473684
133,30,2.0,0.5636363636363636
134,31,2.0,0.5421568627450981
135,32,2.0,0.577977626672516
136,33,2.0,0.5634300595238094
137,34,2.0,0.5777925531914894
138,35,2.0,0.5026864388566517
139,36,2.0,0.5606060606060606
140,37,2.0,0.45333333333333337
141,38,2.0,0.375
142,39,2.0,0.13333333333333336
143,4,2.0,0.48958333333333337
144,40,2.0,0.40909090909090906
145,41,2.0,0.5476190476190477
146,42,2.0,0.5555555555555556
147,43,2.0,0.45355587808417996
148,44,2.0,0.58147512864494
149,45,2.0,0.48214285714285715
150,46,2.0,0.8333333333333334
