,Task,AUC
0,1,0.46135676492819355
1,10,0.45555555555555555
2,100,0.9392753623188406
3,101,0.9252167585500919
4,102,0.8697552447552447
5,103,0.8505494505494505
6,104,0.9266048372431351
7,105,0.9704574232352009
8,106,0.9049145299145299
9,107,0.9398946360153256
10,108,0.9416745805634695
11,109,0.8472134038800706
12,11,0.3856297348484849
13,110,0.9219696969696969
14,111,0.9636363636363637
15,112,0.9276851851851852
16,113,0.948063284233497
17,114,0.931938431938432
18,115,0.9305555555555555
19,116,0.562962962962963
20,117,0.43512043512043513
21,118,0.625
22,119,0.5833333333333334
23,12,0.5188562351391298
24,120,0.562962962962963
25,121,0.3194444444444444
26,122,0.6404761904761905
27,123,0.6157407407407408
28,124,0.46875
29,125,0.13402777777777777
30,126,0.30833333333333335
31,127,0.2412698412698413
32,128,0.25
33,129,0.37546296296296294
34,13,0.2796474358974359
35,130,0.3738095238095238
36,131,0.29797979797979796
37,132,0.7142857142857143
38,133,0.7305555555555555
39,134,0.8240740740740741
40,135,0.7083333333333333
41,136,0.5370370370370371
42,137,0.6
43,138,0.8837962962962963
44,139,0.7666666666666666
45,14,0.6867724867724867
46,140,0.5166666666666667
47,141,0.5777777777777778
48,142,0.7246913580246913
49,143,0.5518518518518519
50,144,0.6037037037037037
51,145,0.8240740740740741
52,146,0.8240740740740741
53,147,0.5521549763151236
54,148,0.583974358974359
55,149,0.6875
56,15,0.5556573056573056
57,150,0.5686922917315074
58,151,0.49206349206349204
59,152,0.5543650793650793
60,153,0.7222222222222222
61,154,0.42592669676003014
62,155,0.5297975206233025
63,156,0.7835124135124135
64,157,0.5082544896882486
65,158,0.5647771968869852
66,159,0.59234366592273
67,16,0.3832070707070707
68,160,0.6407407407407407
69,161,0.560138963712869
70,162,0.5092411815907308
71,163,0.4992961366322488
72,164,0.41786374768830914
73,165,0.5991159584909586
74,166,0.45092592592592595
75,167,0.7153477093316666
76,168,0.7047728116488771
77,169,0.5936996779388084
78,17,0.3609848484848485
79,170,0.7224206349206349
80,171,0.5596148439007028
81,172,0.7185149980930863
82,173,0.5628306878306878
83,174,0.6166559829059829
84,175,0.2496031746031746
85,176,0.6590277192499039
86,177,0.6380818822689768
87,178,0.46649837867434146
88,179,0.38840778608842835
89,18,0.5210565476190476
90,180,0.6102492182585488
91,181,0.5648148148148148
92,182,0.7490585506006703
93,183,0.7803201719555495
94,184,0.5257961580311196
95,185,0.43201754385964913
96,186,0.295600970870887
97,187,0.4666594124696828
98,188,0.3333333333333333
99,189,0.6570731707317073
100,19,0.5912698412698413
101,190,0.7027777777777778
102,191,0.5706915213043547
103,192,0.6207884310913953
104,193,0.5166562258361967
105,194,0.3760419271484538
106,195,0.5096296296296297
107,196,0.7307111733582322
108,197,0.31394675925925924
109,198,0.5316537438522534
110,199,0.6261355490387749
111,2,0.2913029326563161
112,20,0.49890335580872663
113,200,0.4444444444444445
114,201,0.48367387853933996
115,202,0.7410659833428713
116,203,0.40519434629777445
117,204,0.3566219842535632
118,205,0.6200103020673833
119,206,0.5045454545454545
120,207,0.65
121,208,0.6365546218487396
122,209,0.5886602941936986
123,21,0.27435897435897433
124,22,0.3833333333333333
125,23,0.6433239962651728
126,24,0.6817163228927935
127,25,0.48306878306878304
128,26,0.39083333333333337
129,27,0.5882948532948533
130,28,0.41572649572649567
131,29,0.4424242424242424
132,3,0.3940515350877193
133,30,0.31112637362637363
134,31,0.5665157430183861
135,32,0.43590728007158736
136,33,0.48976489474973617
137,34,0.4615735603936286
138,35,0.5115848874149559
139,36,0.4510708208648712
140,37,0.5908289241622575
141,38,0.6865842490842491
142,39,0.9444444444444445
143,4,0.27435897435897433
144,40,0.7357142857142858
145,41,0.7685990338164251
146,42,0.7068376068376069
147,43,0.6674079726323229
148,44,0.6854355518286308
149,45,0.5841269841269842
150,46,0.667989417989418
151,47,0.6437673437673438
152,48,0.6
153,49,0.6995726495726494
154,5,0.5555555555555555
155,50,0.6441595441595441
156,51,0.7168831168831168
157,52,0.8316689158794421
158,53,0.9624948328304983
159,54,0.9543701452212091
160,55,0.9709416863672183
161,56,0.9683412135539795
162,57,0.967962962962963
163,58,0.8895687645687645
164,59,0.9468253968253967
165,6,0.37479871175523355
166,60,0.9351190476190476
167,61,0.8797050328451294
168,62,0.9420396210163652
169,63,0.7950029137529137
170,64,0.9629198966408269
171,65,0.96
172,66,0.9318192918192918
173,67,0.9580202182859189
174,68,0.9312627775400562
175,69,0.9546997929606625
176,7,0.3666666666666667
177,70,0.9546997929606625
178,71,0.953718820861678
179,72,0.9219696969696969
180,73,0.9477094999782949
181,74,0.8849557785209959
182,75,0.9523246650906225
183,76,0.9483333333333333
184,77,0.9121693121693122
185,78,0.9245931165471396
186,79,0.9469809203142536
187,8,0.5712962962962963
188,80,0.9212962962962963
189,81,0.9401502952227591
190,82,0.9522095959595959
191,83,0.9782905982905983
192,84,0.8965596141838378
193,85,0.8898096275547256
194,86,0.9375042215467748
195,87,0.9404060926438036
196,88,0.9320987654320988
197,89,0.8319573944573945
198,9,0.4670836208879687
199,90,0.9264297643607988
200,91,0.9289772727272728
201,92,0.958840811965812
202,93,0.9531801146384481
203,94,0.8829989079989081
204,95,0.9390778776208816
205,96,0.9181818181818181
206,97,0.9351851851851851
207,98,0.9361823361823362
208,99,0.9244565217391305
