,Task,AUC
0,1,0.5555555555555556
1,10,0.4444444444444445
2,100,0.9666666666666667
3,101,0.9759615384615384
4,102,0.8461538461538463
5,103,0.9652777777777778
6,104,0.9855769230769231
7,105,0.9750000000000001
8,106,0.9583333333333334
9,107,0.9655172413793104
10,108,0.9999999999999999
11,109,0.9312169312169312
12,11,0.734375
13,110,0.9636363636363636
14,111,0.9666666666666667
15,112,0.9583333333333333
16,113,0.9444444444444444
17,114,0.9545454545454545
18,115,0.9666666666666667
19,116,0.0
20,117,0.2692307692307692
21,118,0.6458333333333333
22,119,0.5111111111111111
23,12,0.516025641025641
24,120,0.19999999999999998
25,121,0.6666666666666667
26,122,0.4011904761904762
27,123,0.5625
28,124,0.5625
29,125,0.6666666666666666
30,126,0.8125
31,127,0.3916666666666667
32,128,0.375
33,129,0.609375
34,13,0.546875
35,130,0.6428571428571428
36,131,0.8214285714285714
37,132,0.1294642857142857
38,133,0.4666666666666667
39,134,0.9166666666666667
40,135,0.8541666666666667
41,136,0.4375
42,137,0.75
43,138,0.625
44,139,0.6
45,14,0.4285714285714286
46,140,0.7500000000000001
47,141,0.575
48,142,0.6166666666666666
49,143,0.6666666666666667
50,144,0.7999999999999999
51,145,0.9166666666666667
52,146,0.9166666666666667
53,147,0.5866185897435898
54,148,0.75
55,149,0.6875
56,15,0.4230769230769231
57,150,0.5092592592592593
58,151,0.5535714285714286
59,152,0.5928571428571429
60,153,0.6
61,154,0.6143707482993197
62,155,0.506925074540733
63,156,0.7008547008547009
64,157,0.5297012505789717
65,158,0.5391865079365079
66,159,0.6598808341608738
67,16,0.3833333333333333
68,160,0.8111111111111111
69,161,0.5292652552926526
70,162,0.510958904109589
71,163,0.5470467339826647
72,164,0.562962962962963
73,165,0.5909090909090908
74,166,0.55
75,167,0.5267857142857143
76,168,0.625102993683054
77,169,0.5
78,17,0.40625
79,170,0.6666666666666667
80,171,0.538349302456228
81,172,0.7125723738626965
82,173,0.27083333333333337
83,174,0.4921875
84,175,0.5
85,176,0.6414782129067842
86,177,0.6060606060606061
87,178,0.4393548387096774
88,179,0.4590643274853802
89,18,0.471875
90,180,0.5847619047619048
91,181,0.6111111111111112
92,182,0.7854521187854522
93,183,0.7852639873916469
94,184,0.5525247175141244
95,185,0.7236842105263157
96,186,0.649056603773585
97,187,0.3157798833819242
98,188,0.5833333333333333
99,189,0.45325203252032525
100,19,0.7232142857142857
101,190,0.4375
102,191,0.5810810810810811
103,192,0.5317919075144509
104,193,0.5155325443786982
105,194,0.27906976744186046
106,195,0.33999999999999997
107,196,0.7226890756302521
108,197,0.4722222222222222
109,198,0.6273148148148149
110,199,0.6666666666666667
111,2,0.48181818181818187
112,20,0.4294117647058823
113,200,0.7500000000000001
114,201,0.5027056277056277
115,202,0.8233082706766917
116,203,0.4248599083036169
117,204,0.726388888888889
118,205,0.6894664842681258
119,206,0.45454545454545453
120,207,0.625
121,208,0.6944444444444444
122,209,0.7298199767711963
123,21,0.4711538461538461
124,22,0.4375
125,23,0.46078431372549017
126,24,0.46785714285714286
127,25,0.5873015873015872
128,26,0.5599999999999999
129,27,0.5340909090909091
130,28,0.4733333333333333
131,29,0.425
132,3,0.8093475877192983
133,30,0.4230769230769231
134,31,0.6113149847094801
135,32,0.5888062409288823
136,33,0.4716403162055336
137,34,0.5365296803652968
138,35,0.48967411898446384
139,36,0.5
140,37,0.6712962962962963
141,38,0.5
142,39,0.7916666666666666
143,4,0.4711538461538461
144,40,0.65
145,41,0.35714285714285715
146,42,0.537037037037037
147,43,0.6452762923351159
148,44,0.5659620991253644
149,45,0.6428571428571429
150,46,0.4107142857142857
151,47,0.6318681318681318
152,48,0.2
153,49,0.8625
154,5,0.45833333333333326
155,50,0.7307692307692307
156,51,0.5357142857142857
157,52,0.9578947368421052
158,53,0.9753086419753086
159,54,0.95
160,55,0.9787234042553192
161,56,0.9791666666666666
162,57,0.9866666666666666
163,58,0.9090909090909092
164,59,0.975
165,6,0.5054347826086956
166,60,0.90625
167,61,0.980952380952381
168,62,0.9440000000000001
169,63,0.8685897435897437
170,64,0.9479166666666667
171,65,0.9644444444444444
172,66,0.9603174603174603
173,67,0.9814814814814815
174,68,0.9305555555555556
175,69,0.9596273291925467
176,7,0.5833333333333334
177,70,0.95
178,71,0.9666666666666667
179,72,0.9270833333333334
180,73,0.9855072463768116
181,74,0.8974358974358974
182,75,0.8888888888888888
183,76,0.9750000000000001
184,77,0.9825396825396826
185,78,0.9740740740740741
186,79,0.9481481481481482
187,8,0.44999999999999996
188,80,1.0
189,81,0.9791666666666666
190,82,0.9675925925925927
191,83,0.9977777777777778
192,84,0.9722222222222222
193,85,0.9375
194,86,0.9821428571428571
195,87,0.9655172413793103
196,88,0.962962962962963
197,89,0.9487179487179487
198,9,0.2717391304347826
199,90,0.9682539682539683
200,91,0.9659090909090909
201,92,0.9743589743589743
202,93,0.953125
203,94,0.8800675675675675
204,95,0.9583333333333334
205,96,0.9090909090909091
206,97,1.0
207,98,0.9777777777777779
208,99,0.9258695652173914
