Fold,Task,AUC_ROC,AUC_PR,Test_Set_Length,Num_Actives,Num_Inactives
0,1_1,0.6428571428571429,0.1111111111111111,22,1,21
0,10_19,,,17,0,17
0,10_20,,,17,0,17
0,100_277,0.6875,0.25,9,1,8
0,100_278,0.6071428571428571,0.325,9,2,7
0,104_291,0.7692307692307692,0.75,16,3,13
0,105_355,,,16,0,16
0,105_369,0.7666666666666666,0.2,16,1,15
0,105_361,0.7666666666666666,0.2,16,1,15
0,105_378,0.7454545454545455,0.6833333333333333,16,5,11
0,105_352,0.6333333333333333,0.6408730158730158,16,6,10
0,104_289,0.7692307692307692,0.75,16,3,13
0,105_377,,,16,0,16
0,105_375,0.8392857142857143,0.3666666666666667,16,2,14
0,104_325,,,10,0,10
0,104_297,,,10,0,10
0,104_295,,,10,0,10
0,104_299,,,10,0,10
0,104_300,0.7619047619047619,0.6984126984126984,10,3,7
0,104_326,0.6190476190476191,0.5873015873015872,10,3,7
0,104_319,,,10,0,10
0,104_323,1.0,1.0,10,1,9
0,104_334,,,9,0,9
0,105_339,0.7545454545454545,0.7057142857142857,16,5,11
0,105_341,0.8020833333333333,0.7333333333333334,16,4,12
0,105_360,0.6636363636363636,0.5914285714285714,16,5,11
0,105_362,0.7166666666666667,0.7408730158730158,16,6,10
0,105_374,0.75,0.6952380952380952,16,6,10
0,105_382,0.6507936507936507,0.6673469387755102,16,7,9
0,105_385,0.875,0.5,9,1,8
0,105_391,0.875,0.5,9,1,8
0,106_392,0.0625,0.0625,17,1,16
0,108_394,0.6428571428571428,0.6428571428571428,9,2,7
0,109_395,0.1428571428571429,0.19642857142857142,9,2,7
0,11_21,0.35714285714285715,0.2777777777777778,9,2,7
0,11_22,0.35714285714285715,0.2777777777777778,9,2,7
0,110_396,,,6,0,6
0,110_397,0.5486111111111112,0.15433429118773945,40,4,36
0,110_398,0.23774509803921567,0.11257716049382716,40,6,34
0,110_399,0.7612612612612613,0.1736111111111111,40,3,37
0,110_400,0.8157894736842106,0.16666666666666666,40,2,38
0,110_401,0.5657142857142857,0.16083333333333333,40,5,35
0,111_402,0.9629629629629629,0.5833333333333333,29,2,27
0,112_406,0.375,0.16666666666666666,9,1,8
0,113_407,0.475,0.475,9,4,5
0,114_408,0.375,0.16666666666666666,9,1,8
0,115_409,,,13,0,13
0,116_411,0.45499999999999996,0.15598135806046554,29,4,25
0,116_412,0.22321428571428573,0.06274509803921569,30,2,28
0,116_413,,,16,0,16
0,116_414,,,16,0,16
0,116_415,0.65,0.6644444444444445,11,5,6
0,116_416,0.32500000000000007,0.1736111111111111,12,2,10
0,116_420,,,17,0,17
0,116_421,0.6428571428571428,0.26666666666666666,16,2,14
0,116_424,0.5740740740740741,0.1986161986161986,21,3,18
0,116_425,0.875,0.3333333333333333,17,1,16
0,116_426,0.5267857142857142,0.2037037037037037,30,2,28
0,116_427,0.5253623188405797,0.23371881668027714,29,6,23
0,117_429,0.7276785714285714,0.5803030303030303,23,7,16
0,117_430,0.7666666666666666,0.31313131313131315,23,3,20
0,118_432,0.9642857142857143,0.8333333333333333,16,2,14
0,118_434,0.8333333333333334,0.8055555555555556,7,3,4
0,12_23,0.9437500000000001,0.9293650793650794,18,8,10
0,13_24,0.9437500000000001,0.9293650793650794,18,8,10
0,133_474,,,10,0,10
0,134_476,,,7,0,7
0,134_477,,,10,0,10
0,135_479,,,7,0,7
0,14_25,1.0,1.0,18,5,13
0,143_495,0.6428571428571429,0.2777777777777778,17,3,14
0,145_497,0.6666666666666667,0.3333333333333333,11,2,9
0,15_26,0.8823529411764706,0.3333333333333333,18,1,17
0,153_510,0.9,0.5,11,1,10
0,154_511,0.8888888888888888,0.5,10,1,9
0,16_27,0.9076923076923078,0.8600000000000001,18,5,13
0,160_519,,,41,0,41
0,167_539,0.6,0.2,11,1,10
0,167_538,0.6,0.2,11,1,10
0,168_541,0.888888888888889,0.6666666666666666,20,2,18
0,168_542,0.8571428571428571,0.3333333333333333,15,1,14
0,168_543,0.7307692307692307,0.29166666666666663,15,2,13
0,169_544,0.8125,0.3611111111111111,22,2,20
0,169_545,0.7619047619047619,0.16666666666666666,22,1,21
0,169_548,0.625,0.16666666666666666,22,2,20
0,169_549,0.828125,0.5537037037037037,22,6,16
0,17_28,,,16,0,16
0,170_550,0.75,0.29166666666666663,17,2,15
0,170_551,0.0,0.058823529411764705,17,1,16
0,174_555,0.7,0.14285714285714285,21,1,20
0,175_559,0.75,0.3333333333333333,9,1,8
0,175_561,0.75,0.3333333333333333,9,1,8
0,177_585,0.3338607594936709,0.007312735573605138,318,2,316
0,178_591,,,18,0,18
0,178_684,0.6701859439016703,0.4600416070174284,186,19,167
0,179_659,0.7237136465324385,0.022458017023234415,301,3,298
0,18_29,0.8303571428571428,0.5111111111111111,18,4,14
0,180_686,0.7680102915951972,0.37080507294037957,117,11,106
0,181_599,0.16666666666666663,0.09090909090909091,13,1,12
0,181_600,0.16666666666666663,0.09090909090909091,13,1,12
0,183_604,0.692391304347826,0.4620158683975838,148,10,138
0,184_606,0.774825550187869,0.506258239560524,185,23,162
0,185_665,0.5754414125200642,0.14838249478940813,185,7,178
0,185_666,0.5603813559322034,0.13942834467321125,185,8,177
0,185_667,,,185,0,185
0,186_668,0.9339539007092198,0.7074999999999999,194,6,188
0,186_669,0.8592105263157894,0.6122967479674797,194,4,190
0,187_618,,,215,0,215
0,187_619,,,46,0,46
0,19_30,0.9791666666666666,0.95,16,4,12
0,190_628,0.4318532818532818,0.13096807738570215,269,10,259
0,190_629,0.47316919191919193,0.030253679933392313,270,6,264
0,190_674,0.3859477124183006,0.02937333576719766,261,6,255
0,191_630,0.5084269662921348,0.027391246410965683,546,12,534
0,191_631,0.4761194029850747,0.02074468552137624,546,10,536
0,191_675,0.5,0.009174311926605505,203,1,202
0,192_635,0.9111111111111111,0.8095238095238095,18,3,15
0,193_723,0.7390909090909091,0.17293830288369877,175,10,165
0,194_639,0.4646746011648519,0.029507201313304875,370,11,359
0,194_678,0.6953216374269006,0.026205373573794627,288,3,285
0,195_642,0.48737794713026916,0.08938047214749792,349,26,323
0,196_644,0.6751937984496124,0.0047169811320754715,646,1,645
0,197_645,0.5886948529411764,0.13759122802839374,145,17,128
0,197_646,0.5674019607843137,0.07534341000253686,145,9,136
0,197_647,0.6388888888888888,0.29365079365079366,22,4,18
0,197_648,0.9047619047619048,0.3333333333333333,22,1,21
0,197_649,0.547137458006719,0.1507124647989883,351,47,304
0,197_650,0.4925226586102719,0.05628505811954789,351,20,331
0,197_651,0.5306763285024155,0.03130435255649032,351,6,345
0,198_682,0.7778552414754721,0.28876257113052295,366,23,343
0,199_657,0.6152506963788301,0.11852838007953898,375,16,359
0,200_658,,,3,0,3
0,201_660,0.9850746268656716,0.5,68,1,67
0,202_661,0.9678871548619448,0.6279561426530196,483,7,476
0,203_662,0.6743659420289855,0.018785142651817147,371,3,368
0,204_663,0.6702702702702703,0.008,371,1,370
0,205_664,0.6459195402298848,0.2735932018854622,495,60,435
0,206_670,0.5920726672171759,0.05650538136025378,353,7,346
0,206_671,0.6154692082111437,0.0816065509882311,353,12,341
0,207_672,0.5641456582633053,0.07509198079928961,437,17,420
0,208_673,0.600587084148728,0.04326987981488549,372,7,365
0,209_676,0.4524291497975709,0.0033112582781456954,495,1,494
0,21_32,,,13,0,13
0,210_677,0.43432400932400933,0.015833378218450433,727,12,715
0,212_680,0.4653333333333334,0.008550947260624681,377,2,375
0,213_681,0.4465358784022623,0.07845794434470904,269,23,246
0,214_683,0.5314245810055865,0.015874363327674022,362,4,358
0,215_685,0.7304953231292517,0.47705161352181463,416,24,392
0,216_687,0.4578666666666667,0.017582678139532116,380,5,375
0,217_688,0.6350899651518384,0.2167410539368146,370,43,327
0,217_689,0.7811188811188812,0.2540510523746979,301,15,286
0,219_691,0.45687331536388137,0.01174246394530544,375,4,371
0,220_692,0.5419569937775472,0.02775344589686827,2260,56,2204
0,221_693,0.6019211403569692,0.05261275365512651,3069,77,2992
0,223_695,0.5981675392670157,0.011773940345368918,384,2,382
0,224_696,0.5145801910507792,0.03925667231963102,485,17,468
0,225_697,0.5146780303030303,0.012566137566137567,355,3,352
0,227_699,0.6686337625178828,0.045637408178465066,472,6,466
0,228_700,0.4585755813953489,0.1296216205623429,145,16,129
0,229_701,0.5391002816602009,0.12773117498499872,669,62,607
0,23_34,0.16666666666666663,0.09090909090909091,13,1,12
0,230_702,0.6741573033707865,0.18760071211555482,366,10,356
0,231_703,0.6017980714690868,0.08011684388551978,1813,50,1763
0,232_704,0.7166128419452887,0.24438642003111347,361,32,329
0,232_705,0.6733071135430917,0.18156778333623225,361,17,344
0,233_706,0.6355065251050652,0.06155625368436827,2921,44,2877
0,234_707,0.5537627978183906,0.045496015205584946,3084,98,2986
0,235_708,0.6176260202147369,0.06028280725841331,2040,71,1969
0,236_709,0.6593470982142857,0.22552434080282976,488,40,448
0,237_710,0.4929102742910274,0.020734362948766925,487,9,478
0,237_711,0.7085561497326203,0.017857142857142856,188,1,187
0,238_712,0.5906811555980069,0.057222324802463365,2753,106,2647
0,239_713,0.4814465876597081,0.02492159743849817,2857,43,2814
0,24_35,,,13,0,13
0,240_714,0.6542885356253737,0.06803518344502543,2771,108,2663
0,241_715,0.45146936396936393,0.03834846407752272,2902,130,2772
0,242_716,0.539382547846122,0.022049549472049613,2910,49,2861
0,243_717,0.5127319517811187,0.010012122039562187,2912,23,2889
0,244_718,0.49403966808338395,0.007710766484037221,2763,18,2745
0,245_719,0.6036739380022963,0.15754218767683775,361,26,335
0,246_720,0.6439584877687177,0.021267862024884888,2718,20,2698
0,247_721,0.48880500709769004,0.009445774763338959,2607,24,2583
0,248_722,0.5006980056980057,0.025650036210034227,2654,54,2600
0,249_724,0.509958364202746,0.03396662584811025,2740,87,2653
0,25_36,,,13,0,13
0,250_725,,,613,0,613
0,250_726,0.7904351395730707,0.047828353210612747,613,4,609
0,251_727,0.5172243423742674,0.00444252064040076,2679,11,2668
0,253_729,0.6592492872980678,0.1452902777856165,309,22,287
