,Task,AUC
0,100_277,0.8141666666666666
1,100_278,0.7253968253968254
2,104_289,0.8256410256410256
3,104_291,0.8673076923076923
4,104_295,0.8571428571428572
5,104_297,0.75
6,104_299,0.9375
7,104_300,0.8154761904761905
8,104_319,0.8571428571428572
9,104_323,0.9857142857142858
10,104_325,0.8472222222222223
11,104_326,0.8095238095238095
12,104_334,0.8571428571428572
13,105_339,0.8059090909090909
14,105_341,0.8350320512820513
15,105_352,0.6666666666666666
16,105_355,0.8260073260073261
17,105_360,0.7575757575757576
18,105_361,0.8013431013431013
19,105_362,0.8071428571428572
20,105_369,0.68125
21,105_374,0.8208333333333333
22,105_375,0.7619963369963371
23,105_377,0.625
24,105_378,0.7077922077922078
25,105_382,0.7368253968253968
26,105_385,0.8366402116402116
27,105_391,0.9107142857142857
28,106_392,0.1298076923076923
29,108_394,0.5482142857142858
30,109_395,0.40654761904761905
31,10_19,0.7380952380952381
32,10_20,0.5384615384615384
33,110_396,1.0
34,110_397,0.4318414224664225
35,110_398,0.4870574106835717
36,110_399,0.5987437482546097
37,110_400,0.7028822055137844
38,110_401,0.5984052739375321
39,111_402,0.8675925925925926
40,112_406,0.4583333333333333
41,113_407,0.86875
42,114_408,0.4375
43,115_409,0.8333333333333334
44,116_411,0.43183870967741933
45,116_412,0.4116883116883117
46,116_413,0.25
47,116_414,0.0
48,116_415,0.5499999999999999
49,116_416,0.370959595959596
50,116_420,0.39117647058823524
51,116_421,0.317989417989418
52,116_424,0.7746913580246914
53,116_425,0.5614035087719298
54,116_426,0.47446004717676543
55,116_427,0.5751246416265552
56,117_429,0.7857261904761905
57,117_430,0.7806390977443609
58,118_432,0.8122315592903828
59,118_434,0.5857142857142857
60,11_21,0.4285714285714286
61,11_22,0.4801587301587302
62,12_23,0.7016071428571429
63,133_474,0.75
64,134_476,1.0
65,134_477,0.5833333333333333
66,135_479,0.6666666666666667
67,13_24,0.6982738095238096
68,143_495,0.6385714285714286
69,145_497,0.7083333333333334
70,14_25,0.7595238095238095
71,153_510,0.8500000000000001
72,154_511,0.8888888888888888
73,15_26,0.9607843137254902
74,160_519,0.4285714285714286
75,167_538,0.7530303030303029
76,167_539,0.7530303030303029
77,168_541,0.7152777777777778
78,168_542,0.6065132783882784
79,168_543,0.7163461538461537
80,169_544,0.7692307692307693
81,169_545,0.7373015873015872
82,169_548,0.5595238095238095
83,169_549,0.8604821428571429
84,16_27,0.6492715617715618
85,170_550,0.6125
86,170_551,0.5
87,174_555,0.775
88,175_559,0.75
89,175_561,0.75
90,177_585,0.4410983840716053
91,178_591,0.7777777777777778
92,178_684,0.6546100287595668
93,179_659,0.6182548816055581
94,17_28,0.8333333333333334
95,180_686,0.6616676107565468
96,181_599,0.2722222222222222
97,181_600,0.16666666666666663
98,183_604,0.6697072227635156
99,184_606,0.7837397796996675
100,185_665,0.44273618804473386
101,185_666,0.5346449294678732
102,185_667,0.9908675799086758
103,186_668,0.70594366948557
104,186_669,0.6542257858120839
105,187_618,0.5228696758200154
106,187_619,0.7355747322852586
107,18_29,0.9159226190476191
108,190_628,0.5679243501637323
109,190_629,0.584991094893631
110,190_674,0.5037594026747281
111,191_630,0.4895926234452638
