,Task,Fold,AUC_ROC,AUC_PR,Test_Set_Length,Num_Actives,Num_Inactives
0,100_277,2.0,0.8,0.7222222222222222,9.0,1.0,8.0
1,100_278,2.0,0.8333333333333334,0.9166666666666666,9.0,3.0,7.0
2,104_289,2.0,0.8012820512820513,0.625,9.0,2.0,6.0
3,104_291,2.0,0.8846153846153846,0.875,9.0,2.0,6.0
4,104_295,2.0,0.8571428571428572,0.5,8.0,0.0,7.0
5,104_297,2.0,0.75,0.5416666666666666,8.0,0.0,6.0
6,104_299,2.0,1.0,1.0,8.0,1.0,5.0
7,104_300,2.0,0.8809523809523809,0.8492063492063492,4.0,1.0,3.0
8,104_319,2.0,0.8571428571428572,0.5,8.0,0.0,7.0
9,104_323,2.0,1.0,1.0,8.0,2.0,5.0
10,104_325,2.0,0.875,0.5,8.0,1.0,5.0
11,104_326,2.0,0.8095238095238095,0.7936507936507936,4.0,0.0,3.0
12,104_334,2.0,0.8571428571428572,0.5,8.0,0.0,7.0
13,105_339,2.0,0.7545454545454545,0.7057142857142857,9.0,2.0,6.0
14,105_341,2.0,0.8020833333333333,0.7333333333333334,9.0,3.0,5.0
15,105_352,2.0,0.7,0.6388888888888888,9.0,2.0,6.0
16,105_355,2.0,0.8333333333333334,0.5,9.0,1.0,7.0
17,105_360,2.0,0.7666666666666666,0.5457142857142857,9.0,2.0,6.0
18,105_361,2.0,0.7666666666666666,0.4166666666666666,9.0,1.0,7.0
19,105_362,2.0,0.7857142857142857,0.5,9.0,2.0,7.0
20,105_369,2.0,0.6958333333333333,0.25,9.0,1.0,8.0
21,105_374,2.0,0.7916666666666667,0.667063492063492,9.0,2.0,6.0
22,105_375,2.0,0.8333333333333334,0.4166666666666666,9.0,1.0,7.0
23,105_377,2.0,0.625,0.25,9.0,0.0,8.0
24,105_378,2.0,0.7227272727272727,0.5833333333333333,9.0,2.0,7.0
25,105_382,2.0,0.7,0.6388888888888888,9.0,2.0,6.0
26,105_385,2.0,0.8571428571428572,0.5,8.0,1.0,7.0
27,105_391,2.0,0.875,0.5,8.0,1.0,7.0
28,106_392,2.0,0.0625,0.1428571428571428,15.0,1.0,13.0
29,108_394,2.0,0.6964285714285714,0.5,6.0,1.0,5.0
30,109_395,2.0,0.3666666666666667,0.2676767676767676,6.0,1.0,5.0
31,10_19,2.0,0.7380952380952381,0.24999999999999994,17.0,0.0,17.0
32,10_20,2.0,0.5384615384615384,0.1714285714285714,15.0,0.0,13.0
33,110_396,2.0,1.0,1.0,4.0,0.0,4.0
34,110_397,2.0,0.5326388888888889,0.12925047892720298,32.0,2.0,30.0
35,110_398,2.0,0.5460317460317461,0.11650337966127436,33.0,3.0,30.0
36,110_399,2.0,0.6341463414634146,0.1477124183006536,35.0,2.0,34.0
37,110_400,2.0,0.65,0.1339285714285714,33.0,1.0,33.0
38,110_401,2.0,0.5657142857142857,0.1656611362493715,32.0,4.0,31.0
39,111_402,2.0,0.9629629629629628,0.8303571428571428,19.0,2.0,18.0
40,112_406,2.0,0.375,0.3333333333333333,5.0,1.0,4.0
41,113_407,2.0,1.0,1.0,5.0,1.0,4.0
42,114_408,2.0,0.4375,0.3333333333333333,5.0,0.0,5.0
43,115_409,2.0,0.8333333333333334,0.5,10.0,0.0,10.0
44,116_411,2.0,0.4549999999999999,0.1559813580604655,25.0,2.0,20.0
45,116_412,2.0,0.3977272727272727,0.0982142857142857,24.0,2.0,22.0
46,116_413,2.0,0.25,0.33333333333333326,10.0,0.0,8.0
47,116_414,2.0,0.0,0.0666666666666666,10.0,0.0,10.0
48,116_415,2.0,0.65,0.6644444444444445,6.0,1.0,6.0
49,116_416,2.0,0.3333333333333333,0.3269230769230769,11.0,1.0,10.0
50,116_420,2.0,0.3235294117647058,0.1111111111111111,17.0,1.0,17.0
51,116_421,2.0,0.3111111111111111,0.1592592592592592,16.0,1.0,14.0
52,116_424,2.0,0.75,0.2,17.0,1.0,16.0
53,116_425,2.0,0.625,0.25,17.0,1.0,16.0
54,116_426,2.0,0.5294117647058824,0.1752450980392156,24.0,3.0,21.0
55,116_427,2.0,0.4913793103448276,0.2337188166802771,25.0,4.0,20.0
56,117_429,2.0,0.7276785714285714,0.625,20.0,2.0,15.0
57,117_430,2.0,0.7517543859649123,0.3232323232323232,20.0,1.0,19.0
58,118_432,2.0,0.7867647058823529,0.6840277777777777,18.0,2.0,15.0
59,118_434,2.0,0.5,0.8055555555555556,7.0,2.0,4.0
60,11_21,2.0,0.42857142857142855,0.3888888888888889,5.0,0.0,5.0
61,11_22,2.0,0.3571428571428571,0.3333333333333333,5.0,1.0,4.0
62,12_23,2.0,0.6,0.5317460317460317,14.0,3.0,9.0
63,133_474,2.0,0.75,0.5,8.0,0.0,8.0
64,134_476,2.0,1.0,1.0,2.0,0.0,2.0
65,134_477,2.0,0.5833333333333333,0.3125,8.0,0.0,8.0
66,135_479,2.0,0.6666666666666667,0.3333333333333333,2.0,0.0,2.0
67,13_24,2.0,0.5833333333333334,0.5333333333333333,14.0,3.0,9.0
68,143_495,2.0,0.6428571428571429,0.3058333333333333,17.0,3.0,14.0
69,145_497,2.0,0.7083333333333334,0.45833333333333326,6.0,0.0,5.0
70,14_25,2.0,0.8333333333333334,0.5317460317460317,14.0,3.0,9.0
71,153_510,2.0,0.8500000000000001,0.41666666666666663,11.0,0.0,10.0
72,154_511,2.0,0.8888888888888888,0.5,10.0,1.0,9.0
73,15_26,2.0,1.0,1.0,14.0,1.0,12.0
74,160_519,2.0,0.4285714285714286,0.0588235294117647,41.0,0.0,41.0
75,167_538,2.0,0.75,0.5,10.0,1.0,8.0
76,167_539,2.0,0.75,0.5,10.0,1.0,8.0
77,168_541,2.0,0.7152777777777778,0.4047619047619047,20.0,0.0,18.0
78,168_542,2.0,0.5448717948717949,0.25595238095238093,15.0,1.0,13.0
79,168_543,2.0,0.7243589743589742,0.41567460317460314,15.0,2.0,13.0
80,169_544,2.0,0.75,0.3611111111111111,16.0,2.0,13.0
81,169_545,2.0,0.7619047619047619,0.2575757575757575,16.0,1.0,14.0
82,169_548,2.0,0.625,0.2,16.0,1.0,14.0
83,169_549,2.0,0.8571428571428572,0.8083333333333333,16.0,5.0,7.0
84,16_27,2.0,0.8288461538461539,0.8633333333333334,14.0,3.0,11.0
85,170_550,2.0,0.725,0.27083333333333326,11.0,1.0,10.0
86,170_551,2.0,0.5,0.5294117647058824,11.0,0.0,11.0
87,174_555,2.0,0.7,0.25,21.0,1.0,20.0
88,175_559,2.0,0.75,0.3333333333333333,5.0,0.0,5.0
89,175_561,2.0,0.75,0.3333333333333333,5.0,0.0,5.0
90,177_585,2.0,0.41947645784081955,0.0124525209545731,318.0,2.0,316.0
91,178_591,2.0,0.7777777777777778,0.3333333333333333,16.0,0.0,15.0
92,178_684,2.0,0.6364155251141552,0.3092986694253283,186.0,12.0,167.0
93,179_659,2.0,0.6696787148594379,0.0175492610837438,301.0,2.0,298.0
94,17_28,2.0,0.8333333333333334,0.5,10.0,0.0,10.0
95,180_686,2.0,0.6823529411764706,0.2188691148172513,117.0,11.0,106.0
96,181_599,2.0,0.25,0.25,7.0,1.0,7.0
97,181_600,2.0,0.1666666666666666,0.0909090909090909,7.0,0.0,7.0
98,183_604,2.0,0.6513994910941475,0.2896193182938283,148.0,9.0,138.0
99,184_606,2.0,0.801470588235294,0.506258239560524,185.0,13.0,162.0
100,185_665,2.0,0.5754414125200642,0.06948472830844,185.0,6.0,178.0
101,185_666,2.0,0.5603813559322034,0.1210032311989683,185.0,8.0,177.0
102,185_667,2.0,0.9908675799086758,0.3333333333333333,185.0,0.0,185.0
103,186_668,2.0,0.712755356253114,0.4191002247732608,194.0,6.0,188.0
104,186_669,2.0,0.8592105263157894,0.162037037037037,194.0,1.0,190.0
105,187_618,2.0,0.5427480916030535,0.0604831486384884,227.0,2.0,224.0
106,187_619,2.0,0.9128787878787878,0.39166666666666666,26.0,1.0,24.0
107,18_29,2.0,0.9166666666666667,0.7555555555555555,14.0,2.0,9.0
108,190_628,2.0,0.4911634756995582,0.0408481896478926,269.0,8.0,259.0
109,190_629,2.0,0.5505102040816326,0.0466809022658328,270.0,5.0,264.0
110,190_674,2.0,0.4647945205479452,0.0293733357671976,261.0,6.0,255.0
111,191_630,2.0,0.5084269662921348,0.0179223096834948,546.0,9.0,534.0
112,191_631,2.0,0.4761194029850747,0.0207446855213762,546.0,8.0,536.0
113,191_675,2.0,0.43,0.0135965650147264,203.0,2.0,202.0
114,192_635,2.0,0.9,0.6547619047619048,16.0,1.0,15.0
115,193_723,2.0,0.5840336134453782,0.1456635693008936,175.0,11.0,165.0
116,194_639,2.0,0.5514409221902018,0.0444056479075969,363.0,11.0,348.0
117,194_678,2.0,0.6284722222222222,0.0262053735737946,288.0,3.0,285.0
118,195_642,2.0,0.5516875602700096,0.1998072598671815,349.0,25.0,323.0
119,196_644,2.0,0.6353677621283256,0.0063213102686786,643.0,3.0,639.0
120,197_645,2.0,0.5063657407407407,0.1424368604384271,145.0,17.0,128.0
121,197_646,2.0,0.5746835443037975,0.0744045060534422,145.0,5.0,136.0
122,197_647,2.0,0.6388888888888888,0.2936507936507936,17.0,2.0,15.0
123,197_648,2.0,0.9047619047619048,0.3333333333333333,17.0,1.0,16.0
124,197_649,2.0,0.547137458006719,0.1507124647989883,346.0,47.0,304.0
125,197_650,2.0,0.5711929631665751,0.1034641919778455,346.0,20.0,331.0
126,197_651,2.0,0.7841691248770895,0.081242532855436,346.0,4.0,343.0
127,198_682,2.0,0.7778552414754721,0.2574685550742234,345.0,23.0,322.0
128,199_657,2.0,0.552832674571805,0.1185283800795389,368.0,11.0,359.0
129,19_30,2.0,0.9895833333333333,0.975,10.0,2.0,8.0
130,1_1,2.0,0.8214285714285714,0.5555555555555556,22.0,0.0,21.0
131,200_658,2.0,1.0,1.0,3.0,0.0,3.0
132,201_660,2.0,0.9350228658536586,0.5287698412698412,59.0,2.0,57.0
133,202_661,2.0,0.8510610766045549,0.4382771904135932,483.0,8.0,476.0
134,203_662,2.0,0.6743659420289855,0.0187851426518171,363.0,3.0,363.0
135,204_663,2.0,0.6283538552879526,0.03614841803058305,357.0,1.0,353.0
136,205_664,2.0,0.5918192918192918,0.1448756005395108,495.0,44.0,435.0
137,206_670,2.0,0.5481150793650794,0.0311910165214334,353.0,7.0,346.0
138,206_671,2.0,0.4809523809523809,0.0281693754054445,353.0,10.0,341.0
139,207_672,2.0,0.5242868999257415,0.0750919807992896,413.0,17.0,396.0
140,208_673,2.0,0.6560374149659863,0.0432698798148854,366.0,7.0,361.0
141,209_676,2.0,0.4871031746031746,0.0063694267515923,495.0,2.0,494.0
142,210_677,2.0,0.495596020445418,0.0245234005706245,700.0,23.0,684.0
143,212_680,2.0,0.5280898876404494,0.0085509472606246,375.0,2.0,373.0
144,213_681,2.0,0.4872036920495071,0.078457944344709,269.0,21.0,246.0
145,214_683,2.0,0.3948618307426598,0.015874363327674,362.0,6.0,357.0
146,215_685,2.0,0.7903785488958991,0.4661967887645186,391.0,23.0,368.0
147,216_687,2.0,0.4664632615057196,0.01848363356151685,377.0,5.0,372.0
148,217_688,2.0,0.6175557179393497,0.1714584382820656,356.0,34.0,324.0
149,217_689,2.0,0.5982712765957446,0.0802552584277627,301.0,14.0,286.0
150,219_691,2.0,0.4578488372093023,0.0303624716509942,366.0,6.0,360.0
151,21_32,2.0,0.1666666666666666,0.1666666666666666,7.0,0.0,7.0
152,220_692,2.0,0.5419569937775472,0.035629181401889,2214.0,56.0,2161.0
153,221_693,2.0,0.6180114772628468,0.0697869834137007,3069.0,77.0,2981.0
154,223_695,2.0,0.5981675392670157,0.0265192114677246,382.0,8.0,374.0
155,224_696,2.0,0.5767486601621549,0.0581486470175908,454.0,19.0,428.0
156,225_697,2.0,0.6744186046511628,0.0405299220517978,355.0,3.0,352.0
157,227_699,2.0,0.5408163265306123,0.0421638107833553,451.0,5.0,446.0
158,228_700,2.0,0.5862179487179486,0.1296216205623429,145.0,12.0,131.0
159,229_701,2.0,0.5366305455219043,0.1277311749849987,669.0,61.0,607.0
160,230_702,2.0,0.5573529411764706,0.0351371051146516,360.0,8.0,352.0
161,231_703,2.0,0.5839538421505635,0.1034923775609826,1779.0,54.0,1711.0
162,232_704,2.0,0.6961005478569127,0.3082258300590579,350.0,31.0,321.0
163,232_705,2.0,0.6733071135430917,0.1815677833362322,350.0,14.0,333.0
164,233_706,2.0,0.607331927851956,0.028839590107921,2887.0,31.0,2861.0
165,234_707,2.0,0.5572024593763725,0.0436038857574736,3084.0,99.0,2981.0
166,235_708,2.0,0.6552829989844993,0.0827622454485417,2052.0,87.0,1969.0
167,236_709,2.0,0.6685835351089588,0.2523118214652746,457.0,40.0,413.0
168,237_710,2.0,0.6279481132075472,0.0398546978142386,458.0,8.0,451.0
169,237_711,2.0,0.6716820987654322,0.0189285714285714,163.0,1.0,162.0
170,238_712,2.0,0.5825186889016677,0.0572223248024633,2688.0,103.0,2585.0
171,239_713,2.0,0.5300114340735391,0.0170920091279797,2839.0,37.0,2802.0
172,23_34,2.0,0.3333333333333333,0.225,7.0,1.0,6.0
173,240_714,2.0,0.6542885356253737,0.0680351834450254,2664.0,108.0,2566.0
174,241_715,2.0,0.49984398197417,0.0449343805159588,2871.0,130.0,2751.0
175,242_716,2.0,0.517078265960561,0.0217975261035378,2889.0,53.0,2836.0
176,243_717,2.0,0.4607689003436426,0.012048870695314,2886.0,34.0,2859.0
177,244_718,2.0,0.4940396680833839,0.0077107664840372,2658.0,18.0,2651.0
178,245_719,2.0,0.5504493464052288,0.1575421876768377,346.0,26.0,321.0
179,246_720,2.0,0.6310073683052898,0.0165150575975346,2634.0,19.0,2619.0
180,247_721,2.0,0.5349031162604874,0.0178129757414726,2593.0,33.0,2553.0
181,248_722,2.0,0.5100967321571772,0.0310340703131579,2583.0,80.0,2501.0
182,249_724,2.0,0.5179981434155976,0.0501103187645728,2640.0,120.0,2527.0
183,24_35,2.0,0.8,0.5833333333333333,7.0,2.0,7.0
184,250_725,2.0,0.8179356257168036,0.0882975549079201,613.0,4.0,613.0
185,250_726,2.0,0.8136022514071295,0.0945377874862594,613.0,9.0,609.0
186,251_727,2.0,0.6492877528076006,0.0334973781356175,2642.0,15.0,2611.0
