,Task,AUC
0,100_277,0.75
1,100_278,0.7916666666666667
2,104_289,0.6339743589743589
3,104_291,0.625
4,104_295,0.4285714285714286
5,104_297,0.625
6,104_299,0.71875
7,104_300,0.7261904761904763
8,104_319,0.7142857142857142
9,104_323,1.0
10,104_325,0.75
11,104_326,0.7261904761904763
12,104_334,0.8571428571428571
13,105_339,0.6458333333333334
14,105_341,0.5
15,105_352,0.7166666666666666
16,105_355,0.8397435897435898
17,105_360,0.5454545454545454
18,105_361,0.8461538461538461
19,105_362,0.6333333333333333
20,105_369,0.5750000000000001
21,105_374,0.6333333333333333
22,105_375,0.4285714285714286
23,105_377,1.0
24,105_378,0.5909090909090909
25,105_382,0.6349206349206349
26,105_385,0.5714285714285714
27,105_391,0.8125
28,106_392,0.2692307692307693
29,108_394,0.5035714285714286
30,109_395,0.6339285714285714
31,10_19,0.42857142857142855
32,10_20,0.4278846153846154
33,110_396,0.375
34,110_397,0.6846726190476191
35,110_398,0.5201754385964912
36,110_399,0.4189189189189189
37,110_400,0.3815789473684211
38,110_401,0.6249999999999999
39,111_402,0.9375
40,112_406,0.25
41,113_407,0.875
42,114_408,0.625
43,115_409,0.6666666666666666
44,116_411,0.42000000000000004
45,116_412,0.5
46,116_413,0.31473214285714285
47,116_414,0.2857142857142857
48,116_415,0.5
49,116_416,0.7045454545454545
50,116_420,0.425
51,116_421,0.5
52,116_424,0.5462962962962963
53,116_425,0.4736842105263158
54,116_426,0.2541666666666667
55,116_427,0.6268115942028986
56,117_429,0.7678571428571428
57,117_430,0.7199561403508772
58,118_432,0.7037698412698412
59,118_434,0.6071428571428571
60,11_21,0.5
61,11_22,0.8333333333333334
62,12_23,0.8035714285714286
63,133_474,0.875
64,134_476,1.0
65,134_477,0.6666666666666667
66,135_479,0.8333333333333334
67,13_24,0.625
68,143_495,0.6785714285714285
69,145_497,0.5486111111111112
70,14_25,0.9538461538461539
71,153_510,0.7
72,154_511,1.0
73,15_26,0.625
74,160_519,0.48214285714285715
75,167_538,0.71875
76,167_539,0.71875
77,168_541,0.6319444444444444
78,168_542,0.48214285714285715
79,168_543,0.532051282051282
80,169_544,0.725
81,169_545,0.6666666666666667
82,169_548,0.5892857142857143
83,169_549,0.753968253968254
84,16_27,0.7712121212121212
85,170_550,0.6833333333333333
86,170_551,0.5379464285714286
87,174_555,0.6875
88,175_559,0.625
89,175_561,0.625
90,177_585,0.4134727147360126
91,178_591,0.6555555555555556
92,178_684,0.6449771689497716
93,179_659,0.2673378076062639
94,17_28,1.0
95,180_686,0.614065180102916
96,181_599,0.25
97,181_600,0.08333333333333337
98,183_604,0.6113300492610837
99,184_606,0.7341243315508021
100,185_665,0.5798555377207062
101,185_666,0.6401836158192091
102,185_667,0.8744292237442922
103,186_668,0.5605381165919283
104,186_669,0.7380952380952381
105,187_618,0.5914826498422713
106,187_619,0.513755980861244
107,18_29,1.0
108,190_628,0.5803088803088804
109,190_629,0.5071622144792877
110,190_674,0.4248366013071895
111,191_630,0.42727272727272725
112,191_631,0.4338151927437641
113,191_675,0.4916666666666666
114,192_635,0.8222222222222222
115,193_723,0.6247159090909091
116,194_639,0.5226086956521738
117,194_678,0.4206349206349206
118,195_642,0.5816819105691057
119,196_644,0.5972222222222222
120,197_645,0.5092592592592593
121,197_646,0.5049019607843137
122,197_647,0.5288461538461539
123,197_648,0.8095238095238095
124,197_649,0.5226507499234772
125,197_650,0.4595174479799206
126,197_651,0.7169514388489209
127,198_682,0.6762669801462906
128,199_657,0.38313570487483534
129,19_30,0.796875
130,1_1,0.8809523809523809
131,200_658,0.6458333333333333
132,201_660,0.7941805733846812
133,202_661,0.837603519668737
134,203_662,0.504297994269341
135,204_663,0.5553654179489901
136,205_664,0.5857471264367815
137,206_670,0.5643491124260356
138,206_671,0.4616666666666666
139,207_672,0.517156862745098
140,208_673,0.6377551020408163
141,209_676,0.46354166666666663
142,210_677,0.5474941724941724
143,212_680,0.36193029490616624
144,213_681,0.5396431199411331
145,214_683,0.4674006908462867
146,215_685,0.7575023629489603
147,216_687,0.39788325223764043
148,217_688,0.49868541380887055
149,217_689,0.5807600950118765
150,219_691,0.6119346733668342
151,21_32,0.16666666666666663
152,220_692,0.5591380122468206
153,221_693,0.5956261872981308
154,223_695,0.44786096256684493
155,224_696,0.5038964303670186
156,225_697,0.5807952622673435
157,227_699,0.5654708520179372
158,228_700,0.5985949612403101
159,229_701,0.5755458848679188
160,230_702,0.5138494318181819
161,231_703,0.5950229187934106
162,232_704,0.6688049853372434
163,232_705,0.5672024623803009
164,233_706,0.505764366143583
165,234_707,0.5338518968953752
166,235_708,0.6038876434634324
167,236_709,0.6341238839285714
168,237_710,0.59490022172949
169,237_711,0.4681372549019608
