Fold,Task,AUC
0,1_1,0.7619047619047619
0,10_19,
0,10_20,
0,100_277,0.8125
0,100_278,0.7857142857142857
0,104_291,0.37179487179487175
0,105_355,
0,105_369,0.7333333333333334
0,105_361,0.7333333333333334
0,105_378,0.6818181818181819
0,105_352,0.7166666666666666
0,104_289,0.7179487179487178
0,105_377,
0,105_375,0.39285714285714285
0,104_325,
0,104_297,
0,104_295,
0,104_299,
0,104_300,0.6190476190476191
0,104_326,0.6190476190476191
0,104_319,
0,104_323,0.9444444444444445
0,104_334,
0,105_339,0.5
0,105_341,0.6354166666666666
0,105_360,0.5909090909090909
0,105_362,0.6333333333333333
0,105_374,0.7166666666666667
0,105_382,0.6349206349206349
0,105_385,0.8125
0,105_391,0.8125
0,106_392,0.625
0,108_394,0.6071428571428572
0,109_395,0.8928571428571428
0,11_21,0.75
0,11_22,0.75
0,110_396,
0,110_397,0.5625
0,110_398,0.4436274509803921
0,110_399,0.4189189189189189
0,110_400,0.3815789473684211
0,110_401,0.8628571428571429
0,111_402,0.9907407407407407
0,112_406,0.25
0,113_407,0.625
0,114_408,0.25
0,115_409,
0,116_411,0.76
0,116_412,0.5
0,116_413,
0,116_414,
0,116_415,0.55
0,116_416,0.725
0,116_420,
0,116_421,0.5
0,116_424,0.5462962962962963
0,116_425,0.4375
0,116_426,0.5803571428571429
0,116_427,0.6268115942028986
0,117_429,0.7678571428571428
0,117_430,0.8083333333333332
0,118_432,0.8392857142857143
0,118_434,0.7916666666666666
0,12_23,0.9625
0,13_24,0.8375
0,133_474,
0,134_476,
0,134_477,
0,135_479,
0,14_25,0.9538461538461539
0,143_495,0.5476190476190476
0,145_497,0.7222222222222222
0,15_26,0.8823529411764706
0,153_510,1.0
0,154_511,1.0
0,16_27,0.9461538461538461
0,160_519,
0,167_539,0.39999999999999997
0,167_538,0.39999999999999997
0,168_541,0.5555555555555556
0,168_542,0.4642857142857143
0,168_543,0.38461538461538464
0,169_544,0.725
0,169_545,0.6190476190476191
0,169_548,0.4
0,169_549,0.828125
0,17_28,
0,170_550,0.6666666666666666
0,170_551,0.21875
0,174_555,0.675
0,175_559,0.625
0,175_561,0.625
0,177_585,0.2800632911392405
0,178_591,
0,178_684,0.7119445319886543
0,179_659,0.2673378076062639
0,18_29,0.7589285714285714
0,180_686,0.614065180102916
0,181_599,0.08333333333333337
0,181_600,0.08333333333333337
0,183_604,0.6692028985507247
0,184_606,0.6673376274825549
0,185_665,0.5798555377207062
0,185_666,0.6401836158192091
0,185_667,
0,186_668,0.7823581560283688
0,186_669,0.7671052631578948
0,187_618,
0,187_619,
0,19_30,0.7604166666666667
0,190_628,0.5803088803088804
0,190_629,0.3933080808080808
0,190_674,0.4248366013071895
0,191_630,0.5706928838951311
0,191_631,0.4727611940298508
0,191_675,0.039603960396039584
0,192_635,0.7777777777777778
0,193_723,0.7706060606060606
0,194_639,0.5855912889339072
0,194_678,0.5339181286549708
0,195_642,0.6137770897832817
0,196_644,0.5317829457364341
0,197_645,0.5831801470588235
0,197_646,0.5049019607843137
0,197_647,0.625
0,197_648,0.8095238095238095
0,197_649,0.5404185330347144
0,197_650,0.41132930513595173
0,197_651,0.582367149758454
0,198_682,0.7381163645582457
0,199_657,0.48920612813370473
0,200_658,
0,201_660,0.9776119402985075
0,202_661,0.7154861944777912
0,203_662,0.536231884057971
0,204_663,0.14864864864864863
0,205_664,0.5857471264367815
0,206_670,0.6614368290668869
0,206_671,0.38892961876832843
0,207_672,0.44474789915966384
0,208_673,0.5632093933463796
0,209_676,0.548582995951417
0,21_32,
0,210_677,0.5474941724941724
0,212_680,0.448
0,213_681,0.6847826086956521
0,214_683,0.3191340782122905
0,215_685,0.7916666666666667
0,216_687,0.47786666666666666
0,217_688,0.5388308086195861
0,217_689,0.6479020979020979
0,219_691,0.34265498652291104
0,220_692,0.47940027871402646
0,221_693,0.5591056670602125
0,223_695,0.5045811518324608
0,224_696,0.5038964303670186
0,225_697,0.5672348484848485
0,227_699,0.6214234620886981
0,228_700,0.5985949612403101
0,229_701,0.528750597863634
0,23_34,0.5833333333333333
0,230_702,0.6296348314606741
0,231_703,0.540022688598979
0,232_704,0.6903495440729484
0,232_705,0.5672024623803009
0,233_706,0.4997274623187032
0,234_707,0.5009568462348101
0,235_708,0.6073112110959306
0,236_709,0.6341238839285714
0,237_710,0.49651324965132493
0,237_711,0.3983957219251337
0,238_712,0.5361944101902474
0,239_713,0.4657980859820499
0,24_35,
0,240_714,0.5909566626333431
0,241_715,0.5957792207792209
0,242_716,0.4458944710355306
0,243_717,0.44333829969750327
0,244_718,0.3773628820076908
0,245_719,0.4746268656716418
0,246_720,0.564130837657524
0,247_721,0.4509372177055104
0,248_722,0.5596047008547008
0,249_724,0.4835666411046267
0,25_36,
0,250_725,
0,250_726,0.5127257799671592
0,251_727,0.5433249284448685
0,253_729,0.5190845739626228
0,254_730,0.8542549095109742
0,257_735,0.5264259549973835
0,258_736,0.5425627240143369
0,259_737,0.7552505147563486
0,26_37,
0,260_738,0.49996774921791853
0,261_739,0.49473453268977624
0,262_740,0.7673217435122197
0,263_741,0.5390394088669951
0,264_742,0.607298101121025
0,265_743,0.5825340179717586
0,266_744,0.5363579734219269
0,267_745,0.5853714285714287
0,268_746,0.5056476346850894
0,269_747,0.4796927970136747
0,27_38,0.6136363636363636
0,27_39,0.7777777777777778
0,27_40,0.3666666666666667
0,270_748,0.49876893939393935
0,271_749,0.5588145896656536
0,272_750,0.43245033112582776
0,273_751,0.4058783554196398
0,274_752,0.5627335591799671
0,275_753,0.7532051282051282
0,275_754,0.5755842407928544
0,276_755,0.560559601379839
0,277_756,0.686591390261115
0,278_757,0.5085173116472124
0,279_758,0.5622010628875111
0,280_759,0.6116520171286904
0,281_760,0.3995462046204621
0,283_762,0.499874686716792
0,29_43,0.6538461538461539
0,3_3,0.4
0,37_69,0.625
0,37_70,0.625
0,37_74,0.5714285714285714
0,37_77,0.875
0,40_95,0.625
0,40_96,0.625
0,42_103,
0,42_104,
0,44_106,
0,46_120,0.7222222222222222
0,49_149,
0,5_5,0.537037037037037
0,50_154,
0,53_178,0.1875
0,54_179,
0,54_182,
0,6_7,
0,7_10,0.888888888888889
0,7_11,0.6875
0,70_211,
0,71_212,0.6071428571428572
0,71_213,0.9722222222222222
0,76_230,1.0
0,78_237,
0,8_12,0.6666666666666666
0,8_13,0.6666666666666666
0,80_239,0.8166666666666667
0,81_241,
0,82_242,0.7697368421052632
0,82_243,0.4285714285714286
0,83_244,
0,83_245,
0,84_246,
0,85_247,0.828125
0,85_248,
0,86_249,0.375
0,86_250,
0,88_252,
0,88_254,0.6607142857142857
0,89_255,
0,9_14,
0,9_17,0.7142857142857143
0,9_18,
0,90_256,
0,91_257,0.7380952380952381
0,92_258,0.7142857142857143
0,93_259,0.41666666666666663
1,1_1,1.0
1,10_19,0.2857142857142857
1,10_20,
1,100_277,0.4
1,100_278,0.4444444444444445
1,104_291,0.6000000000000001
1,105_355,0.16666666666666669
1,105_369,0.16666666666666669
1,105_361,
1,105_378,0.45
1,105_352,0.25
1,104_289,0.0
1,105_377,
1,105_375,0.6666666666666667
1,104_325,
1,104_297,
1,104_295,
1,104_299,1.0
1,104_300,0.8333333333333334
1,104_326,0.8333333333333334
1,104_319,
1,104_323,1.0
