,Task,Fold,AUC_ROC,AUC_PR,Test_Set_Length,Num_Actives,Num_Inactives
0,100_277,2.0,0.8141666666666666,0.6677777777777778,8.6,1.8,6.8
1,100_278,2.0,0.7253968253968254,0.7316666666666667,9.0,3.2,5.8
2,104_289,2.0,0.8256410256410256,0.6875,10.6,2.0,8.6
3,104_291,2.0,0.8673076923076923,0.8125,10.6,2.0,8.6
4,104_295,2.0,0.8571428571428572,0.5,7.0,0.2,6.8
5,104_297,2.0,0.75,0.5416666666666666,6.8,0.6,6.2
6,104_299,2.0,0.9375,0.8333333333333333,6.8,1.4,5.4
7,104_300,2.0,0.8154761904761905,0.7996031746031746,5.6,1.2,4.4
8,104_319,2.0,0.8571428571428572,0.5,7.0,0.2,6.8
9,104_323,2.0,0.9857142857142858,0.9666666666666666,6.8,2.0,4.8
10,104_325,2.0,0.8472222222222223,0.6666666666666666,6.8,1.0,5.8
11,104_326,2.0,0.8095238095238095,0.7936507936507936,5.6,0.8,4.8
12,104_334,2.0,0.8571428571428572,0.5,6.8,0.2,6.6
13,105_339,2.0,0.8059090909090909,0.7011428571428572,10.6,2.8,7.8
14,105_341,2.0,0.8350320512820513,0.7133333333333333,10.6,2.8,7.8
15,105_352,2.0,0.6666666666666666,0.5892857142857142,10.6,2.6,8.0
16,105_355,2.0,0.8260073260073261,0.47916666666666663,10.6,1.0,9.6
17,105_360,2.0,0.7575757575757576,0.557579365079365,10.6,2.2,8.4
18,105_361,2.0,0.8013431013431015,0.37222222222222223,10.6,0.8,9.8
19,105_362,2.0,0.8071428571428572,0.6481746031746032,10.6,2.4,8.2
20,105_369,2.0,0.68125,0.3,10.8,0.8,10.0
21,105_374,2.0,0.8208333333333333,0.708531746031746,10.6,2.6,8.0
22,105_375,2.0,0.7619963369963371,0.4066666666666666,10.6,1.4,9.2
23,105_377,2.0,0.625,0.25,10.6,0.2,10.4
24,105_378,2.0,0.7077922077922078,0.5875,10.6,2.2,8.4
25,105_382,2.0,0.7368253968253968,0.644580498866213,10.6,3.0,7.6
26,105_385,2.0,0.8366402116402116,0.4444444444444444,6.8,0.6,6.2
27,105_391,2.0,0.9107142857142857,0.6666666666666666,6.8,0.6,6.2
28,106_392,2.0,0.12980769230769226,0.12400793650793647,12.8,0.8,12.0
29,108_394,2.0,0.5482142857142858,0.4334415584415584,7.0,1.0,6.0
30,109_395,2.0,0.40654761904761905,0.30794552669552666,7.0,1.4,5.6
31,10_19,2.0,0.7380952380952381,0.24999999999999994,15.4,0.4,15.0
32,10_20,2.0,0.5384615384615384,0.1714285714285714,12.8,0.6,12.2
33,110_396,2.0,1.0,1.0,3.8,0.2,3.6
34,110_397,2.0,0.43184142246642243,0.14017792864433945,33.6,2.4,31.2
35,110_398,2.0,0.48705741068357167,0.13377693233504634,34.2,3.4,30.8
36,110_399,2.0,0.5987437482546097,0.19929217840982544,34.8,2.0,32.8
37,110_400,2.0,0.7028822055137844,0.12242063492063486,33.6,1.0,32.6
38,110_401,2.0,0.5984052739375321,0.18253143673604028,33.6,3.6,30.0
39,111_402,2.0,0.8675925925925926,0.7788492063492063,21.6,2.8,18.8
40,112_406,2.0,0.4583333333333333,0.5,6.2,0.6,5.6
41,113_407,2.0,0.86875,0.86875,6.2,1.4,4.8
42,114_408,2.0,0.4375,0.3333333333333333,6.2,0.4,5.8
43,115_409,2.0,0.8333333333333334,0.5,10.0,0.2,9.8
44,116_411,2.0,0.4318387096774193,0.14721929597335276,25.6,2.8,22.8
45,116_412,2.0,0.4116883116883117,0.14332184155713562,25.6,2.4,23.2
46,116_413,2.0,0.25,0.33333333333333326,11.4,0.6,10.8
47,116_414,2.0,0.0,0.0666666666666666,11.4,0.2,11.2
48,116_415,2.0,0.5499999999999999,0.5825925925925927,7.8,1.4,6.4
49,116_416,2.0,0.37095959595959593,0.27795584045584043,9.0,1.0,8.0
50,116_420,2.0,0.39117647058823524,0.11029711029711027,14.6,0.6,14.0
51,116_421,2.0,0.317989417989418,0.15784832451499115,14.4,1.2,13.2
52,116_424,2.0,0.7746913580246914,0.4662053995387329,14.6,1.0,13.6
53,116_425,2.0,0.5614035087719298,0.21405228758169934,15.6,0.6,15.0
54,116_426,2.0,0.47446004717676543,0.1682932110042084,25.6,2.6,23.0
55,116_427,2.0,0.5751246416265552,0.24664443970305056,25.6,4.2,21.4
56,117_429,2.0,0.7857261904761905,0.7010606060606059,16.2,3.4,12.8
57,117_430,2.0,0.7806390977443609,0.3282828282828283,16.0,1.2,14.8
58,118_432,2.0,0.8122315592903828,0.6232638888888888,17.8,2.0,15.8
59,118_434,2.0,0.5857142857142857,0.6344444444444444,6.2,2.4,3.8
60,11_21,2.0,0.42857142857142855,0.3888888888888889,6.6,0.6,6.0
61,11_22,2.0,0.4801587301587302,0.3703703703703704,6.6,0.8,5.8
62,12_23,2.0,0.7016071428571429,0.6447222222222223,12.4,4.0,8.4
63,133_474,2.0,0.75,0.5,7.8,0.2,7.6
64,134_476,2.0,1.0,1.0,3.8,0.2,3.6
65,134_477,2.0,0.5833333333333333,0.3125,8.0,0.4,7.6
66,135_479,2.0,0.6666666666666667,0.3333333333333333,3.8,0.2,3.6
67,13_24,2.0,0.6982738095238095,0.6613888888888889,12.4,4.2,8.2
68,143_495,2.0,0.6385714285714286,0.4030714285714286,14.8,2.8,12.0
69,145_497,2.0,0.7083333333333334,0.45833333333333326,7.0,0.8,6.2
