Fold,Task,AUC
0,1_1,0.47619047619047616
0,100_277,0.625
0,100_278,0.5
0,104_291,0.8205128205128205
0,105_369,0.5666666666666667
0,105_361,0.5666666666666667
0,105_378,0.7000000000000001
0,105_352,0.575
0,104_289,0.8205128205128205
0,105_375,0.6964285714285714
0,104_300,0.7619047619047619
0,104_326,0.6190476190476191
0,104_323,1.0
0,105_339,0.6454545454545455
0,105_341,0.78125
0,105_360,0.509090909090909
0,105_362,0.6333333333333333
0,105_374,0.675
0,105_382,0.5634920634920635
0,105_385,0.75
0,105_391,0.75
0,106_392,0.25
0,108_394,0.5714285714285714
0,109_395,0.1428571428571429
0,11_21,0.4285714285714286
0,11_22,0.4285714285714286
0,110_397,0.6597222222222222
0,110_398,0.29901960784313725
0,110_399,0.7927927927927928
0,110_400,0.8421052631578947
0,110_401,0.5428571428571428
0,111_402,0.9444444444444444
0,112_406,0.125
0,113_407,0.25
0,114_408,0.125
0,116_411,0.42000000000000004
0,116_412,0.10714285714285715
0,116_415,0.7
0,116_416,0.4
0,116_421,0.5714285714285714
0,116_424,0.5555555555555556
0,116_425,0.9375
0,116_426,0.7321428571428572
0,116_427,0.42028985507246375
0,117_429,0.5803571428571428
0,117_430,0.6333333333333333
0,118_432,0.8214285714285714
0,118_434,0.6666666666666666
0,12_23,0.775
0,13_24,0.775
0,14_25,0.9384615384615385
0,143_495,0.6190476190476191
0,145_497,0.5555555555555556
0,15_26,0.8823529411764706
0,153_510,0.9
0,154_511,0.8888888888888888
0,16_27,0.7846153846153846
0,167_539,0.5
0,167_538,0.5
0,168_541,0.7777777777777778
0,168_542,0.8571428571428572
0,168_543,0.6538461538461539
0,169_544,0.7625
0,169_545,0.7619047619047619
0,169_548,0.675
0,169_549,0.828125
0,170_550,0.7333333333333334
0,170_551,0.125
0,174_555,0.5
0,175_559,0.625
0,175_561,0.625
0,177_585,0.7357594936708861
0,178_684,0.7125748502994013
0,179_659,0.6823266219239373
0,18_29,0.7142857142857143
0,180_686,0.7285591766723842
0,181_599,0.25
0,181_600,0.25
0,183_604,0.697463768115942
0,184_606,0.7960279119699409
0,185_665,0.6003210272873194
0,185_666,0.6306497175141244
0,186_668,0.9915780141843973
0,186_669,0.8756578947368421
0,19_30,0.9375
0,190_628,0.4305019305019305
0,190_629,0.44823232323232326
0,190_674,0.4627450980392156
0,191_630,0.4375
0,191_631,0.4022388059701492
0,191_675,0.09900990099009899
0,192_635,0.888888888888889
0,193_723,0.7696969696969698
0,194_639,0.4388452772853887
0,194_678,0.8099415204678362
0,195_642,0.45951417004048584
0,196_644,0.5937984496124031
0,197_645,0.5907628676470588
0,197_646,0.6045751633986928
0,197_647,0.5833333333333334
0,197_648,0.7619047619047619
0,197_649,0.5788423852183651
0,197_650,0.5838368580060423
0,197_651,0.5265700483091786
0,198_682,0.6722017999746481
0,199_657,0.6045438718662952
