Fold,Task,AUC
0,1_1,0.6190476190476191
0,10_19,
0,10_20,
0,100_277,0.625
0,100_278,0.5714285714285714
0,104_291,0.7692307692307692
0,105_355,
0,105_369,0.33333333333333337
0,105_361,0.7333333333333334
0,105_378,0.7818181818181819
0,105_352,0.65
0,104_289,0.7692307692307692
0,105_377,
0,105_375,0.75
0,104_325,
0,104_297,
0,104_295,
0,104_299,
0,104_300,0.4285714285714286
0,104_326,0.6190476190476191
0,104_319,
0,104_323,1.0
0,104_334,
0,105_339,0.7636363636363637
0,105_341,0.7916666666666667
0,105_360,0.6727272727272727
0,105_362,0.7333333333333334
0,105_374,0.75
0,105_382,0.6666666666666667
0,105_385,0.125
0,105_391,0.875
0,106_392,0.9375
0,108_394,0.7142857142857143
0,109_395,0.9285714285714286
0,11_21,0.35714285714285715
0,11_22,0.2857142857142857
0,110_396,
0,110_397,0.7986111111111112
0,110_398,0.4068627450980392
0,110_399,0.6126126126126126
0,110_400,0.5263157894736843
0,110_401,0.37714285714285717
0,111_402,0.9814814814814814
0,112_406,0.375
0,113_407,0.5
0,114_408,0.75
0,115_409,
0,116_411,0.55
0,116_412,0.5178571428571428
0,116_413,
0,116_414,
0,116_415,0.46666666666666673
0,116_416,0.65
0,116_420,
0,116_421,0.5
0,116_424,0.5555555555555555
0,116_425,0.0
0,116_426,0.0892857142857143
0,116_427,0.6739130434782609
0,117_429,0.7053571428571429
0,117_430,0.8
0,118_432,0.9642857142857143
0,118_434,0.6666666666666666
0,12_23,0.9375
0,13_24,0.9375
0,133_474,
0,134_476,
0,134_477,
0,135_479,
0,14_25,1.0
0,143_495,0.6428571428571428
0,145_497,0.5555555555555556
0,15_26,0.8823529411764706
0,153_510,0.0
0,154_511,1.0
0,16_27,0.9076923076923078
0,160_519,
0,167_539,0.6
0,167_538,0.6
0,168_541,0.8611111111111112
0,168_542,0.1428571428571429
0,168_543,0.6153846153846154
0,169_544,0.7999999999999999
0,169_545,0.8095238095238095
0,169_548,0.6
0,169_549,0.8645833333333334
0,17_28,
0,170_550,0.7333333333333334
0,170_551,0.0
0,174_555,0.7
0,175_559,0.25
0,175_561,0.5
0,177_585,0.5886075949367088
0,178_591,
0,178_684,0.6738102741884652
0,179_659,0.7175615212527965
0,18_29,0.8214285714285714
0,180_686,0.7500000000000001
0,181_599,1.0
0,181_600,0.8333333333333334
0,183_604,0.7210144927536232
0,184_606,0.7302737520128824
0,185_665,0.6143659711075442
0,185_666,0.5843926553672316
0,185_667,
0,186_668,0.813386524822695
0,186_669,0.8322368421052632
0,187_618,
0,187_619,
0,19_30,0.9791666666666666
0,190_628,0.39980694980694975
0,190_629,0.4772727272727272
0,190_674,0.4434640522875817
0,191_630,0.36142322097378277
0,191_631,0.41968283582089555
0,191_675,0.3366336633663366
0,192_635,0.8
0,193_723,0.7784848484848486
0,194_639,0.4665738161559888
0,194_678,0.5450292397660819
0,195_642,0.46296737318409154
0,196_644,0.7201550387596899
0,197_645,0.5981158088235294
0,197_646,0.6764705882352942
0,197_647,0.6805555555555556
0,197_648,0.9047619047619048
0,197_649,0.5390537513997761
0,197_650,0.4726586102719033
0,197_651,0.5490338164251208
0,198_682,0.7687286094562048
0,199_657,0.5524025069637883
0,200_658,
0,201_660,0.9850746268656717
0,202_661,0.968187274909964
0,203_662,0.3632246376811594
0,204_663,0.2702702702702703
0,205_664,0.683007662835249
0,206_670,0.6946738232865401
0,206_671,0.5116080156402737
0,207_672,0.6496498599439776
0,208_673,0.5902152641878669
0,209_676,0.8582995951417004
0,21_32,
0,210_677,0.5051864801864802
0,212_680,0.5093333333333333
0,213_681,0.5621244255920821
0,214_683,0.6208100558659218
0,215_685,0.7428784013605443
0,216_687,0.38533333333333336
0,217_688,0.6033354668942466
0,217_689,0.6435897435897436
0,219_691,0.4366576819407008
0,220_692,0.46984379051075964
0,221_693,0.5833933780123619
0,223_695,0.46465968586387435
0,224_696,0.5262066365007542
0,225_697,0.6875
0,227_699,0.5706366237482117
0,228_700,0.5084786821705427
0,229_701,0.559294786629112
0,23_34,0.16666666666666663
0,230_702,0.6838483146067416
0,231_703,0.5823539421440725
0,232_704,0.679663753799392
0,232_705,0.6781805745554035
0,233_706,0.5621069927639271
0,234_707,0.5573150894651229
0,235_708,0.5991494932009528
0,236_709,0.67265625
0,237_710,0.5798465829846583
0,237_711,0.6737967914438503
0,238_712,0.5855578761289035
0,239_713,0.5266565841886911
0,24_35,
0,240_714,0.6575273640144086
0,241_715,0.5358641358641358
0,242_716,0.5137421623665195
0,243_717,0.5738107062771833
0,244_718,0.6313904068002428
0,245_719,0.5834672789896671
0,246_720,0.6275667160859896
0,247_721,0.5200993676603434
0,248_722,0.5203311965811965
0,249_724,0.5078267500249122
0,25_36,
0,250_725,
0,250_726,0.7323481116584565
0,251_727,0.556494480032711
0,253_729,0.6548146974976244
0,254_730,0.873122834039276
0,257_735,0.5667563728788219
0,258_736,0.23700716845878136
0,259_737,0.4575154426904598
0,26_37,
0,260_738,0.5424017157416068
0,261_739,0.5529937372850932
0,262_740,0.77488032249937
0,263_741,0.5530788177339901
0,264_742,0.6322637840311143
0,265_743,0.5546264441591784
0,266_744,0.4731727574750831
0,267_745,0.6899809523809524
0,268_746,0.5144087487220794
0,269_747,0.5692508157797839
0,27_38,0.7772727272727272
0,27_39,0.8518518518518519
0,27_40,0.4
0,270_748,0.5185448232323233
0,271_749,0.6270136778115502
0,272_750,0.383112582781457
0,273_751,0.44359497111790686
0,274_752,0.6509621765096217
0,275_753,0.6964285714285714
0,275_754,0.5879420041600392
0,276_755,0.516481410502108
0,277_756,0.594318983768525
0,278_757,0.5590741766755252
0,279_758,0.42196634189548266
0,280_759,0.709832093757043
0,281_760,0.41047854785478544
0,283_762,0.5068922305764411
0,29_43,1.0
0,3_3,0.9
0,37_69,0.875
0,37_70,0.125
0,37_74,0.4285714285714286
0,37_77,0.625
0,40_95,0.125
0,40_96,0.125
0,42_103,
0,42_104,
0,44_106,
0,46_120,0.7777777777777778
0,49_149,
0,5_5,0.7592592592592592
0,50_154,
0,53_178,0.625
0,54_179,
0,54_182,
0,6_7,
0,7_10,0.2222222222222222
0,7_11,0.5625
0,70_211,
0,71_212,0.7142857142857143
0,71_213,0.6666666666666666
0,76_230,0.5384615384615384
0,78_237,
0,8_12,0.4285714285714286
0,8_13,0.7619047619047619
0,80_239,0.6
0,81_241,
0,82_242,0.8421052631578947
0,82_243,0.2857142857142857
0,83_244,
0,83_245,
0,84_246,
0,85_247,0.8125
0,85_248,
0,86_249,0.875
0,86_250,
0,88_252,
0,88_254,0.8928571428571429
0,89_255,
0,9_14,
0,9_17,0.7142857142857143
0,9_18,
0,90_256,
0,91_257,0.7142857142857143
0,92_258,0.7142857142857143
0,93_259,0.2536231884057971
1,1_1,0.7
1,10_19,0.7142857142857143
1,10_20,
1,100_277,0.8
1,100_278,0.33333333333333337
1,104_291,0.8
1,105_355,0.5
1,105_369,0.8333333333333334
1,105_361,
1,105_378,0.6
1,105_352,0.0
1,104_289,0.5
1,105_377,
1,105_375,1.0
1,104_325,
1,104_297,
1,104_295,
1,104_299,1.0
1,104_300,0.6666666666666667
1,104_326,0.6666666666666667
1,104_319,
1,104_323,1.0
1,104_334,
1,105_339,1.0
1,105_341,0.5
1,105_360,0.5
1,105_362,0.5
1,105_374,0.8
1,105_382,0.2
1,105_385,
1,105_391,
1,106_392,1.0
1,108_394,0.25
1,109_395,0.75
1,11_21,0.0
1,11_22,
1,110_396,
1,110_397,0.7500000000000001
1,110_398,0.6857142857142857
1,110_399,0.08823529411764708
1,110_400,
1,110_401,0.7741935483870968
1,111_402,0.7
1,112_406,
1,113_407,0.5
1,114_408,
1,115_409,
1,116_411,0.5750000000000001
1,116_412,0.3888888888888889
1,116_413,
1,116_414,
1,116_415,
1,116_416,0.0
1,116_420,1.0
1,116_421,
1,116_424,
1,116_425,0.5
1,116_426,0.29824561403508776
1,116_427,0.32499999999999996
1,117_429,0.4166666666666667
1,117_430,
1,118_432,0.6862745098039216
1,118_434,0.5
1,12_23,0.6
1,13_24,0.5
1,133_474,
1,134_476,0.0
1,134_477,
1,135_479,
1,14_25,1.0
1,143_495,0.5714285714285714
1,145_497,
1,15_26,
1,153_510,
1,154_511,
1,16_27,
1,160_519,
1,167_539,
1,167_538,
1,168_541,0.5833333333333333
1,168_542,0.5
1,168_543,0.33333333333333337
1,169_544,0.75
1,169_545,0.4285714285714286
1,169_548,1.0
1,169_549,0.5714285714285714
1,17_28,0.6666666666666667
1,170_550,0.0
1,170_551,
1,174_555,
1,175_559,
1,175_561,
1,177_585,0.4988918439716312
1,178_591,
1,178_684,0.567351598173516
1,179_659,0.12834224598930477
1,18_29,1.0
1,180_686,0.6923076923076922
1,181_599,1.0
1,181_600,
1,183_604,0.48360655737704916
1,184_606,0.8506631299734748
1,185_665,0.6066978193146417
1,185_666,0.5716166403370193
1,185_667,0.995433789954338
1,186_668,0.638515196811161
1,186_669,0.4458874458874459
1,187_618,
1,187_619,0.33333333333333337
1,19_30,
1,190_628,0.38415841584158417
1,190_629,0.5010964912280702
1,190_674,0.3064177852348994
1,191_630,0.4012797074954296
1,191_631,0.38468079539508104
1,191_675,0.4447916666666667
1,192_635,
1,193_723,0.5893866020984665
1,194_639,0.38
1,194_678,0.40616246498599434
1,195_642,0.47968750000000004
1,196_644,0.6772300469483568
1,197_645,0.42580134546893555
1,197_646,0.5251700680272109
1,197_647,0.39999999999999997
1,197_648,
1,197_649,0.5186093668236526
1,197_650,0.4903198653198653
1,197_651,0.9416909620991253
1,198_682,0.6790752351097179
1,199_657,0.4824561403508773
1,200_658,
1,201_660,
1,202_661,0.7916122004357298
1,203_662,0.5200573065902578
1,204_663,
1,205_664,0.6194240376138701
1,206_670,0.40369822485207096
1,206_671,0.47751479289940835
1,207_672,0.49851455733808675
1,208_673,0.8130326704545454
1,209_676,0.4206349206349206
1,21_32,
1,210_677,0.40231841243336974
1,212_680,0.44817927170868344
1,213_681,0.424266385520998
1,214_683,0.49853801169590645
1,215_685,0.7821361058601134
1,216_687,0.527533918595371
1,217_688,0.5204046639231823
1,217_689,0.6943056943056943
1,219_691,0.45330459770114945
1,220_692,0.5695306912022888
1,221_693,0.6044235820663328
1,223_695,0.6730097765363129
1,224_696,0.6507489350006871
1,225_697,0.6550387596899224
1,227_699,0.06632653061224492
1,228_700,0.554263565891473
1,229_701,0.4759378022089887
1,23_34,0.0
1,230_702,0.5442275747508305
1,231_703,0.49645987057334573
1,232_704,0.6542041248016921
1,232_705,0.6834516415261755
1,233_706,0.6558729377000738
1,234_707,0.5007837573054964
1,235_708,0.6814475025484199
1,236_709,0.5963394713394714
1,237_710,0.8258587786259542
1,237_711,0.6666666666666667
1,238_712,0.5409071521121547
1,239_713,0.5364945763405649
1,24_35,0.16666666666666666
1,240_714,0.6628166296703525
1,241_715,0.5548700028333581
1,242_716,0.5876619132501486
1,243_717,0.5817491220033593
1,244_718,0.5395699735948698
1,245_719,0.501260940513277
1,246_720,0.5526155021000382
1,247_721,0.45342588893328006
1,248_722,0.5190908179631115
1,249_724,0.4968582301794821
1,25_36,0.75
1,250_725,0.6081536388140162
1,250_726,0.6861486486486487
1,251_727,0.7442051001945857
1,253_729,0.5833613445378152
1,254_730,0.9819444444444444
1,257_735,0.49837606837606835
1,258_736,0.19491525423728812
1,259_737,0.4868908716540838
1,26_37,
1,260_738,0.5431757036423841
1,261_739,0.6154855643044619
1,262_740,0.5998972778633795
1,263_741,0.5208695652173913
1,264_742,0.7019981358499359
1,265_743,0.552455564670495
1,266_744,0.5827760189948555
1,267_745,0.5609619123047016
1,268_746,0.5487012987012987
1,269_747,0.5977375450529008
1,27_38,0.65
1,27_39,0.717948717948718
1,27_40,
1,270_748,0.49309681929395316
1,271_749,0.6272352734922861
1,272_750,0.41576027447258923
1,273_751,0.4608167770419425
1,274_752,0.46730210162921687
1,275_753,0.9420970266040689
1,275_754,0.4723806730698732
1,276_755,0.4745043616177637
1,277_756,0.3927175843694493
1,278_757,0.4762424089068826
1,279_758,0.5087926427639347
1,280_759,0.6830473020429353
1,281_760,0.24512670565302142
1,283_762,0.6659562638991846
1,29_43,
1,3_3,
1,37_69,
1,37_70,
1,37_74,0.5
1,37_77,
1,40_95,
1,40_96,
1,42_103,
1,42_104,
1,44_106,
1,46_120,1.0
1,49_149,
1,5_5,0.875
1,50_154,
1,53_178,
1,54_179,
1,54_182,
1,6_7,0.0
1,7_10,
1,7_11,0.5
1,70_211,0.33333333333333337
1,71_212,0.0
1,71_213,0.5
1,76_230,
1,78_237,
1,8_12,0.5
1,8_13,1.0
1,80_239,
1,81_241,
1,82_242,0.7500000000000001
1,82_243,
1,83_244,
1,83_245,0.0
1,84_246,
1,85_247,0.5
1,85_248,
1,86_249,
1,86_250,
1,88_252,0.7
1,88_254,0.16666666666666663
1,89_255,0.19999999999999996
1,9_14,
1,9_17,
1,9_18,
1,90_256,0.98
1,91_257,1.0
1,92_258,1.0
1,93_259,0.7176470588235294
2,1_1,
2,10_19,
2,10_20,0.3125
2,100_277,1.0
2,100_278,1.0
2,104_291,
2,105_355,0.9230769230769231
2,105_369,
2,105_361,0.9230769230769231
2,105_378,
2,105_352,1.0
2,104_289,
2,105_377,
2,105_375,0.9230769230769231
2,104_325,0.875
2,104_297,
2,104_295,
2,104_299,0.75
2,104_300,
2,104_326,
2,104_319,
2,104_323,0.9285714285714286
2,104_334,
2,105_339,0.5
2,105_341,0.9230769230769231
2,105_360,
2,105_362,1.0
2,105_374,
2,105_382,1.0
2,105_385,0.2222222222222222
2,105_391,1.0
2,106_392,
2,108_394,0.5
2,109_395,0.5416666666666666
2,11_21,
2,11_22,
2,110_396,
2,110_397,0.5384615384615384
2,110_398,0.8026315789473685
2,110_399,1.0
2,110_400,0.475
2,110_401,0.5277777777777778
2,111_402,0.9583333333333334
2,112_406,
2,113_407,1.0
2,114_408,
2,115_409,
2,116_411,0.4838709677419355
2,116_412,0.75
2,116_413,0.5
2,116_414,0.6428571428571428
2,116_415,0.6363636363636364
2,116_416,0.5909090909090908
2,116_420,0.95
2,116_421,1.0
2,116_424,0.8888888888888888
2,116_425,
2,116_426,0.5499999999999999
2,116_427,0.7025862068965517
2,117_429,1.0
2,117_430,0.9523809523809523
2,118_432,
2,118_434,0.5714285714285714
2,12_23,0.7142857142857143
2,13_24,0.7142857142857143
2,133_474,
2,134_476,
2,134_477,0.9166666666666666
2,135_479,
2,14_25,0.7142857142857143
2,143_495,0.8125
2,145_497,
2,15_26,
2,153_510,
2,154_511,1.0
2,16_27,0.4666666666666667
2,160_519,
2,167_539,0.9090909090909091
2,167_538,0.9090909090909091
2,168_541,
2,168_542,0.4375
2,168_543,0.9166666666666666
2,169_544,0.875
2,169_545,0.8823529411764706
2,169_548,
2,169_549,1.0
2,17_28,
2,170_550,1.0
2,170_551,0.0
2,174_555,1.0
2,175_559,
2,175_561,
2,177_585,0.6092592592592593
2,178_591,
2,178_684,0.4947552447552447
2,179_659,0.7670682730923695
2,18_29,1.0
2,180_686,0.4471830985915493
2,181_599,
2,181_600,
2,183_604,0.4665024630541872
2,184_606,0.7785762032085561
2,185_665,0.75
2,185_666,0.5282485875706215
2,185_667,
2,186_668,0.6056603773584905
2,186_669,
2,187_618,0.5236641221374047
2,187_619,0.9605263157894737
2,19_30,0.41666666666666663
2,190_628,0.551178203240059
2,190_629,0.39336734693877545
2,190_674,0.39385964912280697
2,191_630,0.5384488448844884
2,191_631,0.46442743764172334
2,191_675,0.5183333333333333
2,192_635,0.2777777777777778
2,193_723,0.5414772727272728
2,194_639,0.49483805668016195
2,194_678,0.48564356435643563
2,195_642,0.602808988764045
2,196_644,0.9248747913188647
2,197_645,0.5538194444444444
2,197_646,0.6544303797468355
2,197_647,0.46153846153846156
2,197_648,0.923076923076923
2,197_649,0.5722375267829813
2,197_650,0.49079164376030787
2,197_651,0.8292035398230089
2,198_682,0.6886869604725125
2,199_657,0.527810236036457
2,200_658,0.625
2,201_660,0.90625
2,202_661,0.9011882426516573
2,203_662,0.6436375321336764
2,204_663,0.9974293059125964
2,205_664,0.6391208791208791
2,206_670,0.4508771929824561
2,206_671,0.42480211081794195
2,207_672,0.38416666666666666
2,208_673,0.8205782312925171
2,209_676,0.5084621044885946
2,21_32,
2,210_677,0.5430434782608695
2,212_680,0.6795511221945136
2,213_681,0.5457550912457021
2,214_683,0.4319948186528497
2,215_685,0.7233296419342932
2,216_687,0.36744281045751637
2,217_688,0.5633190883190883
2,217_689,0.5449468085106383
2,219_691,0.5658291457286433
2,220_692,0.5570607630711258
2,221_693,0.6950039136755004
2,223_695,0.5589767156862746
2,224_696,0.6829468499897394
2,225_697,0.8375634517766496
2,227_699,0.4558277654046028
2,228_700,0.5041966426858513
2,229_701,0.5336566725455615
2,23_34,
2,230_702,0.49893048128342243
2,231_703,0.591338054801114
2,232_704,0.7074321847507331
2,232_705,0.5339173405211143
2,233_706,0.526550695023257
2,234_707,0.5140312785172597
2,235_708,0.6688270008238968
2,236_709,0.7289765319426337
2,237_710,0.6909090909090909
2,237_711,0.7777777777777778
2,238_712,0.4849404761904762
2,239_713,0.5215742913883372
2,24_35,0.9545454545454545
2,240_714,0.6259575547769993
2,241_715,0.49618002180967774
2,242_716,0.5201811257452451
2,243_717,0.5819802405498282
2,244_718,0.6354011887072808
2,245_719,0.5301062091503268
2,246_720,0.6265859515709424
2,247_721,0.45644829612220916
2,248_722,0.5256280059794619
2,249_724,0.48864290355518425
2,25_36,0.36363636363636365
2,250_725,0.9902654867256637
2,250_726,0.8191955396256472
2,251_727,0.635929905346636
2,253_729,0.5266159695817489
2,254_730,0.906374501992032
2,257_735,0.5009598711914788
2,258_736,0.36338383838383836
2,259_737,0.4932209222298693
2,26_37,
2,260_738,0.5931610112184211
2,261_739,0.5687760778859526
2,262_740,0.6271157752200406
2,263_741,0.5664916885389326
2,264_742,0.68256288239293
2,265_743,0.5029605868285504
2,266_744,0.6284085223482321
2,267_745,0.6838322133984932
2,268_746,0.6064377057737091
2,269_747,0.5735405872193436
2,27_38,0.6250000000000001
2,27_39,0.7864583333333334
2,27_40,
2,270_748,0.564859277044151
2,271_749,0.5274774158226114
2,272_750,0.5759837177747625
2,273_751,0.5286324786324785
2,274_752,0.5250225964511679
2,275_753,0.8212005108556834
2,275_754,0.5728792569659442
2,276_755,0.5186051693404634
2,277_756,0.5979846908264561
2,278_757,0.4612126003678285
2,279_758,0.5163944417357387
2,280_759,0.5826666666666667
2,281_760,0.4479381443298969
2,283_762,0.47185430463576156
2,29_43,
2,3_3,0.9166666666666666
2,37_69,
2,37_70,1.0
2,37_74,
2,37_77,
2,40_95,0.7777777777777778
2,40_96,0.2222222222222222
2,42_103,
2,42_104,
2,44_106,0.19999999999999996
2,46_120,1.0
2,49_149,
2,5_5,
2,50_154,
2,53_178,0.9
2,54_179,0.7777777777777778
2,54_182,0.6666666666666667
2,6_7,
2,7_10,
2,7_11,
2,70_211,0.0
2,71_212,0.19999999999999996
2,71_213,0.19999999999999996
2,76_230,
2,78_237,
2,8_12,
2,8_13,
2,80_239,0.6363636363636364
2,81_241,
2,82_242,0.85
2,82_243,1.0
2,83_244,0.9545454545454546
2,83_245,
2,84_246,
2,85_247,0.7777777777777778
2,85_248,0.875
2,86_249,0.22222222222222227
2,86_250,0.5555555555555556
2,88_252,
2,88_254,0.7333333333333334
2,89_255,0.4666666666666667
2,9_14,
2,9_17,
2,9_18,0.0
2,90_256,0.7027027027027026
2,91_257,
2,92_258,0.3125
2,93_259,0.6666666666666666
3,1_1,
3,10_19,
3,10_20,
3,100_277,0.6666666666666666
3,100_278,0.8333333333333334
3,104_291,0.7
3,105_355,1.0
3,105_369,0.33333333333333337
3,105_361,
3,105_378,0.7
3,105_352,0.7
3,104_289,0.7
3,105_377,
3,105_375,0.33333333333333337
3,104_325,1.0
3,104_297,1.0
3,104_295,
3,104_299,1.0
3,104_300,0.0
3,104_326,
3,104_319,
3,104_323,1.0
3,104_334,
3,105_339,0.7
3,105_341,0.7
3,105_360,0.7
3,105_362,0.7
3,105_374,0.7
3,105_382,0.7
3,105_385,
3,105_391,
3,106_392,
3,108_394,0.0
3,109_395,0.8
3,11_21,
3,11_22,0.33333333333333337
3,110_396,
3,110_397,
3,110_398,
3,110_399,0.4130434782608696
3,110_400,
3,110_401,0.3833333333333333
3,111_402,0.41666666666666663
3,112_406,1.0
3,113_407,
3,114_408,0.0
3,115_409,0.0
3,116_411,0.05555555555555558
3,116_412,0.8125
3,116_413,
3,116_414,
3,116_415,
3,116_416,
3,116_420,
3,116_421,
3,116_424,
3,116_425,
3,116_426,0.5294117647058824
3,116_427,0.49999999999999994
3,117_429,0.5714285714285714
3,117_430,0.5
3,118_432,0.7333333333333333
3,118_434,0.3333333333333333
3,12_23,0.5
3,13_24,0.5
3,133_474,0.0
3,134_476,
3,134_477,0.5
3,135_479,
3,14_25,0.5
3,143_495,0.33333333333333337
3,145_497,
3,15_26,0.9166666666666666
3,153_510,
3,154_511,
3,16_27,0.6666666666666666
3,160_519,0.3928571428571429
3,167_539,
3,167_538,
3,168_541,
3,168_542,
3,168_543,
3,169_544,0.7777777777777778
3,169_545,1.0
3,169_548,
3,169_549,0.76
3,17_28,
3,170_550,
3,170_551,
3,174_555,0.625
3,175_559,
3,175_561,
3,177_585,0.28125
3,178_591,1.0
3,178_684,0.6146198830409356
3,179_659,0.2807424593967517
3,18_29,
3,180_686,0.5793930839802398
3,181_599,1.0
3,181_600,
3,183_604,0.6092814371257484
3,184_606,0.6700937950937952
3,185_665,0.48735119047619047
3,185_666,0.5862032085561497
3,185_667,
3,186_668,0.3299595141700405
3,186_669,
3,187_618,0.23186119873817035
3,187_619,0.8181818181818181
3,19_30,0.8333333333333333
3,190_628,0.5003387533875339
3,190_629,0.5979481223383663
3,190_674,0.45397260273972606
3,191_630,0.6003401360544218
3,191_631,0.5686427457098284
3,191_675,0.4216666666666667
3,192_635,1.0
3,193_723,0.6230742296918768
3,194_639,0.45344827586206893
3,194_678,0.7277777777777777
3,195_642,0.5304878048780487
3,196_644,0.8068448195030473
3,197_645,0.46477811288237825
3,197_646,0.48166877370417194
3,197_647,0.1333333333333333
3,197_648,
3,197_649,0.5622952179503131
3,197_650,0.5775240871184519
3,197_651,0.664568345323741
3,198_682,0.6357682959762355
3,199_657,0.5869699783348808
3,200_658,
3,201_660,0.618421052631579
3,202_661,0.865036231884058
3,203_662,
3,204_663,0.587369420702754
3,205_664,0.551035103510351
3,206_670,0.5053267045454546
3,206_671,0.5216666666666667
3,207_672,0.6608788712706941
3,208_673,0.8385041551246537
3,209_676,0.4778156996587031
3,21_32,
3,210_677,0.6276241328952172
3,212_680,0.7184986595174263
3,213_681,0.4216335540838852
3,214_683,0.5271708683473388
3,215_685,0.8782584959737956
3,216_687,0.2129032258064516
3,217_688,0.6150895140664961
3,217_689,0.4631828978622329
3,219_691,0.5016203703703703
3,220_692,0.5625568510708674
3,221_693,0.6280163636446465
3,223_695,0.5670120320855615
3,224_696,0.5521657081236521
3,225_697,0.9385964912280701
3,227_699,0.23811659192825116
3,228_700,0.5173076923076922
3,229_701,0.5158956191534686
3,23_34,0.5
3,230_702,0.6495028409090908
3,231_703,0.5217478099532634
3,232_704,0.7247824685787947
3,232_705,0.7095919448860626
3,233_706,0.6308795970953385
3,234_707,0.5747806008530385
3,235_708,0.5909999568937647
3,236_709,0.6834906190315695
3,237_710,0.6400063351282863
3,237_711,0.011299435028248594
3,238_712,0.5678347456247899
3,239_713,0.5435682122429111
3,24_35,0.19999999999999996
3,240_714,0.6322899195069298
3,241_715,0.5471362112583487
3,242_716,0.5690427736599392
3,243_717,0.4481839715752072
3,244_718,0.557528950835587
3,245_719,0.591156314587186
3,246_720,0.6217277877161598
3,247_721,0.6311927378673505
3,248_722,0.48451133878208813
3,249_724,0.5190657070505131
3,25_36,0.5
3,250_725,0.8827289632728963
3,250_726,0.8604137199434229
3,251_727,0.8192511306664797
3,253_729,0.5675191815856777
3,254_730,0.9811965811965812
3,257_735,0.48657450966201055
3,258_736,0.1983695652173913
3,259_737,0.566488326848249
3,26_37,
3,260_738,0.585878124713854
3,261_739,0.6333809023083472
3,262_740,0.6671918767507004
3,263_741,0.43080772811918067
3,264_742,0.6405933682373474
3,265_743,0.5722339675828048
3,266_744,0.535632183908046
3,267_745,0.6576054430339875
3,268_746,0.5620740109645873
3,269_747,0.5348598434463862
3,27_38,0.5833333333333333
3,27_39,0.59375
3,27_40,
3,270_748,0.5021763077997797
3,271_749,0.5538073038073038
3,272_750,0.4665594194961665
3,273_751,0.39708333333333334
3,274_752,0.5543268217272153
3,275_753,0.9504830917874396
3,275_754,0.5555504488770413
3,276_755,0.3798744658119658
3,277_756,0.7294528802120992
3,278_757,0.5315102481121898
3,279_758,0.41716837903278575
3,280_759,0.625661970423661
3,281_760,0.5111662531017369
3,283_762,0.5857446808510638
3,29_43,
3,3_3,
3,37_69,0.6666666666666667
3,37_70,
3,37_74,
3,37_77,
3,40_95,
3,40_96,
3,42_103,0.5
3,42_104,1.0
3,44_106,
3,46_120,1.0
3,49_149,0.6666666666666667
3,5_5,0.8333333333333334
3,50_154,
3,53_178,
3,54_179,
3,54_182,
3,6_7,
3,7_10,
3,7_11,
3,70_211,
3,71_212,0.0
3,71_213,0.0
3,76_230,
3,78_237,0.5
3,8_12,0.33333333333333337
3,8_13,
3,80_239,
3,81_241,
3,82_242,
3,82_243,0.0
3,83_244,
3,83_245,
3,84_246,
3,85_247,0.5
3,85_248,1.0
3,86_249,0.0
3,86_250,
3,88_252,
3,88_254,
3,89_255,
3,9_14,0.5
3,9_17,
3,9_18,0.5
