Fold,Task,AUC
0,1_1,0.8571428571428572
0,10_19,
0,10_20,
0,100_277,0.375
0,100_278,0.6428571428571428
0,104_291,0.7435897435897436
0,105_355,
0,105_369,0.4666666666666667
0,105_361,0.8
0,105_378,0.7454545454545455
0,105_352,0.55
0,104_289,0.7435897435897436
0,105_377,
0,105_375,0.8571428571428571
0,104_325,
0,104_297,
0,104_295,
0,104_299,
0,104_300,0.38095238095238093
0,104_326,0.4761904761904762
0,104_319,
0,104_323,0.8888888888888888
0,104_334,
0,105_339,0.8
0,105_341,0.75
0,105_360,0.6
0,105_362,0.7166666666666667
0,105_374,0.75
0,105_382,0.5873015873015873
0,105_385,0.875
0,105_391,1.0
0,106_392,0.9375
0,108_394,1.0
0,109_395,0.9285714285714286
0,11_21,0.35714285714285715
0,11_22,0.14285714285714285
0,110_396,
0,110_397,0.6944444444444444
0,110_398,0.37745098039215685
0,110_399,0.7567567567567568
0,110_400,0.42105263157894735
0,110_401,0.52
0,111_402,0.7962962962962963
0,112_406,0.875
0,113_407,0.4
0,114_408,0.375
0,115_409,
0,116_411,0.51
0,116_412,0.8392857142857143
0,116_413,
0,116_414,
0,116_415,0.6
0,116_416,0.3
0,116_420,
0,116_421,0.17857142857142855
0,116_424,0.5555555555555555
0,116_425,0.0625
0,116_426,0.1607142857142857
0,116_427,0.4855072463768116
0,117_429,0.75
0,117_430,0.8333333333333334
0,118_432,0.9285714285714286
0,118_434,0.5
0,12_23,0.8375
0,13_24,0.8250000000000001
0,133_474,
0,134_476,
0,134_477,
0,135_479,
0,14_25,0.9076923076923077
0,143_495,0.6190476190476191
0,145_497,0.7777777777777779
0,15_26,0.8235294117647058
0,153_510,0.19999999999999996
0,154_511,1.0
0,16_27,0.9230769230769231
0,160_519,
0,167_539,0.7
0,167_538,0.5
0,168_541,0.5277777777777778
0,168_542,0.3571428571428571
0,168_543,0.34615384615384615
0,169_544,0.8
0,169_545,0.5238095238095238
0,169_548,0.7
0,169_549,0.8541666666666667
0,17_28,
0,170_550,0.6666666666666666
0,170_551,0.0
0,174_555,0.7
0,175_559,0.375
0,175_561,0.25
