Fold,Task,AUC
0,1_1,0.47619047619047616
0,100_277,0.4375
0,100_278,0.6785714285714286
0,104_291,0.3846153846153846
0,105_369,0.4666666666666667
0,105_361,0.4666666666666667
0,105_378,0.5636363636363636
0,105_352,0.33333333333333337
0,104_289,0.5897435897435898
0,105_375,0.4285714285714286
0,104_300,0.2857142857142857
0,104_326,0.7619047619047619
0,104_323,0.4444444444444444
0,105_339,0.5636363636363636
0,105_341,0.6666666666666666
0,105_360,0.2727272727272727
0,105_362,0.5999999999999999
0,105_374,0.5999999999999999
0,105_382,0.365079365079365
0,105_385,0.4375
0,105_391,0.4375
0,106_392,0.46875
0,108_394,0.35714285714285715
0,109_395,0.6785714285714286
0,11_21,0.35714285714285715
0,11_22,0.6785714285714286
0,110_397,0.5833333333333333
0,110_398,0.5098039215686274
0,110_399,0.6396396396396397
0,110_400,0.4736842105263158
0,110_401,0.5428571428571428
0,111_402,0.46296296296296297
0,112_406,0.4375
0,113_407,0.325
0,114_408,0.4375
0,116_411,0.42
0,116_412,0.4642857142857143
0,116_415,0.44999999999999996
0,116_416,0.7000000000000001
0,116_421,0.4285714285714286
0,116_424,0.8055555555555555
0,116_425,0.46875
0,116_426,0.4642857142857143
0,116_427,0.7898550724637681
0,117_429,0.5892857142857143
0,117_430,0.6166666666666667
0,118_432,0.4285714285714286
0,118_434,0.125
0,12_23,0.4375
0,13_24,0.7750000000000001
0,14_25,0.7230769230769232
0,143_495,0.5952380952380952
0,145_497,0.6944444444444444
0,15_26,0.47058823529411764
0,153_510,0.45
0,154_511,0.4444444444444444
0,16_27,0.4461538461538461
0,167_539,0.45
0,167_538,0.45
0,168_541,0.7222222222222221
0,168_542,0.4642857142857143
0,168_543,0.4230769230769231
0,169_544,0.45
0,169_545,0.47619047619047616
0,169_548,0.45
0,169_549,0.5416666666666666
0,170_550,0.43333333333333335
0,170_551,0.46875
0,174_555,1.0
0,175_559,0.4375
0,175_561,0.4375
0,177_585,0.49683544303797467
0,178_684,0.501733375354554
0,179_659,0.6633109619686801
0,18_29,0.5178571428571428
0,180_686,0.4481132075471698
0,181_599,0.4583333333333333
0,181_600,0.4583333333333333
0,183_604,0.5710144927536231
0,184_606,0.5034889962426194
0,185_665,0.4803370786516854
0,185_666,0.4774011299435028
0,186_668,0.48404255319148937
0,186_669,0.48947368421052634
0,19_30,0.5
0,190_628,0.5326254826254827
0,190_629,0.48863636363636365
0,190_674,0.48823529411764705
0,191_630,0.4887640449438202
0,191_631,0.4906716417910448
0,191_675,0.4975247524752475
0,192_635,0.6
0,193_723,0.5227272727272727
0,194_639,0.5783742719675867
0,194_678,0.49473684210526314
0,195_642,0.45975232198142413
0,196_644,0.4992248062015504
0,197_645,0.46691176470588236
0,197_646,0.46691176470588236
0,197_647,0.3888888888888889
0,197_648,0.47619047619047616
0,197_649,0.5455277155655095
0,197_650,0.5228096676737161
0,197_651,0.49130434782608695
0,198_682,0.4896691595893016
0,199_657,0.5430013927576601
0,201_660,0.4925373134328358
0,202_661,0.49264705882352944
0,203_662,0.49592391304347827
0,204_663,0.49864864864864866
0,205_664,0.47844827586206895
0,206_670,0.48988439306358383
0,206_671,0.5255376344086021
0,207_672,0.5409663865546218
0,208_673,0.4904109589041096
0,209_676,0.49898785425101216
0,210_677,0.4916083916083916
0,212_680,0.49733333333333335
0,213_681,0.5245669848002827
0,214_683,0.49441340782122906
0,215_685,0.5357142857142857
0,216_687,0.49333333333333335
0,217_688,0.48687860038404096
0,217_689,0.47377622377622375
0,219_691,0.6209568733153638
0,220_692,0.48729582577132485
0,221_693,0.49379297173414816
0,223_695,0.4973821989528796
0,224_696,0.48183760683760685
0,225_697,0.49573863636363635
0,227_699,0.49356223175965663
0,228_700,0.4731104651162791
0,229_701,0.5022585959504703
0,23_34,0.4583333333333333
0,230_702,0.4859550561797753
0,231_703,0.48581962563811687
0,232_704,0.5199468085106383
0,232_705,0.4752906976744186
0,233_706,0.51542800265428
0,234_707,0.5099375316100988
0,235_708,0.4892667329523101
0,236_709,0.5098214285714286
0,237_710,0.4905857740585774
0,237_711,0.49732620320855614
0,238_712,0.504506703922561
0,239_713,0.4923596304193319
0,240_714,0.4989916691005688
0,241_715,0.5087634587634587
0,242_716,0.5018154063442923
0,243_717,0.517931584571162
0,244_718,0.4967213114754098
0,245_719,0.5026406429391503
0,246_720,0.49629355077835435
0,247_721,0.49535423925667826
0,248_722,0.4896153846153846
0,249_724,0.513281429394613
0,250_726,0.4967159277504105
0,251_727,0.4979385307346327
0,253_729,0.5350807728856509
0,254_730,0.49056603773584906
0,257_735,0.5145398818868206
0,258_736,0.4959677419354839
0,259_737,0.4982841455044612
0,260_738,0.4949003450833683
0,261_739,0.5516873429335035
0,262_740,0.546485260770975
0,263_741,0.5126026272577997
0,264_742,0.49897048730267674
0,265_743,0.5045853658536585
0,266_744,0.5053259966777409
0,267_745,0.4985396825396825
0,268_746,0.4948046717680225
0,269_747,0.5054930230195914
0,27_38,0.5227272727272727
0,27_39,0.4166666666666667
0,27_40,0.4666666666666667
0,270_748,0.5190814393939394
0,271_749,0.4812689969604863
0,272_750,0.48758278145695366
0,273_751,0.4862385321100917
0,274_752,0.5233297244438235
0,275_753,0.5215201465201464
0,275_754,0.49629878869448185
0,276_755,0.4950172479877348
0,277_756,0.4991178546224418
0,278_757,0.4838269680436477
0,279_758,0.4977856510186005
0,280_759,0.4934865900383142
0,281_760,0.49257425742574257
0,283_762,0.49010025062656637
0,29_43,0.46153846153846156
0,3_3,0.45
0,37_69,0.4375
0,37_70,0.4375
0,37_74,0.35714285714285715
0,37_77,0.4375
0,40_95,1.0
0,40_96,0.4375
0,46_120,0.5
0,5_5,0.611111111111111
0,53_178,0.4375
0,7_10,0.4444444444444444
0,7_11,0.375
0,71_212,0.35714285714285715
0,71_213,0.75
0,76_230,0.46153846153846156
0,8_12,0.5238095238095237
0,8_13,0.2857142857142857
0,80_239,0.35
