,Task,Fold,AUC
0,100_277,2.0,0.5833333333333333
1,100_278,2.0,0.75
2,104_289,2.0,0.6717948717948719
3,104_291,2.0,0.7217948717948718
4,104_295,2.0,0.7142857142857143
5,104_297,2.0,0.9583333333333334
6,104_299,2.0,1.0
7,104_300,2.0,0.5238095238095238
8,104_319,2.0,0.7142857142857143
9,104_323,2.0,1.0
10,104_325,2.0,1.0
11,104_326,2.0,0.40476190476190477
12,104_334,2.0,0.8571428571428572
13,105_339,2.0,0.8
14,105_341,2.0,0.75
15,105_352,2.0,0.55
16,105_355,2.0,0.6730769230769231
17,105_360,2.0,0.6499999999999999
18,105_361,2.0,0.8
19,105_362,2.0,0.7142857142857143
20,105_369,2.0,0.8333333333333334
21,105_374,2.0,0.725
22,105_375,2.0,0.8571428571428571
23,105_377,2.0,0.0
24,105_378,2.0,0.6571428571428571
25,105_382,2.0,0.6
26,105_385,2.0,0.875
27,105_391,2.0,1.0
28,106_392,2.0,0.6
29,108_394,2.0,0.4
30,109_395,2.0,0.7767857142857143
31,10_19,2.0,0.9285714285714286
32,10_20,2.0,0.5144230769230769
33,110_396,2.0,0.25
34,110_397,2.0,0.5115384615384615
35,110_398,2.0,0.6579573934837093
36,110_399,2.0,0.632183908045977
37,110_400,2.0,0.42105263157894735
38,110_401,2.0,0.52
39,111_402,2.0,0.7962962962962963
40,112_406,2.0,0.875
41,113_407,2.0,0.75
42,114_408,2.0,0.1875
43,115_409,2.0,1.0
44,116_411,2.0,0.41935483870967744
45,116_412,2.0,0.65625
46,116_413,2.0,0.46875
47,116_414,2.0,0.4285714285714286
48,116_415,2.0,0.6
49,116_416,2.0,0.18181818181818182
50,116_420,2.0,0.9411764705882353
51,116_421,2.0,0.19999999999999996
52,116_424,2.0,0.5555555555555555
53,116_425,2.0,0.3157894736842105
54,116_426,2.0,0.3508771929824561
55,116_427,2.0,0.4855072463768116
56,117_429,2.0,0.75
57,117_430,2.0,0.8377192982456141
58,118_432,2.0,0.8718954248366013
59,118_434,2.0,0.16666666666666663
60,11_21,2.0,0.4285714285714286
61,11_22,2.0,0.33333333333333337
62,12_23,2.0,0.8214285714285714
63,133_474,2.0,1.0
