,N_actives_train,N_inactives_train,N_labels_train,N_actives_val,N_inactives_val,N_labels_val,N_actives_test,N_inactives_test,N_labels_test,Test_AUC,Best_C
0,1836,306,2142,168,0,168,492,60,552,0.344850948509485,99
1,502,1352,1854,138,168,306,204,312,516,0.651222347913524,0.1
2,240,1835,2075,74,232,306,0,404,404,0.5,1
3,448,816,1264,24,156,180,120,324,444,0.291383744855967,1E-06
4,658,474,1132,96,24,120,144,120,264,0.548784722222222,1E-06
5,562,964,1526,48,120,168,114,575,689,0.486392067124333,0.01
6,264,516,780,0,72,72,114,184,298,0.830758962623951,0.01
7,208,546,754,144,72,216,24,288,312,0.28587962962963,10000
8,408,1672,2080,48,136,184,222,587,809,0.635925533710883,0.01
9,336,1434,1770,48,72,120,120,390,510,0.530021367521368,1E-06
10,342,2957,3299,48,486,534,162,833,995,0.610169993923495,0.01
11,1441,1925,3366,192,240,432,597,636,1233,0.502299232009102,1000000
12,180,894,1074,24,234,258,72,432,504,0.306520061728395,1
13,174,449,623,90,96,186,48,149,197,0.520833333333333,100
14,240,1062,1302,72,210,282,96,228,324,0.494700292397661,0.1
15,320,545,865,24,88,112,72,444,516,0.73658033033033,1E-06
16,168,1375,1543,48,136,184,90,564,654,0.322123719464145,1E-06
17,615,1434,2049,48,216,264,168,344,512,0.294573643410853,1E-06
18,742,192,934,72,48,120,168,72,240,0.602843915343915,0.0001
19,582,1825,2407,120,270,390,216,516,732,0.554263565891473,1E-06
20,448,816,1264,24,156,180,120,324,444,0.291383744855967,1E-06
21,306,800,1106,0,48,48,96,120,216,0.576649305555556,1E-06
22,678,1464,2142,48,120,168,162,390,552,0.464988920544476,100000
23,840,1476,2316,72,168,240,192,396,588,0.459385521885522,100000
24,240,1614,1854,114,192,306,42,474,516,0.764516777175005,0.01
25,376,1150,1526,48,120,168,48,641,689,0.389073062922517,0.1
26,564,2802,3366,24,408,432,378,855,1233,0.465812679847768,1E-05
27,336,2071,2407,24,366,390,96,636,732,0.430268933438155,100000
28,168,1686,1854,90,216,306,42,474,516,0.372563793449869,10000
29,286,1240,1526,48,120,168,24,665,689,0.287844611528822,0.1
30,7074,16027,23101,1104,2774,3878,1884,4290,6174,0.631833647597979,100
31,5949,16710,22659,666,3228,3894,1584,4218,5802,0.73339098668046,1
32,11241,10182,21423,1524,1514,3038,3522,2208,5730,0.532740758914978,0.01
33,7317,16194,23511,1142,2652,3794,2316,4032,6348,0.71739051748362,100000
34,7008,14576,21584,1104,2280,3384,2148,3834,5982,0.638993922844606,0.01
35,2353,348,2701,300,48,348,666,138,804,0.493972233102668,0.001
36,1699,1050,2749,288,84,372,516,330,846,0.541214470284238,1E-05
37,1000,300,1300,120,24,144,240,48,288,0.3734375,1E-06
38,180,198,378,42,90,132,48,72,120,0.998842592592593,1
39,540,262,802,66,40,106,162,48,210,0.524562757201646,1E-06
40,360,4590,4950,48,576,624,48,972,1020,0.956490054869684,100
41,522,4386,4908,48,624,672,144,834,978,0.790692446043166,10000
42,4386,8862,13248,522,1008,1530,1212,2538,3750,0.78391843321448,10000
43,3816,8694,12510,618,750,1368,1020,2418,3438,0.794518642858301,0.01
44,216,461,677,72,72,144,72,168,240,0.390749007936508,100000
45,336,231,567,72,48,120,240,48,288,0.465277777777778,1E-05
46,348,1092,1440,84,60,144,168,298,466,0.649988015340364,1000000
47,474,168,642,96,72,168,90,0,90,0.5,100000
48,924,480,1404,90,72,162,246,96,342,0.728658536585366,1
49,336,906,1242,24,168,192,96,294,390,0.610012755102041,1E-06
50,402,876,1278,24,180,204,162,384,546,0.449508101851852,0.1
51,330,2966,3296,144,444,588,284,1692,1976,0.850878616854793,1
52,426,4232,4658,144,492,636,192,1970,2162,0.972168464467005,0.1
53,522,4142,4664,192,492,684,276,2024,2300,0.964258606862577,1
54,426,4100,4526,192,492,684,276,2024,2300,0.9584496906685,0.01
55,378,4136,4514,144,480,624,228,2024,2252,0.967113931072741,0.1
56,432,3950,4382,192,420,612,228,1952,2180,0.930103178027035,1
57,594,3812,4406,144,492,636,344,1704,2048,0.895202123594279,1
58,330,3242,3572,144,468,612,192,1784,1976,0.93050495142003,1
59,474,4184,4658,144,540,684,332,1830,2162,0.926471459608928,0.1
60,564,3926,4490,144,492,636,284,1968,2252,0.913406761708462,0.1
61,480,3962,4442,144,420,564,194,1896,2090,0.925782439427552,0.1
62,708,3782,4490,96,564,660,344,1932,2276,0.89240273966007,1
63,384,3662,4046,192,492,684,228,1844,2072,0.980044335350306,0.01
64,522,4046,4568,192,468,660,228,1958,2186,0.905919036610935,1
65,522,4214,4736,144,540,684,290,1962,2252,0.952513269359204,0.1
66,384,4202,4586,144,516,660,192,1994,2186,0.938155612671348,1
67,330,3332,3662,96,516,612,194,1782,1976,0.956379372186932,0.001
68,522,4232,4754,192,492,684,318,1982,2300,0.90159390489246,1
69,426,4112,4538,144,540,684,318,1982,2300,0.887225596405384,1
70,426,4184,4610,144,468,612,192,2108,2300,0.972132451771031,0.01
71,240,1374,1614,144,168,312,234,492,726,0.814536863317351,0.1
72,192,3308,3500,144,468,612,144,1742,1886,0.992720691414721,1
73,570,3728,4298,96,492,588,392,1716,2108,0.85309928167071,0.1
74,282,4196,4478,48,588,636,192,2018,2210,0.850550772216716,0.01
75,474,4208,4682,144,492,636,332,1968,2300,0.90577707170144,1
76,594,3722,4316,144,444,588,296,1956,2252,0.904058199303598,0.01
77,474,4166,4640,144,540,684,248,1956,2204,0.91039563955406,0.01
78,426,4196,4622,144,516,660,284,1920,2204,0.903522960680751,1
79,192,1398,1590,144,168,312,186,444,630,0.89333284897801,1
80,426,3974,4400,144,540,684,234,1994,2228,0.920290786890586,0.01
81,474,3974,4448,144,540,684,332,1920,2252,0.923106488453815,0.1
82,288,4070,4358,144,540,684,228,1976,2204,0.939391114425741,1
83,564,3974,4538,144,468,612,318,1796,2114,0.911021697412839,0.1
84,288,2678,2966,144,372,516,248,1608,1856,0.906167248435243,0.01
85,336,4256,4592,192,420,612,234,2018,2252,0.912604931683227,0.01
86,426,4262,4688,144,516,660,282,2018,2300,0.899967666884564,0.1
87,336,3672,4008,144,528,672,234,1922,2156,0.879654828926421,1
88,546,4016,4562,144,540,684,192,1916,2108,0.91198840901183,0.01
89,564,4214,4778,192,492,684,296,1956,2252,0.897681423755043,0.001
90,522,4184,4706,144,540,684,344,1908,2252,0.924458217541807,0.1
91,426,4256,4682,144,468,612,192,2060,2252,0.966077568770226,0.1
92,384,4130,4514,192,492,684,192,2084,2276,0.957671045265515,0.01
93,474,3230,3704,192,372,564,332,1596,1928,0.870366805568137,1E-06
94,336,3308,3644,144,468,612,192,1736,1928,0.860062043970814,1
95,288,1422,1710,192,120,312,234,492,726,0.693480300187617,100
96,240,1032,1272,96,120,216,192,414,606,0.773752012882448,100
97,432,3938,4370,144,468,612,234,1922,2156,0.889787169703923,1
98,288,3260,3548,96,492,588,234,1694,1928,0.829130465494102,1
99,474,3912,4386,144,540,684,282,1994,2276,0.898423995390427,0.1
100,426,3968,4394,192,468,660,296,1908,2204,0.921597895064876,0.001
101,522,3926,4448,144,540,684,264,1892,2156,0.845856156704465,0.01
102,420,3128,3548,144,468,612,284,1692,1976,0.900324226683981,0.1
103,474,4304,4778,144,540,684,248,2052,2300,0.901191992076966,0.1
104,522,4064,4586,192,492,684,228,2072,2300,0.985044960373908,0.001
105,336,2948,3284,192,420,612,288,1664,1952,0.904718382745726,0.01
106,474,4004,4478,144,540,684,234,2066,2300,0.891979215793349,0.1
107,426,4160,4586,144,540,684,144,2084,2228,0.948083280017061,0.1
108,708,4022,4730,96,540,636,380,1878,2258,0.927101900117706,0.1
109,240,1446,1686,144,168,312,234,492,726,0.818914599402404,0.1
110,288,4154,4442,144,492,636,144,2018,2162,0.993114056821936,1
111,522,4070,4592,144,540,684,206,1956,2162,0.946897274008776,0.1
112,336,4352,4688,96,588,684,144,2066,2210,0.99368411853286,1
113,384,3494,3878,192,468,660,186,1790,1976,0.904787649426323,0.01
114,474,4118,4592,192,468,660,234,2066,2300,0.905006577804254,0.01
115,132,264,396,24,24,48,72,24,96,0.892361111111111,1000000
116,192,900,1092,24,144,168,72,216,288,0.47608024691358,1
117,360,230,590,48,24,72,144,42,186,0.964616402116402,1E-06
118,450,714,1164,24,42,66,216,240,456,0.646305941358025,100000
119,150,246,396,24,24,48,72,24,96,0.993634259259259,1E-05
120,216,426,642,48,120,168,48,42,90,0.62797619047619,0.1
121,408,234,642,48,120,168,90,0,90,0.5,100
122,162,264,426,24,24,48,48,48,96,0.679253472222222,0.1
123,456,708,1164,24,42,66,96,360,456,0.622366898148148,1
124,258,480,738,72,48,120,144,264,408,0.755497685185185,1E-06
125,306,432,738,24,96,120,144,264,408,0.679371843434344,1E-06
126,978,786,1764,96,72,168,330,48,378,0.824558080808081,100
127,156,186,342,0,36,36,156,48,204,0.694845085470085,100
