assay,best_C,val_auc,test_auc,split
1,1e-06,0.6666666666666667,0.5,split1
2,0.1,0.9333333333333333,0.537037037037037,split1
4,1000.0,0.6388888888888888,0.42857142857142855,split1
5,1000.0,1.0,0.5555555555555556,split1
6,10000.0,0.29999999999999993,0.6890756302521008,split1
7,10.0,1.0,0.35000000000000003,split1
8,1e-06,0.6666666666666667,0.35714285714285715,split1
9,1e-06,0.6666666666666666,0.6571428571428571,split1
10,100.0,0.33333333333333337,0.53125,split1
11,100.0,0.6,0.21250000000000002,split1
12,1000.0,0.6166666666666666,0.5631578947368421,split1
13,1e-06,0.7142857142857143,0.625,split1
14,100.0,1.0,0.7857142857142857,split1
17,1e-06,0.2222222222222222,0.5,split1
18,1000.0,0.6875,0.6388888888888888,split1
19,1e-06,0.6666666666666667,0.3333333333333333,split1
21,1000.0,0.6388888888888888,0.42857142857142855,split1
22,1e-06,0.5,0.5714285714285714,split1
23,1e-06,0.375,0.40441176470588236,split1
24,1.0,0.64,0.48125000000000007,split1
25,100.0,0.8181818181818182,0.4347826086956522,split1
26,1000.0,0.5,0.736842105263158,split1
27,0.1,0.5625,0.40310077519379844,split1
29,100.0,0.8181818181818182,0.4347826086956522,split1
30,1000.0,0.45454545454545453,0.7894736842105263,split1
31,1000.0,0.49102564102564106,0.5188725490196079,split1
32,0.01,0.6198462613556952,0.6288659793814432,split1
33,0.01,0.5641173087981598,0.5502232142857142,split1
34,1.0,0.6606060606060606,0.5712654924983692,split1
35,1e-06,0.6326241134751773,0.47585916086864855,split1
36,1e-06,0.625,0.3535353535353536,split1
37,1e-06,0.8,0.3515625,split1
38,1e-06,0.2,0.6666666666666666,split1
41,1e-06,0.38888888888888884,0.4722222222222222,split1
42,1000.0,0.6666666666666667,0.3333333333333333,split1
43,1e-06,0.49696969696969695,0.48487712665406424,split1
44,10000.0,0.6060606060606061,0.5578231292517006,split1
45,1e-06,0.6666666666666667,0.25,split1
46,1e-06,1.0,0.75,split1
47,1e-06,0.875,0.6666666666666667,split1
49,1e-06,0.375,0.6,split1
50,1000.0,0.7222222222222222,0.35714285714285715,split1
51,1e-06,0.6428571428571428,0.625,split1
52,1000.0,1.0,0.5416666666666667,split1
53,1e-06,0.9090909090909091,0.5483870967741935,split1
54,1e-06,0.9090909090909091,0.42000000000000004,split1
55,1e-06,0.9090909090909091,0.5066666666666666,split1
56,1e-06,0.9090909090909091,0.5357142857142857,split1
57,100.0,0.9,0.6666666666666666,split1
58,1e-06,0.9090909090909091,0.42948717948717946,split1
59,1e-06,0.9090909090909091,0.6,split1
60,1e-06,0.9090909090909091,0.503448275862069,split1
61,1e-06,1.0,0.4785714285714286,split1
62,1e-06,1.0,0.49425287356321834,split1
64,1000.0,1.0,0.90625,split1
65,1e-06,0.9,0.5591397849462365,split1
66,1e-06,0.9090909090909091,0.4896551724137931,split1
67,1e-06,0.8888888888888888,0.7424242424242424,split1
68,100.0,1.0,0.4565217391304348,split1
69,1e-06,0.9090909090909091,0.5666666666666667,split1
70,1e-06,0.9090909090909091,0.6333333333333333,split1
71,1e-06,0.9,0.5483870967741935,split1
76,1e-06,0.9090909090909091,0.4933333333333333,split1
77,1e-06,0.9090909090909091,0.42,split1
78,1e-06,0.9,0.4,split1
79,1e-06,0.9090909090909091,0.2258064516129032,split1
81,1e-06,0.9,0.425,split1
82,1e-06,0.9090909090909091,0.496551724137931,split1
83,100.0,1.0,0.8387096774193549,split1
84,1e-06,0.9,0.6357142857142857,split1
86,1e-06,0.8888888888888888,0.7580645161290323,split1
87,1e-06,0.9090909090909091,0.620967741935484,split1
88,1e-06,1.0,0.7333333333333334,split1
89,1e-06,1.0,0.65,split1
90,1e-06,0.9090909090909091,0.4933333333333333,split1
91,1e-06,0.9,0.4252873563218391,split1
92,1e-06,0.9090909090909091,0.5591397849462365,split1
93,10.0,1.0,0.6250000000000001,split1
94,1000.0,1.0,0.5972222222222222,split1
98,1e-06,0.8888888888888888,0.5287356321839081,split1
100,1e-06,0.9090909090909091,0.6339285714285714,split1
101,1e-06,0.9090909090909091,0.3571428571428572,split1
102,1e-06,0.8888888888888888,0.437037037037037,split1
103,1e-06,0.9090909090909091,0.3055555555555556,split1
104,1e-06,0.9090909090909091,0.41129032258064513,split1
105,1e-06,0.9090909090909091,0.43333333333333335,split1
106,10.0,1.0,0.72,split1
107,1e-06,0.9090909090909091,0.5591397849462365,split1
