assay,best_C,val_auc,test_auc,split
2,1e-06,0.7000000000000001,0.5816326530612245,split1
4,1e-06,0.5,0.46153846153846156,split1
5,1e-06,0.25,0.8,split1
6,1e-06,1.0,0.7934782608695652,split1
8,1e-06,0.4,0.4444444444444444,split1
9,1e-06,0.6,0.48571428571428565,split1
10,1e-06,1.0,0.6176470588235294,split1
11,1e-06,0.6666666666666667,0.7272727272727273,split1
12,1e-06,0.5555555555555556,0.38942307692307687,split1
13,1e-06,0.7777777777777778,0.8125,split1
14,1e-06,0.22222222222222224,0.5714285714285714,split1
15,1e-06,0.25925925925925924,0.4444444444444444,split1
17,1e-06,0.5,0.4772727272727273,split1
18,1e-06,0.25,0.5102040816326531,split1
19,1e-06,1.0,0.7142857142857143,split1
20,1e-06,0.49090909090909085,0.6363636363636364,split1
21,1e-06,0.5,0.46153846153846156,split1
23,1e-06,0.4,0.3277310924369748,split1
24,1e-06,0.888888888888889,0.661764705882353,split1
25,1e-06,0.7499999999999999,0.44999999999999996,split1
26,1e-06,1.0,0.6599999999999999,split1
27,1e-06,0.375,0.30666666666666664,split1
28,1e-06,0.8666666666666667,0.6923076923076924,split1
29,1e-06,0.7083333333333333,0.44999999999999996,split1
31,1e-06,0.625,0.6002121913580247,split1
32,1e-06,0.6645344705046197,0.5429787234042553,split1
33,1e-06,0.5427927927927928,0.48695652173913045,split1
34,1e-06,0.5752066115702479,0.5398362462604314,split1
35,1e-06,0.4292717086834734,0.5481242895035998,split1
36,1e-06,0.5,0.5076923076923077,split1
37,1e-06,0.9090909090909091,0.6230158730158731,split1
38,1e-06,0.2,0.875,split1
39,1e-06,0.16666666666666669,1.0,split1
40,1e-06,0.6666666666666666,0.5714285714285714,split1
41,1e-06,0.5384615384615384,0.8095238095238095,split1
42,1e-06,0.5,0.7407407407407407,split1
43,1e-06,0.6942148760330579,0.6978181818181818,split1
44,1e-06,0.7451923076923077,0.673992673992674,split1
46,1e-06,1.0,0.6666666666666667,split1
47,1e-06,0.33333333333333337,0.8131868131868132,split1
49,1e-06,0.8333333333333334,0.975,split1
50,1e-06,0.4285714285714286,0.7435897435897436,split1
51,1e-06,0.75,0.3303571428571428,split1
52,1e-06,1.0,0.9890109890109889,split1
53,1e-06,1.0,1.0,split1
54,1e-06,0.9615384615384616,1.0,split1
55,1e-06,0.9615384615384616,0.9893617021276596,split1
56,1e-06,1.0,0.9957446808510638,split1
57,1e-06,0.9545454545454545,0.9955555555555555,split1
58,1e-06,1.0,0.9903846153846154,split1
59,1e-06,1.0,1.0,split1
60,1e-06,1.0,0.988095238095238,split1
61,1e-06,1.0,0.9873015873015873,split1
62,1e-06,1.0,0.9581395348837208,split1
63,1e-06,0.9285714285714286,0.9914772727272727,split1
64,1e-06,0.9615384615384616,0.9953488372093023,split1
65,1e-06,0.9375,0.9955555555555555,split1
66,1e-06,1.0,0.9841269841269842,split1
67,1e-06,1.0,1.0,split1
68,1e-06,0.9615384615384616,0.9658536585365854,split1
69,1e-06,0.9615384615384616,0.9906832298136646,split1
70,1e-06,1.0,0.9906832298136646,split1
71,1e-06,1.0,1.0,split1
72,1e-06,1.0,0.9636363636363636,split1
73,1e-06,1.0,1.0,split1
74,1e-06,0.9166666666666666,0.9344729344729344,split1
75,1e-06,0.9333333333333333,0.925531914893617,split1
76,1e-06,1.0,0.9888888888888888,split1
77,1e-06,1.0,0.980952380952381,split1
78,1e-06,1.0,0.9814814814814815,split1
79,1e-06,1.0,0.987012987012987,split1
80,1e-06,1.0,1.0,split1
81,1e-06,1.0,0.991304347826087,split1
82,1e-06,1.0,0.9886363636363636,split1
83,1e-06,0.9047619047619048,0.9955555555555555,split1
84,1e-06,1.0,0.9897959183673469,split1
85,1e-06,0.8666666666666667,0.9814814814814814,split1
86,1e-06,0.9545454545454545,0.9914893617021278,split1
87,1e-06,1.0,0.9858156028368795,split1
88,1e-06,1.0,0.990909090909091,split1
89,1e-06,0.8809523809523809,0.9602272727272727,split1
90,1e-06,0.9615384615384616,0.980952380952381,split1
91,1e-06,1.0,0.9914772727272727,split1
92,1e-06,1.0,1.0,split1
93,1e-06,0.9615384615384616,0.984375,split1
94,1e-06,0.9750000000000001,0.9763513513513513,split1
95,1e-06,1.0,1.0,split1
96,1e-06,0.8333333333333334,0.9636363636363636,split1
97,1e-06,1.0,0.9444444444444444,split1
98,1e-06,1.0,0.9911111111111112,split1
99,1e-06,0.7916666666666667,0.99,split1
100,1e-06,1.0,0.9855072463768116,split1
101,1e-06,0.9583333333333334,0.9902597402597403,split1
102,1e-06,1.0,0.8636363636363636,split1
103,1e-06,1.0,0.9890109890109889,split1
104,1e-06,1.0,0.9822695035460993,split1
105,1e-06,0.9615384615384616,0.9958333333333333,split1
106,1e-06,0.9545454545454545,0.9188034188034188,split1
107,1e-06,1.0,0.9916666666666667,split1
108,1e-06,1.0,0.9791666666666666,split1
109,1e-06,0.9285714285714286,1.0,split1
110,1e-06,1.0,0.9636363636363636,split1
111,1e-06,1.0,1.0,split1
112,1e-06,1.0,0.9822222222222222,split1
113,1e-06,0.9333333333333333,1.0,split1
114,1e-06,0.9583333333333334,0.9821428571428572,split1
115,1e-06,0.9375,0.9916666666666667,split1
118,1e-06,1.0,0.5833333333333333,split1
119,1e-06,0.5,0.7714285714285715,split1
121,1e-06,0.3,0.75,split1
124,1e-06,0.5,0.6153846153846154,split1
125,1e-06,0.5,0.75,split1
126,1e-06,1.0,0.5555555555555555,split1
127,1e-06,0.5833333333333333,0.5357142857142857,split1
129,1e-06,0.875,0.09999999999999998,split1
130,1e-06,0.75,0.4,split1
131,1e-06,0.4375,0.06060606060606062,split1
132,1e-06,0.3333333333333333,0.42857142857142855,split1
133,1e-06,0.75,0.46666666666666673,split1
134,1e-06,1.0,1.0,split1
137,1e-06,1.0,0.55,split1
138,1e-06,1.0,0.75,split1
139,1e-06,1.0,0.6,split1
140,1e-06,1.0,0.55,split1
141,1e-06,1.0,0.55,split1
142,1e-06,1.0,0.6333333333333333,split1
143,1e-06,1.0,0.4,split1
144,1e-06,0.5,0.55,split1
145,1e-06,1.0,1.0,split1
146,1e-06,1.0,1.0,split1
147,1e-06,0.5209821428571428,0.5898237179487179,split1
148,1e-06,0.75,0.5480769230769231,split1
149,1e-06,1.0,0.25,split1
150,1e-06,0.6,0.49999999999999994,split1
