assay,best_C,val_auc,test_auc,split,N_labels_test
2,0.1,0.7,0.5816326530612245,split1,21
4,1e-06,0.33333333333333337,0.41538461538461535,split1,18
5,1.0,0.75,0.5666666666666667,split1,11
8,1e-06,0.2666666666666667,0.5555555555555556,split1,10
9,0.1,0.8,0.5257142857142857,split1,32
10,1e-05,1.0,0.6470588235294117,split1,21
11,1e-06,0.9047619047619048,0.787878787878788,split1,38
12,1e-06,0.5972222222222223,0.4134615384615385,split1,50
13,1e-06,0.8888888888888888,0.875,split1,18
14,1e-06,0.4444444444444445,0.0,split1,9
15,1e-06,0.7777777777777778,0.3611111111111111,split1,13
16,1e-06,0.6666666666666667,0.96875,split1,18
17,1e-06,0.8333333333333334,0.47727272727272724,split1,26
18,1.0,0.5,0.6734693877551021,split1,21
19,1e-06,1.0,0.7619047619047619,split1,10
20,1.0,0.5636363636363636,0.625,split1,30
21,1e-06,0.33333333333333337,0.41538461538461535,split1,18
23,1e-06,0.3,0.46218487394957986,split1,24
24,1e-06,0.8333333333333333,0.5955882352941176,split1,25
25,1e-06,0.6785714285714286,0.75,split1,21
27,0.1,1.0,0.4209523809523809,split1,50
28,1e-06,0.4666666666666667,0.7019230769230769,split1,30
29,0.1,0.6666666666666666,0.8,split1,21
30,1e-05,0.19999999999999996,0.11538461538461542,split1,27
31,1e-06,0.695,0.7067901234567902,split1,156
32,10.0,0.8216062544420754,0.7251063829787234,split1,144
33,10.0,0.7147147147147147,0.6875494071146245,split1,147
34,10.0,0.7426997245179064,0.7981420248779719,split1,160
35,1e-06,0.7948179271708684,0.7713148920045472,split1,149
36,10.0,0.5833333333333333,0.5461538461538462,split1,31
37,1.0,0.8181818181818181,0.7301587301587301,split1,33
38,1.0,0.4,0.625,split1,10
39,1e-06,0.5,0.5,split1,5
40,1.0,0.3333333333333333,0.7142857142857142,split1,9
41,10.0,0.8461538461538461,0.7619047619047619,split1,22
42,10.0,0.9285714285714286,0.9444444444444444,split1,21
43,1e-06,0.8305785123966942,0.8523636363636364,split1,80
44,1e-06,0.9326923076923077,0.8424908424908425,split1,73
45,1e-06,0.11111111111111112,0.5714285714285714,split1,10
46,0.1,0.6666666666666666,0.6666666666666666,split1,11
47,1.0,0.4166666666666667,0.8351648351648351,split1,20
49,1e-06,0.8333333333333334,1.0,split1,14
50,0.01,0.5714285714285714,0.6923076923076923,split1,16
51,0.1,0.625,0.48214285714285715,split1,23
52,1e-06,1.0,0.9780219780219781,split1,46
53,1e-06,0.9722222222222222,0.9565217391304347,split1,50
54,1e-06,0.9615384615384616,0.9432624113475176,split1,53
55,1e-06,0.9615384615384616,0.9680851063829787,split1,53
56,1e-06,1.0,0.9574468085106382,split1,52
57,1e-06,0.9545454545454545,0.9422222222222222,split1,50
58,1e-06,1.0,0.951923076923077,split1,47
59,1e-06,0.9722222222222222,0.9761904761904762,split1,46
60,1e-06,0.9761904761904763,0.9583333333333333,split1,50
61,1e-06,1.0,0.9492063492063492,split1,52
62,1e-06,1.0,0.9162790697674419,split1,48
63,1e-06,0.9642857142857143,0.9545454545454546,split1,52
64,1e-06,0.9423076923076923,0.9395348837209303,split1,48
65,1e-06,0.9166666666666667,0.9511111111111111,split1,50
66,1e-06,1.0,0.9523809523809524,split1,52
