assay,best_C,val_auc,test_auc,split
2,1.0,0.7333333333333334,0.5612244897959183,split1
4,1e-06,0.5,0.5230769230769231,split1
5,1e-06,0.25,0.5666666666666667,split1
8,10.0,0.33333333333333337,0.7777777777777778,split1
9,1e-06,0.6,0.5428571428571427,split1
10,1e-06,0.8333333333333334,0.6176470588235294,split1
11,1e-06,0.9047619047619048,0.703030303030303,split1
12,1e-06,0.5694444444444444,0.3766025641025641,split1
13,1e-06,0.7777777777777778,0.90625,split1
14,1e-06,0.4444444444444445,0.28571428571428575,split1
15,1e-06,0.6296296296296297,0.4166666666666667,split1
16,1e-06,0.33333333333333337,0.875,split1
17,1e-06,0.9166666666666667,0.46590909090909094,split1
18,1e-06,0.5,0.6428571428571428,split1
19,1e-06,1.0,0.7619047619047619,split1
20,1e-06,0.49090909090909085,0.5795454545454546,split1
21,1e-06,0.5,0.5230769230769231,split1
23,1e-06,0.2,0.4453781512605042,split1
24,1e-06,0.8333333333333333,0.5955882352941176,split1
25,1e-06,0.7142857142857143,0.6,split1
27,1e-06,1.0,0.41714285714285715,split1
28,1e-06,0.33333333333333337,0.6730769230769231,split1
29,100.0,0.7083333333333333,0.65,split1
31,0.1,0.6956249999999999,0.7202932098765432,split1
32,0.1,0.7917555081734186,0.704468085106383,split1
33,1e-06,0.6599099099099099,0.5551383399209486,split1
34,0.1,0.7410468319559228,0.7902692489371752,split1
35,1.0,0.7408963585434174,0.717885562713149,split1
36,1e-06,0.45833333333333337,0.43076923076923074,split1
37,1e-06,0.7954545454545454,0.8134920634920635,split1
38,1e-06,0.4,0.375,split1
39,1e-06,0.8333333333333334,0.5,split1
41,10.0,0.9230769230769231,0.7619047619047619,split1
42,0.1,0.7857142857142857,0.9259259259259258,split1
43,1e-06,0.8264462809917356,0.848,split1
44,1.0,0.9134615384615384,0.8241758241758241,split1
45,1e-06,0.11111111111111112,0.5714285714285714,split1
46,1e-06,0.6666666666666666,0.6666666666666666,split1
47,1.0,0.41666666666666663,0.8351648351648351,split1
49,1e-06,0.8333333333333334,0.975,split1
50,1.0,0.5714285714285714,0.6923076923076923,split1
52,1e-06,1.0,0.9853479853479853,split1
53,1e-06,1.0,0.9891304347826088,split1
54,1e-06,0.9423076923076923,1.0,split1
55,1e-06,0.9423076923076923,0.9858156028368795,split1
56,1e-06,1.0,0.9914893617021276,split1
57,1e-06,0.9318181818181819,0.9955555555555555,split1
58,1e-06,1.0,0.9903846153846154,split1
59,1e-06,1.0,0.988095238095238,split1
60,1e-06,1.0,0.988095238095238,split1
61,1e-06,1.0,0.9841269841269842,split1
62,1e-06,1.0,0.958139534883721,split1
63,1e-06,0.9285714285714286,0.9829545454545455,split1
64,1e-06,0.9423076923076923,0.9953488372093022,split1
65,1e-06,0.8958333333333333,0.9955555555555555,split1
66,1e-06,1.0,0.9841269841269842,split1
67,1e-06,1.0,0.9891304347826088,split1
68,1e-06,1.0,0.9560975609756098,split1
69,1e-06,0.9423076923076923,0.9906832298136646,split1
