InChICode_standardised,Standardized_SMILES_chembl,Standardized_InChI_chembl,Standardized_InChIKey_chembl,ChEMBL_ID,molecule_chembl_id,CHEMBL1613870,CHEMBL1741321,CHEMBL1741322,CHEMBL1741323,CHEMBL1741324,CHEMBL1741325,CHEMBL1909087,CHEMBL1909088,CHEMBL1909089,CHEMBL1909090,CHEMBL1909091,CHEMBL1909092,CHEMBL1909104,CHEMBL1909105,CHEMBL1909108,CHEMBL1909109,CHEMBL1909110,CHEMBL1909130,CHEMBL1909140,CHEMBL1909141,CHEMBL1909150,CHEMBL1909156,CHEMBL1909170,CHEMBL1909172,CHEMBL1909173,CHEMBL1909174,CHEMBL1909211,CHEMBL5291729,CHEMBL5291731,CHEMBL5291732,CHEMBL5291736,CHEMBL5291737,CHEMBL5291738,CHEMBL5291742,CHEMBL5291749,CHEMBL5291761,CHEMBL5291763,CHEMBL5291766,CHEMBL5291767,CHEMBL5291779,CHEMBL5291781,CHEMBL5291782,CHEMBL5291809,CHEMBL5291811,CHEMBL5291815,CHEMBL5291818,CHEMBL5291822,CHEMBL5291823,CHEMBL5291828,CHEMBL5291850,CHEMBL5291863,CHEMBL5291882,CHEMBL5291891,CHEMBL5291892,CHEMBL5291899,CHEMBL5291901,CHEMBL5291911,Cells_Number_Object_Number,Cells_Neighbors_FirstClosestObjectNumber_5,Cells_Neighbors_FirstClosestObjectNumber_Adjacent,Cells_Neighbors_SecondClosestObjectNumber_5,Cells_Neighbors_SecondClosestObjectNumber_Adjacent,Cells_Parent_Nuclei,Cytoplasm_Number_Object_Number,Cytoplasm_Parent_Cells,Cytoplasm_Parent_Nuclei,Nuclei_Neighbors_FirstClosestObjectNumber_1,Nuclei_Neighbors_SecondClosestObjectNumber_1,Nuclei_Number_Object_Number,InChIKey
"InChI=1S/C12H15N3O2S/c1-7(2)18-8-4-5-9-10(6-8)14-11(13-9)15-12(16)17-3/h4-7H,1-3H3,(H2,13,14,15,16)",COC(=O)Nc1nc2ccc(SC(C)C)cc2[nH]1,"InChI=1S/C12H15N3O2S/c1-7(2)18-8-4-5-9-10(6-8)14-11(13-9)15-12(16)17-3/h4-7H,1-3H3,(H2,13,14,15,16)",SXJIZQPZESTWLD-UHFFFAOYSA-N,CHEMBL1354363,CHEMBL1354363,,0.0,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.265625,-26.21875,-26.21875,-27.265625,-27.265625,-26.265625,-26.265625,-26.265625,-26.265625,-26.1875,-26.21875,-26.265625,SXJIZQPZESTWLD-UHFFFAOYSA-N
"InChI=1S/C12H18N4O3/c1-7(2)5-16-10-9(11(17)15(3)12(16)18)13-8(14-10)6-19-4/h7H,5-6H2,1-4H3,(H,13,14)",COCc1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1,"InChI=1S/C12H18N4O3/c1-7(2)5-16-10-9(11(17)15(3)12(16)18)13-8(14-10)6-19-4/h7H,5-6H2,1-4H3,(H,13,14)",NBLBCGUCPBXKOV-UHFFFAOYSA-N,CHEMBL307639,CHEMBL307639,,0.0,1.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8125,4.9609375,4.9609375,5.84375,5.84375,4.828125,4.8125,4.828125,4.828125,4.7265625,4.71875,4.8125,NBLBCGUCPBXKOV-UHFFFAOYSA-N
"InChI=1S/C17H13NO3/c1-18-13-5-3-2-4-12(13)15(19)9-14(18)11-6-7-16-17(8-11)21-10-20-16/h2-9H,10H2,1H3",Cn1c(-c2ccc3c(c2)OCO3)cc(=O)c2ccccc21,"InChI=1S/C17H13NO3/c1-18-13-5-3-2-4-12(13)15(19)9-14(18)11-6-7-16-17(8-11)21-10-20-16/h2-9H,10H2,1H3",COBBNRKBTCBWQP-UHFFFAOYSA-N,CHEMBL1371756,CHEMBL1371756,,1.0,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.1484375,7.1484375,5.90625,5.90625,6.0,6.0,6.0,6.0,5.5703125,5.9921875,6.0,COBBNRKBTCBWQP-UHFFFAOYSA-N
"InChI=1S/C32H41NO2/c1-31(2,3)26-18-16-25(17-19-26)30(34)15-10-22-33-23-20-29(21-24-33)32(35,27-11-6-4-7-12-27)28-13-8-5-9-14-28/h4-9,11-14,16-19,29-30,34-35H,10,15,20-24H2,1-3H3",CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,"InChI=1S/C32H41NO2/c1-31(2,3)26-18-16-25(17-19-26)30(34)15-10-22-33-23-20-29(21-24-33)32(35,27-11-6-4-7-12-27)28-13-8-5-9-14-28/h4-9,11-14,16-19,29-30,34-35H,10,15,20-24H2,1-3H3",GUGOEEXESWIERI-UHFFFAOYSA-N,CHEMBL17157,CHEMBL17157,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,,0.0,,,,,0.0,,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,,0.0,,,-24.69140625,-25.609375,-25.609375,-25.51171875,-25.51171875,-24.69140625,-24.69140625,-24.69140625,-24.69140625,-25.625,-25.5234375,-24.69140625,GUGOEEXESWIERI-UHFFFAOYSA-N
"InChI=1S/C10H10N2O/c1-8-7-10(13)12(11-8)9-5-3-2-4-6-9/h2-6H,7H2,1H3",CC1=NN(c2ccccc2)C(=O)C1,"InChI=1S/C10H10N2O/c1-8-7-10(13)12(11-8)9-5-3-2-4-6-9/h2-6H,7H2,1H3",QELUYTUMUWHWMC-UHFFFAOYSA-N,CHEMBL290916,CHEMBL290916,,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,-1.1171875,-0.140625,-0.140625,-1.59375,-1.59375,-1.1171875,-1.1171875,-1.1171875,-1.1171875,-0.6640625,-1.203125,-1.1171875,QELUYTUMUWHWMC-UHFFFAOYSA-N
"InChI=1S/C10H10N4O2/c15-10(16)6-9(14-7-11-12-13-14)8-4-2-1-3-5-8/h1-5,7,9H,6H2,(H,15,16)",O=C(O)CC(c1ccccc1)n1cnnn1,"InChI=1S/C10H10N4O2/c15-10(16)6-9(14-7-11-12-13-14)8-4-2-1-3-5-8/h1-5,7,9H,6H2,(H,15,16)",IPEATIREFBKQKS-UHFFFAOYSA-N,CHEMBL1351012,CHEMBL1351012,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0234375,4.5859375,4.5859375,4.99609375,4.99609375,5.0234375,5.0234375,5.0234375,5.0234375,4.5625,4.0703125,5.0234375,IPEATIREFBKQKS-UHFFFAOYSA-N
"InChI=1S/C10H10N4O2S/c11-8-2-4-9(5-3-8)17(15,16)14-10-12-6-1-7-13-10/h1-7H,11H2,(H,12,13,14)",Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,"InChI=1S/C10H10N4O2S/c11-8-2-4-9(5-3-8)17(15,16)14-10-12-6-1-7-13-10/h1-7H,11H2,(H,12,13,14)",SEEPANYCNGTZFQ-UHFFFAOYSA-N,CHEMBL439,CHEMBL439,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8828125,6.9921875,6.9921875,6.4765625,6.4765625,6.8828125,6.8828125,6.8828125,6.8828125,6.9453125,7.8984375,6.8828125,SEEPANYCNGTZFQ-UHFFFAOYSA-N
"InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+",COc1cc(/C=C/C(=O)O)ccc1O,"InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+",KSEBMYQBYZTDHS-HWKANZROSA-N,CHEMBL32749,CHEMBL32749,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.33203125,-1.8671875,-1.8671875,-3.3046875,-3.3046875,-2.33203125,-2.33203125,-2.33203125,-2.33203125,-1.71484375,-2.8671875,-2.33203125,KSEBMYQBYZTDHS-HWKANZROSA-N
"InChI=1S/C10H11ClO3/c1-10(2,9(12)13)14-8-5-3-7(11)4-6-8/h3-6H,1-2H3,(H,12,13)",CC(C)(Oc1ccc(Cl)cc1)C(=O)O,"InChI=1S/C10H11ClO3/c1-10(2,9(12)13)14-8-5-3-7(11)4-6-8/h3-6H,1-2H3,(H,12,13)",TXCGAZHTZHNUAI-UHFFFAOYSA-N,CHEMBL683,CHEMBL683,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.7265625,-10.6484375,-10.6484375,-9.3046875,-9.3046875,-10.7265625,-10.7265625,-10.7265625,-10.7265625,-10.765625,-9.84375,-10.7265625,TXCGAZHTZHNUAI-UHFFFAOYSA-N
"InChI=1S/C10H11N3O3S/c1-7-6-10(12-16-7)13-17(14,15)9-4-2-8(11)3-5-9/h2-6H,11H2,1H3,(H,12,13)",Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,"InChI=1S/C10H11N3O3S/c1-7-6-10(12-16-7)13-17(14,15)9-4-2-8(11)3-5-9/h2-6H,11H2,1H3,(H,12,13)",JLKIGFTWXXRPMT-UHFFFAOYSA-N,CHEMBL443,CHEMBL443,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.296875,-0.2890625,-0.2890625,-0.15625,-0.15625,-0.296875,-0.296875,-0.296875,-0.296875,0.125,0.1640625,-0.296875,JLKIGFTWXXRPMT-UHFFFAOYSA-N
"InChI=1S/C10H11NO3/c12-9(13)6-7-11-10(14)8-4-2-1-3-5-8/h1-5H,6-7H2,(H,11,14)(H,12,13)",O=C(O)CCNC(=O)c1ccccc1,"InChI=1S/C10H11NO3/c12-9(13)6-7-11-10(14)8-4-2-1-3-5-8/h1-5H,6-7H2,(H,11,14)(H,12,13)",CWXYHOHYCJXYFQ-UHFFFAOYSA-N,CHEMBL1231530,CHEMBL1231530,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8515625,1.40625,1.40625,1.8671875,1.8671875,1.8515625,1.8515625,1.8515625,1.8515625,1.78125,3.0390625,1.8515625,CWXYHOHYCJXYFQ-UHFFFAOYSA-N
"InChI=1S/C10H12ClNO2/c11-9-3-1-7(2-4-9)8(6-12)5-10(13)14/h1-4,8H,5-6,12H2,(H,13,14)",NCC(CC(=O)O)c1ccc(Cl)cc1,"InChI=1S/C10H12ClNO2/c11-9-3-1-7(2-4-9)8(6-12)5-10(13)14/h1-4,8H,5-6,12H2,(H,13,14)",KPYSYYIEGFHWSV-UHFFFAOYSA-N,CHEMBL701,CHEMBL701,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-0.1875,0.09375,0.09375,0.125,0.125,-0.1875,-0.1875,-0.1875,-0.1875,-0.25,-0.6875,-0.1875,KPYSYYIEGFHWSV-UHFFFAOYSA-N
