assay_chembl_id,gene_symbol,assay_description,assay_type
CHEMBL1613870,NFKB2,PUBCHEM_BIOASSAY: Name: High Throughput Screen to Identify Compounds that increase expression of NF-kB in Human Neuronal Cells - Dose Response. (Class of assay: confirmatory) [Related pubchem assays: 1239 ],F
CHEMBL1741321,CYP2D6,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2d6 Compounds with AC50 equal or less than 10 uM are considered active,F
CHEMBL1741322,CYP1A2,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp1a2 Compounds with AC50 equal or less than 10 uM are considered active,F
CHEMBL1741323,CYP2C19,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c19 Compounds with AC50 equal or less than 10 uM are considered active,F
CHEMBL1741324,CYP3A4,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp3a4 Compounds with AC50 equal or less than 10 uM are considered active,F
CHEMBL1741325,CYP2C9,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,F
CHEMBL1909087,ADRA1D,DRUGMATRIX: Alpha-1D adrenergic receptor radioligand binding (ligand: prazosin),B
CHEMBL1909088,ADRA2A,DRUGMATRIX: Alpha-2A adrenergic receptor radioligand binding (ligand: MK-912),B
CHEMBL1909089,ADRA2B,DRUGMATRIX: Alpha-2B adrenergic receptor radioligand binding (ligand: Rauwolscine),B
CHEMBL1909090,ADRA2C,DRUGMATRIX: Adrenergic Alpha-2C radioligand binding (ligand: [3H] MK-912),B
CHEMBL1909091,ADRB1,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),B
CHEMBL1909092,ADRB2,DRUGMATRIX: Adrenergic beta2 radioligand binding (ligand: [3H] CGP-12177),B
CHEMBL1909104,HTR2B,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT2B radioligand binding (ligand: [3H] Lysergic acid diethylamide),B
CHEMBL1909105,HTR2C,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT2C radioligand binding (ligand: [3H] Mesulergine),B
CHEMBL1909108,HTR6,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B
CHEMBL1909109,SLC6A4,"DRUGMATRIX: Transporter, Serotonin (5-Hydroxytryptamine) (SERT) radioligand binding (ligand: [3H] Paroxetine)",B
CHEMBL1909110,SIGMAR1,DRUGMATRIX: Sigma1 radioligand binding (ligand: [3H] Haloperidol),B
