Feature Set,Fold,Task,AUC,Optimal Threshold,Optimal Kappa,Kappa,Kappa @ 0.50,Balanced Accuracy,AUCPR,Sensitivity,Specificity,MCC,TP,TN,FP,FN,Total Actives Train,Total Inactives Train,Total Compounds Train,Total Actives Test,Total Inactives Test,Total Compounds Test,Scrambled Kappa,Scrambled Balanced Accuracy
CellCount,1,CHEMBL1741321,0.6043395628761482,0.5151515151515152,0.21656136577496976,0.13975074307764523,0.07947590334134291,0.5848907190370605,0.3474464017216169,0.5844155844155844,0.5853658536585366,0.15174662153637775,45,120,85,32,155,409,564,77,205,282,0.0,0.5
CellCount,2,CHEMBL1741321,0.610072853975293,0.5252525252525253,0.17722310392920693,0.24297780396778623,0.09462656302805006,0.6175483053531834,0.36744755874478946,0.4155844155844156,0.8195121951219512,0.2436432108126389,32,168,37,45,155,409,564,77,205,282,0.0,0.5
CellCount,3,CHEMBL1741321,0.62100930115636,0.5151515151515152,0.174248854184349,0.22347129960824397,0.12155997056659307,0.6236802413273002,0.3418217402114646,0.5512820512820513,0.696078431372549,0.2288818852419353,43,142,62,35,154,410,564,78,204,282,0.0,0.5
CellProfiler,1,CHEMBL1741321,0.6390243902439025,0.32323232323232326,0.3012736255269003,0.1859592402286242,0.11479820627802695,0.6020272410516312,0.4074170893608623,0.5064935064935064,0.697560975609756,0.1896131518596869,39,143,62,38,155,409,564,77,205,282,-0.020906869399945682,0.4926829268292683
CellProfiler,2,CHEMBL1741321,0.6153943617358251,0.42424242424242425,0.22056670083467556,0.21182082432734584,0.1824732875010353,0.5900221729490023,0.45590624573155264,0.2727272727272727,0.9073170731707317,0.22991330360327913,21,186,19,56,155,409,564,77,205,282,0.01877117480084234,0.5064935064935064
CellProfiler,3,CHEMBL1741321,0.6798014077425842,0.36363636363636365,0.21109240045629862,0.24021985127707735,0.20130718954248372,0.6400829562594268,0.4787870515476506,0.6282051282051282,0.6519607843137255,0.253471741552974,49,133,71,29,154,410,564,78,204,282,-0.010394519253484447,0.49585218702865763
CellCount,1,CHEMBL1741322,0.5141393694025274,0.494949494949495,0.08035346003744004,0.02275227051318318,0.006740252914077316,0.5111029321555638,0.5972436850907561,0.6713286713286714,0.3508771929824561,0.0233133153974875,96,40,74,47,286,227,513,143,114,257,0.0,0.5
CellCount,2,CHEMBL1741322,0.595264384738069,0.5555555555555556,0.05078344271270052,0.05652929973225851,0.12713774758798946,0.5314071893019261,0.647354068129802,0.0979020979020979,0.9649122807017544,0.12227686885500423,14,110,4,129,286,227,513,143,114,257,-0.1290499725425589,0.43513065881486934
CellCount,3,CHEMBL1741322,0.5062503867813603,0.5151515151515152,0.05963066720027432,0.04286387187941587,0.008919722497522264,0.5225261464199518,0.6024323584164695,0.36363636363636365,0.6814159292035398,0.04710078679933551,52,77,36,91,286,228,514,143,113,256,0.0,0.5
CellProfiler,1,CHEMBL1741322,0.6184517237148814,0.5555555555555556,0.15152323534119416,0.17492273995619434,0.17712704777891763,0.5894062078272604,0.6643596282989725,0.5384615384615384,0.6403508771929824,0.17826648894944794,77,73,41,66,286,227,513,143,114,257,-0.020716169415054164,0.4900012268433321
